Z	X	Y	String
6	0	0	-844808.905408 -1800000.000000 -844808.905408 -1742230.000000
6	0	1	-841601.820656 -1800000.000000 -841601.820656 -1742230.000000
6	0	2	-834036.994974 -1800000.000000 -834036.994974 -1742230.000000
6	0	3	-830134.387872 -1800000.000000 -830134.387872 -1742230.000000
6	0	4	-821832.013066 -1800000.000000 -821832.013066 -1742230.000000
6	0	5	-813105.778756 -1800000.000000 -813105.778756 -1742230.000000
6	0	6	-803849.325091 -1800000.000000 -803849.325091 -1742230.000000
6	0	7	-794113.862956 -1800000.000000 -794113.862956 -1742230.000000
6	0	8	-783748.020044 -1800000.000000 -783748.020044 -1742230.000000
6	0	9	-772757.702517 -1800000.000000 -772757.702517 -1742230.000000
6	0	10	-761105.983659 -1800000.000000 -761105.983659 -1742230.000000
6	0	11	-744633.034823 -1800000.000000 -744633.034823 -1742230.000000
6	0	12	-731336.118895 -1800000.000000 -731336.118895 -1742230.000000
6	0	13	-713129.672534 -1800000.000000 -713129.672534 -1742230.000000
6	0	14	-693925.510583 -1800000.000000 -693925.510583 -1742230.000000
6	0	15	-673633.194178 -1800000.000000 -673633.194178 -1742230.000000
6	0	16	-652200.612812 -1800000.000000 -652200.612812 -1742230.000000
6	0	17	-625454.838942 -1800000.000000 -625454.838942 -1742230.000000
6	0	18	-601423.320212 -1800000.000000 -601423.320212 -1742230.000000
6	0	19	-571935.476411 -1800000.000000 -571935.476411 -1742230.000000
6	0	20	-540944.762285 -1800000.000000 -540944.762285 -1742230.000000
6	0	21	-504411.238493 -1800000.000000 -504411.238493 -1742230.000000
6	0	22	-470224.655721 -1800000.000000 -470224.655721 -1742230.000000
6	0	23	-430407.995987 -1800000.000000 -430407.995987 -1742230.000000
6	0	24	-384921.327514 -1800000.000000 -384921.327514 -1742230.000000
6	0	25	-341825.717883 -1800000.000000 -341825.717883 -1742230.000000
6	0	26	-293206.826427 -1800000.000000 -293206.826427 -1742230.000000
6	0	27	-243137.685361 -1800000.000000 -243137.685361 -1742230.000000
6	0	28	-191840.116078 -1800000.000000 -191840.116078 -1742230.000000
6	0	29	-135524.254032 -1800000.000000 -135524.254032 -1742230.000000
6	0	30	-82425.805389 -1800000.000000 -82425.805389 -1742230.000000
6	0	31	-24840.936296 -1800000.000000 -24840.936296 -1742230.000000
6	0	32	24840.936296 -1800000.000000 24840.936296 -1742230.000000
6	0	33	82425.805389 -1800000.000000 82425.805389 -1742230.000000
6	0	34	135524.254032 -1800000.000000 135524.254032 -1742230.000000
6	0	35	191840.116078 -1800000.000000 191840.116078 -1742230.000000
6	0	36	243137.685361 -1800000.000000 243137.685361 -1742230.000000
6	0	37	293206.826427 -1800000.000000 293206.826427 -1742230.000000
6	0	38	341825.717883 -1800000.000000 341825.717883 -1742230.000000
6	0	39	384921.327514 -1800000.000000 384921.327514 -1742230.000000
6	0	40	430407.995987 -1800000.000000 430407.995987 -1742230.000000
6	0	41	470224.655721 -1800000.000000 470224.655721 -1742230.000000
6	0	42	504411.238493 -1800000.000000 504411.238493 -1742230.000000
6	0	43	540944.762285 -1800000.000000 540944.762285 -1742230.000000
6	0	44	571935.476411 -1800000.000000 571935.476411 -1742230.000000
6	0	45	601423.320212 -1800000.000000 601423.320212 -1742230.000000
6	0	46	625454.838942 -1800000.000000 625454.838942 -1742230.000000
6	0	47	652200.612812 -1800000.000000 652200.612812 -1742230.000000
6	0	48	673633.194178 -1800000.000000 673633.194178 -1742230.000000
6	0	49	693925.510583 -1800000.000000 693925.510583 -1742230.000000
6	0	50	713129.672534 -1800000.000000 713129.672534 -1742230.000000
6	0	51	731336.118895 -1800000.000000 731336.118895 -1742230.000000
6	0	52	744633.034823 -1800000.000000 744633.034823 -1742230.000000
6	0	53	761105.983659 -1800000.000000 761105.983659 -1742230.000000
6	0	54	772757.702517 -1800000.000000 772757.702517 -1742230.000000
6	0	55	783748.020044 -1800000.000000 783748.020044 -1742230.000000
6	0	56	794113.862956 -1800000.000000 794113.862956 -1742230.000000
6	0	57	803849.325091 -1800000.000000 803849.325091 -1742230.000000
6	0	58	813105.778756 -1800000.000000 813105.778756 -1742230.000000
6	0	59	821832.013066 -1800000.000000 821832.013066 -1742230.000000
6	0	60	830134.387872 -1800000.000000 830134.387872 -1742230.000000
6	0	61	834036.994974 -1800000.000000 834036.994974 -1742230.000000
6	0	62	841601.820656 -1800000.000000 841601.820656 -1742230.000000
6	0	63	844808.905408 -1800000.000000 844808.905408 -1742230.000000
6	1	0	-844808.905408 -1742230.000000 -844808.905408 -1684500.000000
6	1	1	-841601.820656 -1742230.000000 -841601.820656 -1684500.000000
6	1	2	-834036.994974 -1742230.000000 -834036.994974 -1684500.000000
6	1	3	-830134.387872 -1742230.000000 -830134.387872 -1684500.000000
6	1	4	-821832.013066 -1742230.000000 -821832.013066 -1684500.000000
6	1	5	-813105.778756 -1742230.000000 -813105.778756 -1684500.000000
6	1	6	-803849.325091 -1742230.000000 -803849.325091 -1684500.000000
6	1	7	-794113.862956 -1742230.000000 -794113.862956 -1684500.000000
6	1	8	-783748.020044 -1742230.000000 -783748.020044 -1684500.000000
6	1	9	-772757.702517 -1742230.000000 -772757.702517 -1684500.000000
6	1	10	-761105.983659 -1742230.000000 -761105.983659 -1684500.000000
6	1	11	-744633.034823 -1742230.000000 -744633.034823 -1684500.000000
6	1	12	-731336.118895 -1742230.000000 -731336.118895 -1684500.000000
6	1	13	-713129.672534 -1742230.000000 -713129.672534 -1684500.000000
6	1	14	-693925.510583 -1742230.000000 -693925.510583 -1684500.000000
6	1	15	-673633.194178 -1742230.000000 -673633.194178 -1684500.000000
6	1	16	-652200.612812 -1742230.000000 -652200.612812 -1684500.000000
6	1	17	-625454.838942 -1742230.000000 -625454.838942 -1684500.000000
6	1	18	-601423.320212 -1742230.000000 -601423.320212 -1684500.000000
6	1	19	-571935.476411 -1742230.000000 -571935.476411 -1684500.000000
6	1	20	-540944.762285 -1742230.000000 -540944.762285 -1684500.000000
