1	2	3	4	5	6	7	8	9	10	11	12	number_of_days_of_leap_month	leap_month	gengo1	gengo1_num	gengo2	gengo2_num	gengo3	gengo3_num	gengo4	gengo4_num	start_jdn	kaigen1_jdn	kaigen2_jdn	is_emperor_name1	is_emperor_name2
30	29	30	29	30	30	29	30	29	30	29	30			神武	1							1480407			1	
29	30	29	30	29	30	29	30	29	30	30	29			神武	2							1480762			1	
30	29	30	30	29	30	29	30	29	30	29	30	29	3	神武	3							1481116			1	
29	30	30	29	30	29	30	29	30	29	30	29			神武	4							1481500			1	
30	29	30	29	30	30	29	30	29	30	29	29	30	11	神武	5							1481854			1	
30	29	30	29	30	29	30	29	30	30	29	30			神武	6							1482238			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	7							1482593			1	
29	30	30	29	30	29	30	29	29	30	29	30	30	8	神武	8							1482947			1	
29	30	29	30	30	29	30	29	30	29	30	29			神武	9							1483331			1	
30	29	30	29	30	29	30	29	30	30	29	30			神武	10							1483685			1	
29	30	29	30	30	29	30	29	30	29	30	29	29	4	神武	11							1484040			1	
30	30	29	30	29	30	29	30	29	30	29	30			神武	12							1484423			1	
29	30	29	30	30	29	30	29	30	29	30	29			神武	13							1484778			1	
30	30	29	30	29	30	29	30	30	29	30	29	29	1	神武	14							1485132			1	
30	29	30	29	30	29	30	29	30	29	30	29			神武	15							1485516			1	
30	30	29	30	29	30	29	30	29	30	30	29	29	10	神武	16							1485870			1	
30	29	30	30	29	30	29	30	29	30	29	30			神武	17							1486254			1	
29	30	29	30	29	30	29	30	30	29	30	29			神武	18							1486609			1	
30	29	30	29	30	29	29	30	29	30	29	30	30	6	神武	19							1486963			1	
30	29	30	29	30	29	30	29	30	29	30	29			神武	20							1487347			1	
30	29	30	30	29	30	29	30	29	30	29	30			神武	21							1487701			1	
29	30	30	29	30	29	30	30	29	30	29	30	29	2	神武	22							1488056			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	23							1488440			1	
30	29	30	29	30	29	30	29	30	29	30	30	29	11	神武	24							1488794			1	
29	30	29	30	30	29	30	29	30	29	30	29			神武	25							1489178			1	
30	29	30	29	30	29	30	30	29	30	29	30			神武	26							1489532			1	
29	30	29	30	29	30	29	30	30	29	30	30	29	8	神武	27							1489887			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	28							1490271			1	
29	30	29	30	30	29	30	29	30	29	30	29			神武	29							1490625			1	
30	29	30	29	29	30	30	29	30	29	30	29	30	4	神武	30							1490979			1	
30	29	30	29	30	29	30	29	30	29	30	30			神武	31							1491363			1	
29	30	29	30	29	30	29	30	29	30	29	30	29	12	神武	32							1491718			1	
30	29	30	30	29	30	29	30	29	30	29	30			神武	33							1492101			1	
29	30	29	30	29	30	30	29	30	29	30	29			神武	34							1492456			1	
30	29	30	29	30	29	30	29	30	30	30	29	29	9	神武	35							1492810			1	
30	29	30	29	30	29	30	29	30	29	30	29			神武	36							1493194			1	
30	29	30	30	29	30	29	30	29	30	29	30			神武	37							1493548			1	
29	30	29	30	29	30	30	30	29	30	29	30	29	7	神武	38							1493903			1	
29	30	29	30	29	30	29	30	29	30	30	29			神武	39							1494287			1	
30	29	30	29	30	29	30	29	30	29	30	29			神武	40							1494641			1	
30	29	30	29	30	29	30	29	30	29	30	29	30	3	神武	41							1494995			1	
30	29	30	29	30	30	29	30	29	30	29	30			神武	42							1495379			1	
29	30	29	30	29	30	29	30	29	30	30	30	29	11	神武	43							1495734			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	44							1496118			1	
29	30	30	29	30	29	30	29	30	29	30	29			神武	45							1496472			1	
30	29	30	29	30	30	29	30	30	29	30	29	29	8	神武	46							1496826			1	
30	29	30	29	30	29	30	29	30	30	29	30			神武	47							1497210			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	48							1497565			1	
29	30	30	29	30	30	29	30	29	30	29	30	29	5	神武	49							1497919			1	
29	30	29	30	30	29	30	29	30	29	30	29			神武	50							1498303			1	
30	29	30	29	30	29	30	29	30	30	29	30			神武	51							1498657			1	
29	29	30	29	30	29	30	29	30	29	30	29	30	1	神武	52							1499012			1	
30	30	29	30	29	30	29	30	29	30	29	30			神武	53							1499395			1	
29	30	29	30	30	29	30	29	30	30	29	30	29	9	神武	54							1499750			1	
29	30	29	30	29	30	29	30	30	29	30	29			神武	55							1500134			1	
30	29	30	29	30	29	30	29	30	29	30	29			神武	56							1500488			1	
30	30	29	30	29	30	30	29	30	29	30	29	29	6	神武	57							1500842			1	
30	29	30	30	29	30	29	30	29	30	29	30			神武	58							1501226			1	
29	30	29	30	29	30	29	30	30	29	30	29			神武	59							1501581			1	
30	29	30	30	29	30	29	30	29	30	29	30	29	3	神武	60							1501935			1	
30	29	30	29	30	29	30	29	30	29	30	29			神武	61							1502319			1	
30	29	30	30	29	30	29	30	29	30	29	30	29	12	神武	62							1502673			1	
30	29	30	29	30	29	30	30	29	30	29	30			神武	63							1503057			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	64							1503412			1	
30	29	30	29	30	29	30	29	29	30	29	30	30	8	神武	65							1503766			1	
29	30	30	29	30	29	30	29	30	29	30	29			神武	66							1504150			1	
30	29	30	29	30	29	30	30	29	30	29	30			神武	67							1504504			1	
29	30	29	30	30	29	30	29	30	29	30	30	29	4	神武	68							1504859			1	
29	30	29	30	29	30	29	30	29	30	29	30			神武	69							1505243			1	
