1	2	3	4	5	6	7	8	9	10	11	12	number_of_days_of_leap_month	leap_month	gengo1	gengo1_num	gengo2	gengo2_num	gengo3	gengo3_num	gengo4	gengo4_num	start_jdn	kaigen1_jdn	kaigen2_jdn	is_emperor_name1	is_emperor_name2
30	29	30	29	30	30	29	30	29	30	29	30			1	1							1480407			1	
29	30	29	30	29	30	29	30	29	30	30	29			1	2							1480762			1	
30	29	30	30	29	30	29	30	29	30	29	30	29	3	1	3							1481116			1	
29	30	30	29	30	29	30	29	30	29	30	29			1	4							1481500			1	
30	29	30	29	30	30	29	30	29	30	29	29	30	11	1	5							1481854			1	
30	29	30	29	30	29	30	29	30	30	29	30			1	6							1482238			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	7							1482593			1	
29	30	30	29	30	29	30	29	29	30	29	30	30	8	1	8							1482947			1	
29	30	29	30	30	29	30	29	30	29	30	29			1	9							1483331			1	
30	29	30	29	30	29	30	29	30	30	29	30			1	10							1483685			1	
29	30	29	30	30	29	30	29	30	29	30	29	29	4	1	11							1484040			1	
30	30	29	30	29	30	29	30	29	30	29	30			1	12							1484423			1	
29	30	29	30	30	29	30	29	30	29	30	29			1	13							1484778			1	
30	30	29	30	29	30	29	30	30	29	30	29	29	1	1	14							1485132			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	15							1485516			1	
30	30	29	30	29	30	29	30	29	30	30	29	29	10	1	16							1485870			1	
30	29	30	30	29	30	29	30	29	30	29	30			1	17							1486254			1	
29	30	29	30	29	30	29	30	30	29	30	29			1	18							1486609			1	
30	29	30	29	30	29	29	30	29	30	29	30	30	6	1	19							1486963			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	20							1487347			1	
30	29	30	30	29	30	29	30	29	30	29	30			1	21							1487701			1	
29	30	30	29	30	29	30	30	29	30	29	30	29	2	1	22							1488056			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	23							1488440			1	
30	29	30	29	30	29	30	29	30	29	30	30	29	11	1	24							1488794			1	
29	30	29	30	30	29	30	29	30	29	30	29			1	25							1489178			1	
30	29	30	29	30	29	30	30	29	30	29	30			1	26							1489532			1	
29	30	29	30	29	30	29	30	30	29	30	30	29	8	1	27							1489887			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	28							1490271			1	
29	30	29	30	30	29	30	29	30	29	30	29			1	29							1490625			1	
30	29	30	29	29	30	30	29	30	29	30	29	30	4	1	30							1490979			1	
30	29	30	29	30	29	30	29	30	29	30	30			1	31							1491363			1	
29	30	29	30	29	30	29	30	29	30	29	30	29	12	1	32							1491718			1	
30	29	30	30	29	30	29	30	29	30	29	30			1	33							1492101			1	
29	30	29	30	29	30	30	29	30	29	30	29			1	34							1492456			1	
30	29	30	29	30	29	30	29	30	30	30	29	29	9	1	35							1492810			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	36							1493194			1	
30	29	30	30	29	30	29	30	29	30	29	30			1	37							1493548			1	
29	30	29	30	29	30	30	30	29	30	29	30	29	7	1	38							1493903			1	
29	30	29	30	29	30	29	30	29	30	30	29			1	39							1494287			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	40							1494641			1	
30	29	30	29	30	29	30	29	30	29	30	29	30	3	1	41							1494995			1	
30	29	30	29	30	30	29	30	29	30	29	30			1	42							1495379			1	
29	30	29	30	29	30	29	30	29	30	30	30	29	11	1	43							1495734			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	44							1496118			1	
29	30	30	29	30	29	30	29	30	29	30	29			1	45							1496472			1	
30	29	30	29	30	30	29	30	30	29	30	29	29	8	1	46							1496826			1	
30	29	30	29	30	29	30	29	30	30	29	30			1	47							1497210			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	48							1497565			1	
29	30	30	29	30	30	29	30	29	30	29	30	29	5	1	49							1497919			1	
29	30	29	30	30	29	30	29	30	29	30	29			1	50							1498303			1	
30	29	30	29	30	29	30	29	30	30	29	30			1	51							1498657			1	
29	29	30	29	30	29	30	29	30	29	30	29	30	1	1	52							1499012			1	
30	30	29	30	29	30	29	30	29	30	29	30			1	53							1499395			1	
29	30	29	30	30	29	30	29	30	30	29	30	29	9	1	54							1499750			1	
29	30	29	30	29	30	29	30	30	29	30	29			1	55							1500134			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	56							1500488			1	
30	30	29	30	29	30	30	29	30	29	30	29	29	6	1	57							1500842			1	
30	29	30	30	29	30	29	30	29	30	29	30			1	58							1501226			1	
29	30	29	30	29	30	29	30	30	29	30	29			1	59							1501581			1	
30	29	30	30	29	30	29	30	29	30	29	30	29	3	1	60							1501935			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	61							1502319			1	
30	29	30	30	29	30	29	30	29	30	29	30	29	12	1	62							1502673			1	
30	29	30	29	30	29	30	30	29	30	29	30			1	63							1503057			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	64							1503412			1	
30	29	30	29	30	29	30	29	29	30	29	30	30	8	1	65							1503766			1	
29	30	30	29	30	29	30	29	30	29	30	29			1	66							1504150			1	
30	29	30	29	30	29	30	30	29	30	29	30			1	67							1504504			1	
29	30	29	30	30	29	30	29	30	29	30	30	29	4	1	68							1504859			1	
29	30	29	30	29	30	29	30	29	30	29	30			1	69							1505243			1	
29	30	30	29	30	29	30	29	30	29	30	29			1	70							1505597			1	
30	30	29	30	29	30	30	29	30	29	30	29	29	1	1	71							1505951			1	
30	29	30	29	30	29	30	29	30	29	30	30			1	72							1506335			1	
29	30	29	30	29	30	29	30	29	30	30	29	29	10	1	73							1506690			1	
30	30	29	30	29	30	29	30	29	30	29	30			1	74							1507073			1	
29	30	29	30	29	30	30	29	30	29	30	29			1	75							1507428			1	
30	29	30	29	30	29	29	30	29	30	30	29	30	6	1	76							1507782			1	
30	29	30	29	30	29	30	29	30	29	30	29			1	77							1508166			1	
30	30	29	30	29	30	29	30	29	30	29	30			1	78							1508520			1	
29	30	30	29	30	30	29	30	29	30	29	30	29	2	1	79							1508875			1	
29	30	29	30	29	30	29	30	29	30	30	29			1	80	2	1					1509259	1509266		1	1
30	29	30	29	30	29	30	29	30	29	30	30	29	11	2	2							1509613			1	
30	29	30	29	30	29	30	29	30	29	30	29			2	3							1509997			1	
30	29	30	29	30	30	29	30	29	30	29	30			2	4							1510351			1	
29	30	29	30	29	30	29	30	30	30	29	30	29	8	2	5							1510706			1	
29	30	29	30	29	30	29	30	29	30	29	30			2	6							1511090			1	
30	29	30	29	30	29	30	29	30	29	30	29			2	7							1511444			1	
30	29	30	29	30	29	30	29	30	29	30	29	30	4	2	8							1511798			1	
30	29	30	29	30	29	30	29	30	30	29	30			2	9							1512182			1	
29	30	29	30	29	30	29	30	29	30	29	30			2	10							1512537			1	
30	30	29	30	29	30	29	30	29	30	29	30	29	1	2	11							1512891			1	
29	30	29	30	30	29	30	29	30	29	30	29			2	12							1513275			1	
30	29	30	29	30	29	30	29	30	30	30	29	29	10	2	13							1513629			1	
30	29	30	29	30	29	30	29	30	29	30	30			2	14							1514013			1	
29	30	29	30	29	30	29	30	29	30	29	30			2	15							1514368			1	
29	30	29	30	30	29	30	30	29	30	29	30	29	7	2	16							1514722			1	
29	30	29	30	29	30	29	30	30	29	30	29			2	17							1515106			1	
30	29	30	29	30	29	30	29	30	29	30	30			2	18							1515460			1	
29	30	29	29	30	29	30	29	30	29	30	29	30	3	2	19							1515815			1	
30	29	30	30	29	30	29	30	29	30	29	30			2	20							1516198			1	
29	30	29	30	29	30	29	30	30	29	30	30	29	11	2	21							1516553			1	
29	30	29	30	29	30	29	30	29	30	30	29			2	22							1516937			1	
30	29	30	29	30	29	30	29	30	29	30	29			2	23							1517291			1	
30	29	30	30	29	30	29	30	30	29	30	29	29	8	2	24							1517645			1	
30	29	30	29	30	29	30	30	29	30	29	30			2	25							1518029			1	
29	30	29	30	29	30	29	30	29	30	30	29			2	26							1518384			1	
30	29	30	29	30	30	29	30	29	30	29	30	29	5	2	27							1518738			1	
29	30	30	29	30	29	30	29	30	29	30	29			2	28							1519122			1	
30	29	30	29	30	29	30	30	29	30	29	30			2	29							1519476			1	
29	29	30	29	30	29	30	29	30	30	29	30	30	1	2	30							1519831			1	
29	30	29	30	29	30	29	30	29	30	29	30			2	31							1520215			1	
29	30	30	29	30	29	30	29	30	30	29	30	29	9	2	32							1520569			1	
29	30	29	30	29	30	30	29	30	29	30	29			2	33							1520953			1	
30	29	30	29	30	29	30	29	30	30	29	30			3	1							1521307			1	
29	30	29	30	29	30	30	29	30	29	30	29	29	6	3	2							1521662			1	
30	30	29	30	29	30	29	30	29	30	29	30			3	3							1522045			1	
29	30	29	30	29	30	30	29	30	29	30	29			3	4							1522400			1	
30	29	30	30	29	30	29	30	30	29	30	29	29	3	3	5							1522754			1	
30	29	30	29	30	29	30	29	30	29	30	29			3	6							1523138			1	
30	30	29	30	29	30	29	30	29	30	29	30	29	12	3	7							1523492			1	
30	29	30	29	30	30	29	30	29	30	29	30			3	8							1523876			1	
29	30	29	30	29	30	29	30	30	29	30	29			3	9							1524231			1	
30	29	30	29	30	29	30	29	29	30	29	30	30	8	3	10							1524585			1	
30	29	30	29	30	29	30	29	30	29	30	29			3	11							1524969			1	
30	29	30	29	30	30	29	30	29	30	29	30			3	12							1525323			1	
29	30	29	30	30	29	30	30	29	30	29	30	29	4	3	13							1525678			1	
29	30	29	30	29	30	29	30	29	30	29	30			3	14							1526062			1	
30	29	30	29	30	29	30	29	30	29	30	29			3	15							1526416			1	
30	30	29	30	30	29	30	29	30	29	30	29	29	1	3	16							1526770			1	
30	29	30	29	30	29	30	30	29	30	29	30			3	17							1527154			1	
29	30	29	30	29	30	29	30	29	30	30	30	29	10	3	18							1527509			1	
29	30	29	30	29	30	29	30	29	30	29	30			3	19							1527893			1	
29	30	29	30	30	29	30	29	30	29	30	29			3	20							1528247			1	
30	29	30	29	30	29	29	30	30	29	30	29	30	6	3	21							1528601			1	
30	29	30	29	30	29	30	29	30	29	30	30			3	22							1528985			1	
29	30	29	30	29	30	29	30	29	30	29	30			3	23							1529340			1	
29	30	30	30	29	30	29	30	29	30	29	30	29	2	3	24							1529694			1	
29	30	29	30	29	30	29	30	30	29	30	29			3	25							1530078			1	
30	29	30	29	30	29	30	29	30	29	30	30	29	12	3	26							1530432			1	
30	29	30	29	30	29	30	29	30	29	30	29			3	27							1530816			1	
30	29	30	30	29	30	29	30	29	30	29	30			3	28							1531170			1	
29	30	29	30	29	30	29	30	30	30	29	30	29	9	3	29							1531525			1	
29	30	29	30	29	30	29	30	29	30	30	29			3	30							1531909			1	
30	29	30	29	30	29	30	29	30	29	30	29			3	31							1532263			1	
30	29	30	30	29	29	30	29	30	29	30	29	30	5	3	32							1532617			1	
30	29	30	29	30	29	30	30	29	30	29	30			3	33							1533001			1	
29	30	29	30	29	30	29	30	29	30	30	29			3	34							1533356			1	
30	30	29	30	29	30	29	30	29	30	29	30	29	1	3	35							1533710			1	
29	30	30	29	30	29	30	29	30	29	30	29			3	36							1534094			1	
30	29	30	29	30	29	30	30	29	30	30	29	29	10	3	37							1534448			1	
30	29	30	29	30	29	30	29	30	30	29	30			3	38							1534832			1	
29	30	29	30	29	30	29	30	29	30	29	30			3	39	4	1					1535187	1535219		1	1
29	30	30	29	30	29	30	30	29	30	29	30	29	7	4	2							1535541			1	
29	30	29	30	29	30	30	29	30	29	30	29			4	3							1535925			1	
30	29	30	29	30	29	30	29	30	30	29	30			4	4							1536279			1	
