地方区分	都道府県	遺跡	標本番号	年	時代	mtDNA	Y-DNA	性別
四国	愛媛県,久万高原町	上黒岩岩陰遺跡6904	JpKa6904	8646-8991; 8819	縄文	N9b3	-	女性
中部	富山県,富山市	小竹貝塚274	JpOd274	6119-6289; 6204	縄文	M7a	D1b1d1	男性
中部	富山県,富山市	小竹貝塚6	JpOd6	5934-6179; 6057	縄文	N9b3	-	女性
中部	富山県,富山市	小竹貝塚181	JpOd181	5751-5917; 5834	縄文	N9b1	D1b1d1	男性
中部	富山県,富山市	小竹貝塚282	JpOd282	5737-5902; 5820	縄文	M7a1	D1b1d1	男性
中国	岡山県,倉敷市	船倉貝塚1	JpFu1	5478-5590; 5534	縄文	M7a1	-	女性
関東	千葉県,船橋市	古作貝塚2	JpKo2	4294-4514; 4404	縄文	N9b	-	女性
関東	千葉県,船橋市	古作貝塚13	JpKo13	3847-3978; 3913	縄文	N9b1	-	女性
四国	愛媛県,御荘町	平城貝塚1	JpHi01	3685-3850; 3768	縄文	M7a1a	-	女性
中部	石川県,金沢市	岩出横穴墓32	JpIw32	1347-1409; 1378	古墳	B5a2a1b	O3a2c	男性
中部	石川県,金沢市	岩出横穴墓31	JpIw31	1303-1377; 1340	古墳	D5c1a	-	女性
中部	石川県,金沢市	岩出横穴墓33	JpIw33	1295-1355; 1325	古墳	M7b1a1a1	-	女性
九州	佐賀県,佐賀市	東名貝塚012	Higashimyo	7460-7980BP	縄文	M7a1a	D1a2a(D1a2a2?)(旧D1b1)	男性
東北	福島県,新地町	三貫地貝塚B	SanganjiB(131464?)	3000BP頃	縄文	N9b		女性
北海道	北海道	船泊遺跡	 I6341 - Funadomari	3200	Late 縄文	N9b1	D-CTS1824 (D1a)	
北海道	北海道		 Higashikushiro No.6 - Hokkaido	3435	縄文 時代 (assumed Late)	M7a3		
北海道	北海道	北黄金貝塚	 Kitakogane JM-14 - Hokkaido	3435	縄文 時代 (assumed Late)	M7a3		
北海道	北海道		 Rebunge No.1 - Hokkaido	3435	縄文 時代 (assumed Late)	N9b1 *		
