latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
35.51375301	133.9934929	B5b1a2	1628562	1866426	0	1000
35.51375301	133.9934929	D4g1c	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2b1d	1628562	1866426	0	1000
35.51375301	133.9934929	M7b1a1a1*	1628562	1866426	0	1000
35.51375301	133.9934929	B4f	1628562	1866426	0	1000
35.51375301	133.9934929	D4c2*	1628562	1866426	0	1000
35.51375301	133.9934929	pre-N9a2a1	1628562	1866426	0	1000
35.51375301	133.9934929	pre-D4b2b1d	1669378	1893636	0	1000
35.51375301	133.9934929	M9a1a1（a?）	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2b1d	1628562	1866426	0	1000
35.51375301	133.9934929	（M7b1a?）	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2a2a1	1669378	1893636	0	1000
35.51375301	133.9934929	M7b1a1a1*	1628562	1866426	0	1000
35.51375301	133.9934929	D4c1b1	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2（a?）	1628562	1866426	0	1000
35.51375301	133.9934929	pre-N9a2a1	1666090	1891445	0	1000
35.51375301	133.9934929	D4c1b2	1628562	1866426	0	1000
35.51375301	133.9934929	D4a2a	1628562	1866426	0	1000
35.51375301	133.9934929	M7b1a1a1*	1628562	1866426	0	1000
35.51375301	133.9934929	（N9b）	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2a2a1	1628562	1866426	0	1000
35.51375301	133.9934929	D4g1a	1509401	1786986	0	1000
35.51375301	133.9934929	B4c1a1a1a	1628562	1866426	0	1000
35.51375301	133.9934929	M7b1a1a1?	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2a2b	1628562	1866426	0	1000
35.51375301	133.9934929	C1a	1628562	1866426	0	1000
35.51375301	133.9934929	pre-D4b2b1d	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2a2	1628562	1866426	0	1000
35.51375301	133.9934929	D4a1a1*	1628562	1866426	0	1000
35.51375301	133.9934929	M7b1a1a1	1628562	1866426	0	1000
35.51375301	133.9934929	N9a2a*	1628562	1866426	0	1000
35.51375301	133.9934929	G1a1a2	1628562	1866426	0	1000
35.51375301	133.9934929	N9a2d	1628562	1866426	0	1000
35.51375301	133.9934929	B4b1a1b	1628562	1866426	0	1000
35.51375301	133.9934929	M7a1a1a	1628562	1866426	0	1000
35.51375301	133.9934929	D5a1a1	1628562	1866426	0	1000
35.51375301	133.9934929	D4b2b1d	1628562	1866426	0	1000
