ja-JP	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
青谷上寺地遺跡	35.51375301	133.9934929	C1a1	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	D1b	1669378	1893636	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	D (D1b?)	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	O	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	O1b2a1	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	C1a1	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	D	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	O1b2a1a1	1628562	1866426	0	1000
下本山岩陰	33.20574526	129.6760548	O	1590047	1840749	0	1000
猪目洞窟遺跡	35.44323951	132.7081765	O1b2a1a1	1942214	2075527	0	1000
高松茶臼山古墳	34.30832241	134.1041818	C1a1	1798673	1979834	0	1000
三貫地貝塚	37.84458338	140.9056198	D-CTS3097 (D1a)	1059276	1486902	0	1000
船泊遺跡	45.41584666	141.0183345	D1b2b	851965	1348695	0	1000
小竹貝塚	36.7242	137.165	D1b1d1	-267430	602431	0	1000
小竹貝塚	36.7242	137.165	D1b1d1	-105263	710543	0	1000
小竹貝塚	36.7242	137.165	D1b1d1	-98907	714780	0	1000
岩出横穴墓	36.61869826	136.7023239	O3a2c	1847762	2012559	0	1000
灰塚山古墳	37.62363115	139.8300489	D1b1a2b1a	1754187	1950176	0	1000
慶北永川完山洞古墳群	35.96282266	128.9502796	C2c1b	1868800	2026585	0	1000
慶北永川完山洞古墳群	35.96282266	128.9502796	O1b2a1a2a	1817301	1992252	0	1000
大坪貝塚	32.60667333	130.7142555	C1a1	1678143	1899480	0	1000
大坪貝塚	32.60667333	130.7142555	D1b1c2	1646367	1878296	0	1000
大坪貝塚	32.60667333	130.7142555	D1b1c2	1709919	1920664	0	1000
