key	longitude	latitude	overall_length	texture	first_year	last_year
DolmenKR1	125.645	43.2263	50	Dolmen	-700	-200
DolmenKR2	125.007	42.9903	50	Dolmen	-700	-200
DolmenKR3	125.029	42.9018	50	Dolmen	-700	-200
DolmenKR4	125.029	42.8546	50	Dolmen	-700	-200
DolmenKR5	125.887	42.7956	50	Dolmen	-700	-200
DolmenKR6	126.008	42.6835	50	Dolmen	-700	-200
DolmenKR7	124.754	42.4652	50	Dolmen	-700	-200
DolmenKR8	126.019	42.4357	50	Dolmen	-700	-200
DolmenKR9	125.392	42.4239	50	Dolmen	-700	-200
DolmenKR10	124.072	42.3944	50	Dolmen	-700	-200
DolmenKR11	126.448	42.3767	50	Dolmen	-700	-200
DolmenKR12	125.392	42.3649	50	Dolmen	-700	-200
DolmenKR13	125.447	42.3295	50	Dolmen	-700	-200
DolmenKR14	124.82	42.2233	50	Dolmen	-700	-200
DolmenKR15	124.666	42.123	50	Dolmen	-700	-200
DolmenKR16	124.138	42.1171	50	Dolmen	-700	-200
DolmenKR17	124.534	42.1112	50	Dolmen	-700	-200
DolmenKR18	124.611	42.1112	50	Dolmen	-700	-200
DolmenKR19	124.259	42.0758	50	Dolmen	-700	-200
DolmenKR20	124.105	42.0581	50	Dolmen	-700	-200
DolmenKR21	124.193	42.0522	50	Dolmen	-700	-200
DolmenKR22	124.633	42.0522	50	Dolmen	-700	-200
DolmenKR23	124.578	42.0522	50	Dolmen	-700	-200
DolmenKR24	124.523	42.0522	50	Dolmen	-700	-200
DolmenKR25	124.237	42.0227	50	Dolmen	-700	-200
DolmenKR26	124.501	42.0227	50	Dolmen	-700	-200
DolmenKR27	124.171	41.9932	50	Dolmen	-700	-200
DolmenKR28	124.479	41.9519	50	Dolmen	-700	-200
DolmenKR29	125.106	41.8929	50	Dolmen	-700	-200
DolmenKR30	124.303	41.7985	50	Dolmen	-700	-200
DolmenKR31	124.831	41.7631	50	Dolmen	-700	-200
DolmenKR32	124.93	41.7572	50	Dolmen	-700	-200
DolmenKR33	124.864	41.7336	50	Dolmen	-700	-200
DolmenKR34	124.589	41.7277	50	Dolmen	-700	-200
DolmenKR35	124.831	41.71	50	Dolmen	-700	-200
DolmenKR36	124.941	41.71	50	Dolmen	-700	-200
DolmenKR37	124.314	41.6982	50	Dolmen	-700	-200
DolmenKR38	123.907	41.6864	50	Dolmen	-700	-200
DolmenKR39	124.006	41.6628	50	Dolmen	-700	-200
DolmenKR40	125.26	41.6569	50	Dolmen	-700	-200
DolmenKR41	124.776	41.6569	50	Dolmen	-700	-200
DolmenKR42	124.831	41.651	50	Dolmen	-700	-200
DolmenKR43	124.193	41.6392	50	Dolmen	-700	-200
DolmenKR44	125.667	41.6274	50	Dolmen	-700	-200
DolmenKR45	124.798	41.6215	50	Dolmen	-700	-200
DolmenKR46	125.062	41.6097	50	Dolmen	-700	-200
DolmenKR47	125.282	41.5684	50	Dolmen	-700	-200
DolmenKR48	124.545	41.5566	50	Dolmen	-700	-200
DolmenKR49	124.985	41.5507	50	Dolmen	-700	-200
DolmenKR50	124.248	41.4976	50	Dolmen	-700	-200
DolmenKR51	125.161	41.4504	50	Dolmen	-700	-200
DolmenKR52	125.227	41.3973	50	Dolmen	-700	-200
DolmenKR53	125.271	41.3914	50	Dolmen	-700	-200
DolmenKR54	125.271	41.3678	50	Dolmen	-700	-200
