key	ja-JP	latitude	longitude	texture	first_year	last_year	所在地	時代	種別
SiteKR1	釜山 東三洞 貝塚	35.07121624	129.0796689	BlueCircle	-8000	-1500	부산광역시 영도구 동삼동 749-8	新石器時代	패총(史跡)
SiteKR2	陵谷洞 先史遺跡	37.37519754	126.8115163	BlueCircle	-8000	-1500	경기도 시흥시 능곡동 479	新石器時代	선사주거지
SiteKR3	白翎島 貝塚	37.97528777	124.7330033	BlueCircle	-8000	-1500	인천광역시 옹진군 백령면 진촌리 154-1	新石器時代	패총
SiteKR4	凡芳洞 貝塚	35.15474323	128.8819742	BlueCircle	-8000	-1500	부산광역시 강서구 범방동 1833	新石器時代時代	조개더미
SiteKR5	新吉洞 先史遺跡地	37.33568251	126.785612	BlueCircle	-8000	-1500	경기도 안산시 단원구 신길동 1536	新石器時代時代	遺物포함층
SiteKR6	富谷支石墓	37.47203013	129.1410175	Enpun	-1500	-300	강원특별자치도 동해시 구호동 239	청동기	지석墓
SiteKR7	晋州 生物産業団地敷地内遺跡	35.1566639	128.1643534	BlueCircle	-1500	-300	경상남도 진주시 문산읍 삼곡리 985-1	청동기	보존遺跡
SiteKR8	晋州 平居3宅地開発事業地区内遺跡	35.16768822	128.0580778	BlueCircle	-1500	-300	경상남도 진주시 평거동 803	청동기	보존遺跡
SiteKR9	晋州 草場1地区都市開発事業地区内遺跡	35.21164103	128.1058578	BlueCircle	-1500	-300	경상남도 진주시 초전동 1664	청동기	보존遺跡
SiteKR10	大石里 支石墓群	37.43301402	127.4855267	Enpun	-1500	-300	경기도 양평군 강상면 대석리 7	청동기	古い墓
SiteKR11	九龍 太陽里 古墳群	36.255009	126.8106247	Enpun	-1500	-300	충청남도 부여군 구룡면 태양리 산 27-3	청동기	墓
SiteKR12	南面 松岩里 古墳群	36.21828669	126.8287432	Enpun	-1500	-300	충청남도 부여군 남면 송암리 21-1	청동기	墓
SiteKR13	南面 内谷里 古墳	36.20786078	126.7938564	Enpun	-1500	-300	충청남도 부여군 남면 내곡리 215-31	청동기	墓
SiteKR14	長岩 北高里 古墳	36.23954596	126.9365094	Enpun	-1500	-300	충청남도 부여군 장암면 북고리 산 9-3	청동기	墓
SiteKR15	玉山 安西里 古墳	36.18909703	126.7318841	Enpun	-1500	-300	충청남도 부여군 옥산면 안서리 346-7	청동기	墓
SiteKR16	圭岩 咸陽里 古墳	36.30505363	126.8802554	Enpun	-1500	-300	충청남도 부여군 규암면 함양리 323	청동기	墓
SiteKR17	忠化 玄美里 古墳	36.15513783	126.8335193	Enpun	-1500	-300	충청남도 부여군 충화면 현미리 681	청동기	墓
SiteKR18	忠化 支石里 古墳	36.18660606	126.8031313	Enpun	-1500	-300	충청남도 부여군 충화면 지석리 369-1	청동기	墓
SiteKR19	圭岩 羅福里 古墳	36.28696931	126.8477118	Enpun	-1500	-300	충청남도 부여군 규암면 나복리 731	청동기	墓
SiteKR20	世道 貴徳里 古墳	36.17085861	126.9703367	Enpun	-1500	-300	충청남도 부여군 세도면 귀덕리 386	청동기	墓
SiteKR21	陽化 五良里 古墳	36.14401989	126.8597397	Enpun	-1500	-300	충청남도 부여군 양화면 오량리 산 41-7	청동기	墓
SiteKR22	石城 石城里 支石墓群	36.22517367	126.9903369	Enpun	-1500	-300	충청남도 부여군 석성면 석성리 552	청동기	墓
SiteKR23	仰徳里 支石墓	37.44132547	127.5101835	Enpun	-1500	-300	경기도 양평군 개군면 앙덕리 25-4	청동기	古い墓
SiteKR24	茂朱 沙川里 支石墓	35.948112	127.660553	Enpun	-1500	-300	전북특별자치도 무주군 적상면 사천리 515-23	청동기	支石墓
SiteKR25	茂朱 小川里 支石墓	36.00985379	127.7907498	Enpun	-1500	-300	전북특별자치도 무주군 설천면 소천리 887-25	청동기	支石墓
