key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_year	last_year	texture	所在地	種別	時代	立地	標高	出土遺物
HokkaidoSite1	町村農場4遺跡		141.52628	43.11614211	0	0.5	-3500	-2000	BlueCircle	江別市元江別775･806	遺物包含地	縄文(中期)			
HokkaidoSite2	飛鳥山遺跡		141.5434652	43.11660496	0	0.5	650	1300	PitHouse	江別市緑町西2	集落跡	擦文			
HokkaidoSite3	元江別11遺跡		141.5130221	43.11407352	0	0.5	-3500	-2000	PitHouse	江別市見晴台111,112	集落跡	縄文(中期)	野幌丘陵端部、旧豊平川右岸	18 m	
HokkaidoSite4	七丁目沢6遺跡		141.5182967	43.10241968	0	0.5	-3500	-2000	BlueCircle	江別市野幌寿町19･21･22･24～26･28～30,野幌代々木町1･2	墳墓	縄文(中期)	河岸段丘		
HokkaidoSite5	元野幌4遺跡		141.5184517	43.091925	0	0.5	-3500	-2000	BlueCircle	江別市野幌末広町7,8	遺物包含地	縄文(中期)			
HokkaidoSite6	七丁目沢8遺跡		141.5195651	43.09916215	0	0.5	-3500	-2000	BlueCircle	江別市野幌代々木町15-3,15-20	遺物包含地	縄文(中期)			土器、石斧・黒曜石片等
HokkaidoSite7	大麻27遺跡		141.4986931	43.08830511	0	0.5	-3500	-2000	BlueCircle	江別市大麻北町523-2,608,609	遺物包含地	縄文(中期)		30 m	土器
HokkaidoSite8	中ノ月遺跡		141.588611	43.05836139	0	0.5	650	1300	BlueCircle	江別市東野幌河川敷	遺物包含地	擦文			
HokkaidoSite9	志文別遺跡		141.5625025	43.02497715	0	0.5	650	1300	PitHouse	江別市東野幌624	集落跡	擦文			
HokkaidoSite10	西野幌15遺跡		141.5353706	43.06639711	0	0.5	-3500	-2000	BlueCircle	江別市西野幌502,507	遺物包含地	縄文(中期)	野幌丘陵東縁、沢に挟まれた舌状部端	17～20 m	
HokkaidoSite11	千古園遺跡		141.5447072	43.07407341	0	0.5	650	1300	PitHouse	江別市東野幌375-1ほか	集落跡	擦文			
HokkaidoSite12	大麻17遺跡		141.4817611	43.06837028	0	0.5	-3500	-2000	BlueCircle	江別市大麻ひかり町40	遺物包含地	縄文(中期)			
