ja-JP	latitude	longitude	first_year	last_year	overall_length	texture
林洞			-99	0	20	Kango1
田熊石畑	33.80033917	130.5376087	-780	-350	20	Kango1
東郷登り立	33.80450691	130.5431067	-780	-750	20	Kango2
大南	33.52940619	130.4534717	-350	200	20	Kango4
江辻	33.62869148	130.4763933	-950	-840	20	Kango1
町南	33.31914375	130.4576568	-490	-350	20	Kango1
松原	33.35216601	130.3994121	200	240	20	Kango1
小部	33.55722731	131.3374111	80	240	20	Kango2
小野崎	32.96052514	130.7324181	80	260	20	Kango1
台	32.9858816	130.7582671	80	240	20	Kango1
西ノ丸	31.4154013	130.935493	-350	30	20	Kango1
溝口4号	34.43271825	132.8057548	-350	30	20	Kango1
焼け	34.70015229	132.5067907	80	240	20	Kango1
佐太前	35.50962475	133.0078267	-490	-350	20	Kango4
天王原	35.35454283	133.3773926	-380	-320	20	Kango2
日下寺山	35.40387984	133.4173231	80	140	20	Kango2
大塚岩田	35.49341017	133.4698435	-380	-320	20	Kango4
久米高畑	33.81299322	132.8058813	-490	30	20	Kango2
来住Ⅴ	33.80596837	132.8000248	-780	-220	20	Kango2
斎院烏山	33.83905315	132.7354222	-490	-320	20	Kango1
龍川五条	34.25004829	133.7897666	-780	-320	20	Kango2
五条	34.18602137	133.8288043	-560	-320	20	Kango2
中の池	34.27116836	133.7839268	-750	-320	20	Kango2
鴨部・川田	34.31258758	134.2252235	-750	30	20	Kango2
田村	33.55913437	133.6642761	-640	30	20	Kango2
庄・蔵元	34.07585906	134.5087735	-640	30	20	Kango2
表山	34.68222489	135.0268745	80	240	20	Kango2
寄居	34.84060452	134.537189	80	240	20	Kango4
川西根成柿	34.48229032	135.7589477	-780	-350	20	Kango1
桜井公園	34.50631164	135.845224	80	240	20	Kango1
木津城山	34.73141312	135.8350626	80	240	20	Kango1
浦明	35.62703634	134.9285783	-350	-320	20	Kango1
納所	34.72893256	136.4846377	-780	-350	20	Kango1
林垣内	34.65493778	136.3258927	80	260	20	Kango2
筋違	34.56720202	136.5076077	-780	-560	20	Kango1
天王	34.83765695	136.5524822	80	240	20	Kango2
天花寺丘丘陵	34.63356703	136.4609521	80	240	20	Kango1
平手町	35.20244183	136.9025069	-350	30	20	Kango2
山中	35.28014142	136.7429049	-560	-350	20	Kango1
赤日子	34.84126991	137.2261849	80	240	20	Kango1
若宮	34.78399898	137.385847	80	240	20	Kango1
西通北	35.03935044	138.3978484	-220	-90	20	Kango1
東的場タケノハナ	36.89997923	136.7853861	-350	200	20	Kango1
鉢伏茶臼山	36.72557656	136.7237002	80	240	20	Kango4
北吉田フルワ	37.02187389	136.795943	80	240	20	Kango4
新堀西	36.70996848	137.2163311	80	240	20	Kango2
餅田・西一里塚	36.27625248	138.459921	80	240	20	Kango1
戸坂	36.23490381	138.4802541	80	240	20	Kango1
城の前	36.35963683	138.3420822	80	240	20	Kango1
大門田	36.34692919	138.3478977	80	240	20	Kango1
八名の上	36.34692919	138.3478977	80	240	20	Kango1
上木戸	36.10877874	137.9622042	80	240	20	Kango2
中里	35.28326137	139.1853575	-220	-90	20	Kango1
方南峰	35.68413063	139.6559885	80	240	20	Kango1
池上	36.15257746	139.4276126	-220	-90	20	Kango1
南通	35.82936936	139.5515274	80	240	20	Kango2
稲荷山東	35.81454217	139.5896002	80	240	20	Kango1
南岩崎	35.41403889	140.1080769	-350	30	20	Kango1
戸張作	35.62846836	140.1272273	-350	30	20	Kango4
根形台遺跡群	35.4173882	139.9992677	-350	30	20	Kango1
鹿島台	35.30711502	139.932304	-350	200	20	Kango1
