key	ja-JP	longitude	latitude	first_year	last_year	texture	overall_length
Kofun1	大山古墳	135.487506	34.564229	440	480	大山古墳	760
Kofun2	誉田御廟山古墳	135.609181	34.562862	420	440	誉田御廟山古墳	655
Kofun3	百舌鳥陵山古墳	135.477575	34.5544	380	420	百舌鳥陵山古墳	610
Kofun4	土師ニサンザイ古墳	135.498822	34.547098	440	480	土師ニサンザイ古墳	474
Kofun5	ウワナベ古墳	135.809011	34.69794	420	440	ウワナベ古墳	442
Kofun6	丸山古墳	135.798086	34.476303	560	600	丸山古墳	415
Kofun7	箸墓古墳	135.840453	34.539148	240	280	箸墓古墳	409
Kofun8	河内大塚古墳	135.567742	34.572707	520	560	河内大塚古墳	394
Kofun9	造山古墳	133.803706	34.67369	380	420	ZKoenFunF3	355
Kofun10	仲津山古墳	135.612547	34.570257	380	420	仲津山古墳	344
Kofun11	五社神古墳	135.785453	34.706287	320	360	ZKoenFunSgt3	330
Kofun12	渋谷向山古墳	135.848858	34.550973	320	360	渋谷向山古墳	327
Kofun13	市庭古墳	135.796728	34.696254	380	420	ZKoenFunFSgt	300
Kofun14	岡ミサンザイ古墳	135.593903	34.565626	480	520	ZKoenFunSgt3	290.4
Kofun15	行燈山古墳	135.849308	34.557723	320	360	ZKoenFunFSgt3	290.4
Kofun16	作山古墳	133.769556	34.664889	420	440	ZKoenFunF3	286
Kofun17	室宮山古墳	135.733422	34.442889	380	420	ZKoenFunFSgt3	285.6
Kofun18	市野山古墳	135.616597	34.573915	440	480	ZKoenFunFSgt3	276
Kofun19	宝来山古墳	135.781236	34.680179	320	360	ZKoenFunSgt3	272.4
Kofun20	太田茶臼山古墳	135.578514	34.844611	440	480	ZKoenFunSgt3	271.2
Kofun21	古市墓山古墳	135.604175	34.557785	380	420	ZKoenFunFSgt3	270
Kofun22	ヒシアゲ古墳	135.8027	34.701512	380	420	ZKoenFunFSgt3	262.8
Kofun23	佐紀石塚山古墳	135.787475	34.70039	360	380	ZKoenFunFSgt3	261.6
Kofun24	太田天神山古墳	139.390939	36.29187	380	420	ZKoenFunFSgt	252
Kofun25	西陵古墳	135.169144	34.32705	420	440	ZKoenFunFSgt3	252
Kofun26	巣山古墳	135.741	34.556726	360	380	ZKoenFunFSgt3	252
Kofun27	築山古墳	135.731794	34.523501	380	420	ZKoenFunFSgt3	252
Kofun28	メスリ山古墳	135.847108	34.498861	320	360	ZKoenFunF	250
Kofun29	津堂城山古墳	135.593672	34.582123	360	380	ZKoenFunFSgt	249.6
Kofun30	佐紀陵山古墳	135.789036	34.699701	320	360	ZKoenFunFSgt3	248.4
Kofun31	桜井茶臼山古墳	135.857094	34.511636	280	320	ZKoenFunFSgt	248.4
Kofun32	コナベ古墳	135.804753	34.698117	380	420	ZKoenFunFSgt3	244.8
Kofun33	摩湯山古墳	135.433717	34.462206	320	360	ZKoenFunFSgt3	240
Kofun34	念仏山古墳	135.156553	34.653564	999999	999999	ZKoenFunSgt	240
Kofun35	新木山古墳	135.737642	34.550901	380	420	ZKoenFunSgt3	240
Kofun36	両宮山古墳	134.002683	34.739891	440	480	ZKoenFunSgt	235.2
Kofun37	島ノ山古墳	135.765981	34.583859	380	420	ZKoenFunSgt	234
Kofun38	五色塚古墳	135.045856	34.629732	320	360	ZKoenFunFSgt3	232.8
Kofun39	川合大塚山古墳	135.743031	34.586218	420	440	ZKoenFunFSgt3	231.6
Kofun40	軽里大塚古墳	135.603953	34.551548	440	480	ZKoenFunSgt2	228
Kofun41	舟塚山古墳	140.289497	36.167885	380	420	ZKoenFunSgt3	223.2
Kofun42	今城塚古墳	135.594472	34.850194	480	520	ZKoenFunSgt	223.2
Kofun43	御廟山古墳	135.490489	34.555037	440	480	ZKoenFunFSgt	223.2
Kofun44	西殿塚古墳	135.851206	34.568451	280	320	ZKoenFunF	219
Kofun45	久津川車塚古墳	135.779181	34.865139	420	440	ZKoenFunFSgt3	216
Kofun46	淡輪ニサンザイ古墳	135.178756	34.3305	440	480	ZKoenFunFSgt3	216
Kofun47	西山古墳	135.843078	34.592671	320	360	ZKohoFunFSgt	216
Kofun48	女狭穂塚古墳	131.384547	32.12027	380	420	ZKoenFunFSgt3	211.2
Kofun49	白石稲荷山古墳	139.040294	36.254773	380	420	ZKoenFunSgt	210
Kofun50	浅間山古墳	139.034056	36.298921	360	380	ZKoenFunFSgt2	205.8
Kofun51	甲斐銚子塚古墳	138.578136	35.592235	320	360	ZKoenFunFSgt	202.8
Kofun52	男狭穂塚古墳	131.384314	32.122225	360	380	ZKoenFunFSgt	200.4
Kofun53	網野銚子山古墳	135.029994	35.678213	360	380	ZKoenFunF3	198
Kofun54	別所茶臼山古墳	139.3335	36.2972	360	380	ZKoenFunFSgt	197.4
Kofun55	百舌鳥大塚山古墳	135.474267	34.550051	380	420	ZKoenFunFSgt3	190.8
Kofun56	神明山古墳	135.111314	35.735335	360	380	ZKoenFunF3	190
Kofun57	御墓山古墳	136.173425	34.802055	380	420	ZKoenFunF3	188
Kofun58	乳ノ岡古墳	135.465489	34.556037	360	380	ZKoenFunFSgt	186
Kofun59	野中宮山古墳	135.602069	34.560512	380	420	ZKoenFunFSgt3	184.8
Kofun60	断夫山古墳	136.903153	35.131208	520	560	ZKoenFunFSgt	181.2
Kofun61	昼飯大塚古墳	136.571189	35.387463	360	380	ZKoenFunFSgt3	180
Kofun62	古室山古墳	135.609725	34.568473	360	380	ZKoenFunFSgt3	180
Kofun63	櫛山古墳	135.852189	34.557107	360	380	SohoChuenFunFSgt	180
Kofun64	倉塚古墳	135.739594	34.560404	380	420	ZKoenFun	180
Kofun65	掖上鑵子塚古墳	135.755625	34.451075	420	440	ZKoenFunSgt	178.8
Kofun66	田出井山古墳	135.488353	34.576037	440	480	ZKoenFunFSgt	177.6
Kofun67	波多子塚古墳	135.847283	34.572007	280	320	ZKohoFunFSgt	176.4
Kofun68	七輿山古墳	139.0396	36.261782	480	520	ZKoenFunFSgt	175.2
Kofun69	いたすけ古墳	135.485481	34.553529	420	440	ZKoenFunFSgt3	175.2
Kofun70	椿井大塚山古墳	135.817228	34.762336	240	280	ZKoenFunF	175
Kofun71	杉山古墳	135.814189	34.670901	440	480	ZKoenFunFSgt3	174
Kofun72	内裏塚古墳	139.857081	35.326032	420	440	ZKoenFunFSgt2	172.8
Kofun73	生目3号墳	131.384819	31.950284	240	280	ZKoenFunFSgt	171.6
Kofun74	小造山古墳	133.798606	34.678433	420	440	ZKoenFunSgt	170.4
Kofun75	馬塚古墳	136.134569	34.662262	480	520	ZKoenFunFSgt	169.2
Kofun76	雷神山古墳	140.879589	38.151151	360	380	ZKoenFunF	168
Kofun77	心合寺山古墳	135.640594	34.639093	380	420	ZKoenFunFSgt2	168
Kofun78	雲部車塚古墳	135.304569	35.086977	440	480	ZKoenFunFSgt2	168
Kofun79	壇場山古墳	134.735292	34.822734	360	380	ZKoenFunFSgt	168
Kofun80	平田梅山古墳	135.800939	34.468911	560	600	ZKoenFunSgt	168
Kofun81	狐井城山古墳	135.708142	34.533835	480	520	ZKoenFunFSgt	168
Kofun82	唐仁1号墳	130.986733	31.364014	380	420	ZKoenFunFSgt	168
Kofun83	東殿塚古墳	135.85265	34.568482	280	320	ZKoenFunFSgt	166.8
Kofun84	富田茶臼山古墳	134.244061	34.260136	380	420	ZKoenFunFSgt3	166.8
Kofun85	二子山古墳	139.478942	36.126449	520	560	ZKoenFunSgt	165.6
Kofun86	見三才古墳	135.780194	34.478651	520	560	ZKoenFunFSgt2	165.6
Kofun87	岩戸山古墳	130.552553	33.229893	560	600	ZKoenFunFSgt2	165.6
Kofun88	金蔵山古墳	133.967822	34.663744	360	380	ZKoenFunF	165
Kofun89	水戸愛宕山古墳	140.451967	36.396356	380	420	ZKoenFunSgt	163.8
Kofun90	池田古墳	134.843064	35.340988	380	420	ZKoenFunFSgt3	163.2
Kofun91	横瀬古墳	131.015025	31.413969	440	480	ZKoenFunFSgt	160.8
Kofun92	天神山古墳	138.580267	35.583002	420	440	ZKoenFunFSgt	158.4
Kofun93	駒寄村11号墳	139.026328	36.426967	999999	999999	ZKoenFunSgt	156
Kofun94	前橋八幡山古墳	139.100997	36.367256	280	320	ZKohoFunFSgt	156
Kofun95	久米田貝吹山古墳	135.410006	34.459835	360	380	ZKoenFunFSgt	156
Kofun96	乙女山古墳	135.739517	34.564212	380	420	HotateFunFSgt	156
Kofun97	前橋天神山古墳	139.103819	36.365225	320	360	ZKoenFunFSgt3	154.8
Kofun98	黒塚古墳	135.842914	34.560307	280	320	ZKoenFunSgt	153
Kofun99	亀ヶ森古墳	139.829281	37.593083	320	360	ZKoenFunFSgt	152.4
Kofun100	佐紀高塚古墳	135.787261	34.698451	999999	999999	ZKoenFunSgt	152.4
Kofun101	梵天山古墳	140.492239	36.509523	280	320	ZKoenFun	151
Kofun102	御富士山古墳	139.172028	36.338166	380	420	ZKoenFunSgt3	150
Kofun103	ヒゲ山古墳	135.658997	34.808405	999999	999999	ZKoenFunSgt	150
Kofun104	後山古墳	135.630678	34.562054	360	380	ZKoenFun	150
Kofun105	ヒエ塚古墳	135.846011	34.574015	240	280	ZKoenFunFSgt	150
Kofun106	神宮寺山古墳	133.930739	34.683958	320	360	ZKoenFunF	150
Kofun107	湊茶臼山古墳	133.954094	34.647789	320	360	ZKoenFun	150
Kofun108	佐古田堂山古墳	133.831	34.695009	360	380	ZKoenFunF2	150
Kofun109	恵解山古墳	135.697589	34.914647	380	420	ZKoenFunFSgt	148.8
Kofun110	朝子塚古墳	139.361553	36.260759	320	360	ZKoenFunFSgt2	148.2
Kofun111	琵琶塚古墳	139.80685	36.374934	520	560	ZKoenFunSgt3	147.6
Kofun112	大鶴巻古墳	139.038703	36.294915	360	380	ZKoenFunFSgt2	147.6
Kofun113	三之分目大塚山古墳	140.582022	35.878755	380	420	ZKoenFunSgt2	147.6
Kofun114	青塚茶臼山古墳	136.928969	35.326635	360	380	ZKoenFunFSgt	147.6
Kofun115	郡山新木山古墳	135.774875	34.642647	480	520	ZKoenFunSgt	147
Kofun116	三条塚古墳	139.862	35.321643	590	620	ZKoenFunSgt	146.4
Kofun117	野中ボケ山古墳	135.596411	34.556693	520	560	ZKoenFunSgt2	146.4
Kofun118	高屋築山古墳	135.609536	34.549003	520	560	ZKoenFunSgt	146.4
Kofun119	上並榎稲荷山古墳	138.986311	36.345978	480	520	ZKoenFunSgt	146.04
Kofun120	蛭子山1号墳	135.104367	35.507515	320	360	ZKoenFunF3	145
Kofun121	摩利支天塚古墳	139.805836	36.372745	480	520	ZKoenFunFSgt	144.66
Kofun122	稲荷山古墳	139.480772	36.129413	480	520	ZKoenFunFSgt	144
Kofun123	高柳銚子塚古墳	139.929094	35.402946	420	440	ZKoenFunSgt	144
Kofun124	坊の塚古墳	136.925475	35.403224	360	380	ZKoenFunFSgt	144
Kofun125	膳所茶臼山古墳	135.883603	34.990583	360	380	ZKoenFunFSgt	144
Kofun126	御勝山古墳	135.535983	34.654734	320	360	ZKoenFunFSgt	144
Kofun127	帝塚山古墳	135.496175	34.621351	320	360	ZKoenFunFSgt2	144
Kofun128	中山大塚古墳	135.848056	34.566223	240	280	ZKoenFunFSgt3	144
Kofun129	白鳥古墳	132.079825	33.897026	380	420	ZKoenFunFSgt3	144
Kofun130	石人山古墳	130.517514	33.237338	480	520	ZKoenFunFSgt	144
