ja-JP	first_year	last_year	latitude	longitude	texture	overall_length
石清尾山猫塚	240	260	34.32893612	134.0230579	TatetsukiIseki	96
楯築双方中円形墳丘墓	143	200	34.66376964	133.8254722	TatetsukiIseki	72
石清尾山鏡塚	240	260	34.32990547	134.0289521	TatetsukiIseki	70
弘法山前方後方形墳丘墓	227	240	36.21322953	137.982942	MakimukuHo	66
鯉喰神社	200	220	34.66760074	133.8199697	Hofun	60
南春日山1号(大型)	115	200	36.08944662	136.2994816	Hofun	48
杉谷4号	240	260			Yosumi	47
鶴尾神社4号	227	240	34.3238746	134.0312898	Makimuku	40
宮山	240	260	34.66237614	133.7470603	Makimuku	38
赤坂今井	143	200	35.64417727	135.0505998	Hofun	37.46998799
矢藤治山	240	260	34.66002316	133.8597923	Makimuku	36
黒宮大塚「後方部」	143	200	34.62607545	133.671497	Hofun	35
乃木山	220	240	36.09088796	136.3021309	Hofun	34
三雲南小路	-160	30	33.53763289	130.2414645	Hofun	31.5
鋳物師谷2号	143	200	34.79770056	135.4123912	Hofun	30
大槻11号墳	240	260	37.00716465	136.9070932	MakimukuHo	27.7
石清尾山9号	240	260	34.33633879	134.0289606	Makimuku	27
一塚SX21	200	220			Yosumi	27
一塚SX04号	227	240	36.55691981	136.5610387	TotsuHofun	27
西一本杉ST008	220	240	33.35259303	130.4002037	YoshinogariST008	26
朝日谷2号前方後円墳	240	260	33.84673227	132.7389025	Makimuku	25.5
石塚山2号	220	240	34.24789875	133.886905	Enpun	25
六治古塚	213	227			Yosumi	24.5
原目山2号	213	227	36.07792432	136.2726538	Hofun	24.49489743
大久保1号前方後円形墳	240	260	33.89863262	133.0856398	Makimuku	24
原目山1号	213	227	36.07792432	136.2726538	Hofun	22.36067977
小田部	227	240	35.48958427	140.1523484	TotsuEnpun	22
新井三嶋谷1号	30	50	35.5643705	134.3357931	HofunF	21.22498528
戸水CST16号	240	260	36.60253752	136.6206626	TotsuHofun	20.7
内場山	220	240	35.09820924	135.1690578	Hofun	20.52315765
西円寺1号	220	240	35.32363783	136.3024227	TotsuEnpun	20.5
鋳物師谷1号	143	200	34.79770056	135.4123912	Hofun	20
女男岩	200	220	34.64828527	133.6870977	Hofun	20
浅後谷南	143	200	35.66475289	135.0359688	Hofun	20
金谷1号	143	200	35.62622118	135.0713962	Hofun	20
七野1号方形墳丘墓	213	227	36.65808138	136.7636907	Hofun	20
根塚	115	200	36.85447484	138.4006431	EnpunF	20
太田南2号方形墳丘墓	240	260	35.64502581	135.0820801	Hofun	19.89974874
矢谷1号	220	240			Yosumi	18.5
都月坂2号	200	220	34.69228487	133.9069619	Hofun	17.88854382
雲山鳥打1号	143	200	34.67454535	133.8146931	Hofun	17.32050808
立坂	143	200	34.65741339	133.6710953	TotsuEnpun	17
小菅波4号	227	240	36.31791632	136.3464501	TotsuHofun	16.6
ボラ山	115	200	35.25374702	134.9913892	Hofun	16.1245155
風巻神山4号方形墳丘墓	227	240	36.02721643	136.1356794	Hofun	16
片山鳥越5号	200	220	36.08745104	136.1797937	Hofun	15.19868415
太田南5号方形墳丘墓	240	260	35.64502581	135.0820801	Hofun	15.09966887
加佐美山1号	143	200	35.42274332	136.8653092	Hofun	15
中出勝負峠3号	30	115	34.67099287	132.5440385	Hofun	14.57394936
八幡山	220	240	37.80551862	139.1101886	TotsuHofun	14.56151728
布施鶴指奥1号	86	143	35.50203579	134.1805596	HofunF	13.73608387
内和田5号	200	240	35.50381355	135.0970975	Hofun	13.69306394
平原1号方形墳丘墓	143	200	33.54302178	130.2282321	Hofun	13
安源寺城跡1号	220	240	36.74301482	138.3353681	TotsuHofun	13
井の端7号方形墳丘墓	220	240	34.86111667	134.3351046	Hofun	12.64911064
西山3号	200	220	35.95558246	136.183435	Hofun	12
王山4号	30	86	35.94013467	136.1845664	Hofun	11.7
花園2号	30	115	34.79816272	132.8595647	HofunF	11.29974336
王山5号下層	200	220	35.94013467	136.1845664	Hofun	10.19803903
黒田坪	180	200	35.07586247	135.1888528	Hofun	10
金敷寺裏山	200	220	34.59968126	133.4557876	Hofun	9.721111048
袖高林1号	220	240	36.08919979	136.3367734	Hofun	9.674709298
王山1号	30	115	35.94013467	136.1845664	Hofun	9.555103348
王山3号	115	200	35.94013467	136.1845664	Hofun	8
高松方形墳丘墓	86	143	34.71747425	136.4761666	Hofun	7.745966692
伊予部山	86	143	34.66237011	133.7170091	Hofun	7
ずえが谷	220	240	35.07586247	135.1888528	Hofun	6
波来浜B区1号	30	86	35.04604449	132.3036715	HofunF	5.477225575
須玖岡本D地点	-160	30	33.53692851	130.4498932	Hofun	5
立岩堀田	-160	30	33.65241863	130.6931932	Hofun	5
東小田峯	-160	30	33.45153561	130.575867	Hofun	5
二塚山	-160	30	33.34495829	130.4198917	Hofun	5
吹上	-160	30	33.33032704	130.9299549	Hofun	5
桜馬場	30	115	33.44907091	129.962848	Hofun	5
井原鑓溝	30	115	33.53642861	130.2430941	Hofun	5
三雲寺口Ⅱ-17区画墓	143	200	33.53748981	130.2415074	Hofun	5
飯氏Ⅱ区方形区画墓	143	200	33.56749757	130.2483315	Hofun	5
宮の前C地点突出付方形墳丘墓	200	220	33.54724585	130.3782173	TotsuHofun	5
比恵36次SD01方形(前方後方形説有り)墳丘墓	220	240	33.58516132	130.4292948	Hofun	5
酒殿墳墓	115	240	33.60171392	130.4833894	Hofun	5
平塚円形墳丘墓	115	240	33.6310681	130.495387	Enpun	5
亀山方形(推定)墳丘墓	115	240	33.60714211	130.4619408	Hofun	5
名子道2号隅丸方形墳丘墓	115	240	33.63913948	130.4725469	Hofun	5
津古2号	220	240	33.44399124	130.562007	Makimuku	5
赤坂	220	240	33.40618821	130.522779	Makimuku	5
吉野ヶ里ST942	220	240	33.32881502	130.3869289	Makimuku	5
吉野ヶ里ST2200	240	260	33.32905165	130.386579	Hofun	5
吉野ヶ里ST941	240	260	33.32905165	130.386579	Hofun	5
吉野ヶ里ST568	240	260	33.32905165	130.386579	Hofun	5
下稗田H地区	200	220	33.70305693	130.9433759	Hofun	5
徳永川ノ上3号	200	220	33.68764965	130.9950028	Hofun	5
竹並A-10号	200	220	33.6956138	130.9752928	Hofun	5
山崎八ケ尻	200	220	33.86806153	130.8300433	Hofun	5
徳永川ノ上Ⅴ号	220	240	33.68764965	130.9950028	Hofun	5
川部南西地区1号	220	240	33.5462157	131.3565866	Hofun	5
郷谷C地点	220	240	33.87126758	130.8339799	Enpun	5
徳永川ノ上4号	220	240	33.68612228	130.9963269	Enpun	5
若草町遺跡円形・方形周溝墓13基	240	260	33.84622819	132.7606176	Enpun	5
空港跡地ST010	30	86	34.29545781	134.0735764	Enpun	5
陵ST02	115	200	34.25845134	134.1768465	Enpun	5
林・坊城SX03	115	200	34.30552098	134.0715044	TotsuEnpun	5
森広ST301・ST302	220	240	34.26304628	134.2102931	TotsuEnpun	5
空港跡地ST01	200	260	34.29572772	134.07363	Makimuku	5
成重6・7	86	143	34.23204364	134.3448379	Hofun	5
空港跡地ST05	200	260	34.29590499	134.0732008	MakimukuHo	5
鶴尾神社5号	30	50	34.32383916	134.0315473	Enpun	5
奥11号	180	213	34.26722	134.20425	Enpun	5
樋端	220	240	34.23471847	134.336344	Enpun	5
平尾2号	30	86	34.21583086	133.8814585	TotsuEnpun	5
尾崎西ST24	143	200	34.26122003	134.17201	TotsuEnpun	5
奥10号	180	213	34.28407382	134.2284454	Hofun	5
極楽寺1号	200	260	34.26245855	134.1828424	Hofun	5
丸井	240	260	34.2491542	134.1699631	Makimuku	5
平尾3号突出部付き円形墳丘墓	-20	260	34.25288153	133.8852558	TotsuEnpun	5
延命ST2012墳丘墓	180	200	34.05007945	134.4809164	Enpun	5
西山谷2号	227	260	34.16539953	134.5369552	Enpun	5
萩原1号	200	220	34.15612112	134.521795	TotsuEnpun	5
足代東原B-1号	200	220	34.04286472	133.9053082	TotsuEnpun	5
四辻墳丘墓	-96	30	34.7481634	134.0041438	Hofun	5
四辻峠墳丘墓	-96	30	34.7481634	134.0041438	Hofun	5
みそのお6～12・16～18号	30	86	34.8004	133.9137	Hofun	5
宮山	30	86	34.75539	134.01886	Hofun	5
みそのお19・21～28号	86	143	34.8004	133.9137	Hofun	5
みそのお29～32・47号	143	200	34.8004	133.9137	Hofun	5
みそのお20・33～37号	200	220	34.8004	133.9137	Hofun	5
みそのお38・39・40・41・42号	220	240	34.8004	133.9137	Hofun	5
郷境3号	220	240	34.67542821	133.9191761	Hofun	5
殿山13～15号	220	240	34.67567669	133.7374877	Hofun	5
郷境1号・2号	220	240	34.66617591	133.9178305	Hofun	5
竹田8号四隅突出型墳丘墓	30	115			Yosumi	5
下道山1号・2号方形墳丘墓	30	115	35.07246766	134.0092909	Hofun	5
才ノ峪方形墳丘墓	30	115	35.08993404	134.0798566	Hofun	5
三毛ケ池上層円形墳丘墓	30	115	35.06255668	134.066046	Enpun	5
西ノ土居長方形墳丘墓	30	200	34.984423	134.3964179	Hofun	5
小神辻の堂	30	115	34.86280541	134.5282611	TotsuHofun	5
養久山5号中方双方形墳丘墓	200	220	34.84166417	134.5200363	TotsuHofun	5
養久山32号	-20	240	34.84125942	134.5207905	Enpun	5
半田山1号	143	200	34.85110735	134.5341428	Enpun	5
半田山2号	143	200	34.85110735	134.5341428	Enpun	5
北山	143	200	34.84850675	134.5143188	Enpun	5
養久山12号	200	220	34.84125942	134.5207905	Enpun	5
綾部山39号	220	240	34.77676092	134.548424	Enpun	5
白鷺山	143	240	34.86639089	134.5389763	Enpun	5
岩見北山1号	143	240	34.78209002	134.5387316	Enpun	5
南山1号	200	260	34.84108834	134.5028002	Enpun	5
西神ニュータウン30-1号円形墳丘墓	115	240	34.70291828	135.0336031	Enpun	5
有年原・田中1号	30	115	34.83293821	134.3891881	TotsuEnpun	5
養久山40号	180	240	34.84125942	134.5208334	TotsuEnpun	5
養久山42号	180	240	34.84125942	134.5208334	TotsuEnpun	5
西条52号	200	220	34.78921085	134.8841798	TotsuEnpun	5
山戸4号	220	240	34.81121012	134.60085	TotsuEnpun	5
養久山1号	200	260	34.84125942	134.5208334	TotsuEnpun	5
天王山4号	200	240	34.67709176	135.0099148	Hofun	5
円形墳丘墓	200	240	34.67709176	135.0099148	Hofun	5
口酒井1	115	200	34.7732946	135.4339685	Hofun	5
無番(7・9次調査)	115	200	34.7732946	135.4339685	Hofun	5
松ケ内ST01・ST1	115	200	34.72800783	135.4155592	Hofun	5
古宮2	115	200	34.72800783	135.4155592	Hofun	5
郡家(城の前)ST01・ST02・6次1・6次2	30	200	34.72249773	135.2541182	Hofun	5
服部2～4号	180	213	34.76476552	135.4728957	Hofun	5
深江北町	200	220	34.72506234	135.2945601	Hofun	5
豊島北1号～5号	200	240	34.76716264	135.4662054	Hofun	5
魚崎中町SX1・SX2	200	240	34.71487642	135.2734508	Hofun	5
川除・藤の木SX01・02	200	240	34.89566604	135.2183077	Hofun	5
郡	200	240	34.83002115	135.5559199	Hofun	5
総持寺1号	143	200	34.82990067	135.5816866	TotsuEnpun	5
服部1号	180	213	34.7643075	135.4747819	TotsuEnpun	5
下池田1～3	30	200	34.46905129	135.4041065	Enpun	5
成法寺SX1	200	240	34.62519202	135.6007463	Enpun	5
府中SX05	30	115	34.48588551	135.4284158	TotsuEnpun	5
下池田SD001	30	200	34.46968349	135.4037737	TotsuEnpun	5
府中SX03	30	115	34.48605603	135.4279959	TotsuHofun	5
久宝寺南地区南群1号	200	213	34.62405727	135.5878975	MakimukuHo	5
加美14号	227	260	34.62713906	135.5745538	MakimukuHo	5
中宮ドンパ1号突出部付方形墳丘墓	200	240	34.82286466	135.66036	TotsuHofun	5
鷹塚山円形墳丘墓	200	240	34.80744919	135.644278	Enpun	5
別所裏山	115	200	34.60958774	135.8365292	Hofun	5
キトラ	200	213	34.52597624	135.9506077	Hofun	5
大王山9地点	220	240	34.52167412	135.9471282	Hofun	5
能峠南山1号～8号	220	240	34.51686672	135.9570282	Hofun	5
見田大沢4号	220	240	34.48055831	135.9734736	Hofun	5
見田大沢5号	220	240	34.48055831	135.9734736	Hofun	5
蓮華山	220	260	34.4725881	135.9698288	Hofun	5
平尾東6号・7号	200	240	34.44770787	135.9661157	Hofun	5
黒石10号突出部付き方形	30	200	34.54904871	135.743859	TotsuHofun	5
メクリ1号前方後方形	220	240	34.54496324	135.840453	TotsuHofun	5
太田1	200	240	34.51108	135.70689	TotsuHofun	5
住川1号突出部付き方形	200	260	34.38736513	135.7264196	TotsuHofun	5
見田大沢1号突出部付き方形	200	260	34.48227316	135.973864	TotsuHofun	5
