ja-JP	latitude	longitude	overall_length	texture	first_year	last_year
西谷９号	35.340277	132.725	38	YosumiF	200	250
西谷３号	35.360786	132.781888	35	YosumiF	150	200
西谷２号	35.359488	132.78348	29	YosumiF	150	200
西谷４号	35.3587	132.7813	29	YosumiF	150	200
塩津山６号	35.4262	133.2082	29	YosumiF	200	250
塩津山10号	35.4262	133.2082	29	YosumiF	200	250
杉谷４号	36.677777	137.138611	25	Yosumi	200	250
六治古墳	36.652	137.12	25	Yosumi	200	250
小羽山30号	36.0323368	136.1414048	24	Yosumi	150	200
鏡坂１号	36.6475	137.117	24	Yosumi	200	250
余川金谷古墳1号墳	36.88416286	136.954464	24	YosumiF	200	250
富崎１号	36.6414	137.1181	22	Yosumi	200	250
富崎３号	36.6414	137.1181	21	Yosumi	150	200
下山	35.429694	133.199778	21	YosumiF	200	250
矢谷１号	34.7754395	132.866224	19	YosumiF	200	250
仲仙寺10号	35.4215423	133.2146583	18	YosumiF	150	200
仲仙寺８号	35.4215423	133.2146583	18	YosumiF	150	200
大城	36.2034724	133.3326943	18	YosumiF	150	250
安養寺１号	35.4293	133.2121	18	YosumiF	200	250
安養寺３号	35.4293	133.2121	18	YosumiF	200	250
徳楽	35.4637	133.4451	18	YosumiF	200	250
一塚21号	36.5556227	136.5610658	18	Yosumi	200	250
富崎２号	36.6414	137.1181	17	Yosumi	150	200
宮山Ⅳ号	35.4215423	133.2146583	17	YosumiF	200	250
大木権現山1号墳	35.42684925	133.1379985	17	YosumiF	200	250
佐田谷１号	34.8772101	133.0826079	16	YosumiF	50	100
仲仙寺９号	35.4215423	133.2146583	16	YosumiF	150	200
仙谷１号	35.463055	133.445555	15	YosumiF	100	150
阿弥大寺１号	35.4262	133.7509	14	YosumiF	50	150
船木南山	34.8819161	134.9843434	14	YosumiF	100	200
鏡坂２号	36.6475	137.117	14	Yosumi	200	250
宮内１号	35.483333	133.9	13	YosumiF	100	200
小羽山24号	36.0323368	136.1414048	13	Yosumi	150	200
糸谷１号	35.4657116	134.3011788	13	YosumiF	200	250
西谷６号	35.3587	132.7813	12	YosumiF	200	250
父原１号	35.3183267	133.4287453	12	YosumiF	200	250
