en-US	ja-JP	hiragana	latitude	longitude	overall_length	x_size	texture	first_year	last_year
Kuboizumimaruyama site	久保泉丸山遺跡	くぼいずみまるやまいせき	33.3347	130.3243	50	118	Dolmen	-700	-200
Harayama dolmen group	原山支石墓群	はらやましせきぼぐん	32.6792	130.2074	50	100	Dolmen	-700	-200
Onodai dolmen group	大野台遺跡	おおのだいしせきぼぐん	33.2234	129.6116	50	70	Dolmen	-700	-200
Shimmachi dolmen group	新町支石墓群	しんまちしせきぼぐん	33.570111	130.133055	50	57	Dolmen	-700	-200
Fukandake dolmen group	風観岳支石墓群	ふうかんだけしせきぼぐん	32.889166	130.031111	50	20	Dolmen	-700	-200
Morita dolmen	森田支石墓	もりたしせきぼ	33.406388	130.01	50	16	Dolmen	-700	-200
Setoguchi dolmen	瀬戸口支石墓	せとぐちしせきぼ	33.406111	130.009166	50	14	Dolmen	-700	-200
Yatsuwari site	八ツ割遺跡	やつわりいせき	32.7614	130.895	50	12	Dolmen	-700	-200
Shito dolmen group	志登支石墓群	しとしせきぼぐん	33.5204	130.1636	50	10	Dolmen	-700	-200
Tokusue site	徳須恵遺跡	とくすえいせき	33.4049	129.8968	50	10	Dolmen	-700	-200
Ogawachi dolmen group	小川内支石墓群	おがわちしせきぼぐん	33.3066	129.6114	50	10	Dolmen	-700	-200
Tanukiyama dolmen	狸山支石墓	たぬきやましせきぼ	33.263	129.6664	50	10	Dolmen	-700	-200
Kishidaka site	岸高遺跡	きしだかいせき	33.3521	129.9198	50	9	Dolmen	-700	-200
Fujio dolmen group	藤尾支石墓群	ふじおしせきぼぐん	33.0353	130.7524	50	9	Dolmen	-700	-200
Kurotsuchibaru site	黒土原遺跡	くろつちばるいせき	33.3236	130.2714	50	8	Dolmen	-700	-200
Ukumatsubara site	宇久松原遺跡	うくまつばらいせき	33.2636	129.13	50	8	Dolmen	-700	-200
Wariishi site	割石遺跡	わりいしいせき	33.3587	129.9934	50	6	Dolmen	-700	-200
Hayamajiri dolmen group	葉山尻支石墓群	はやまじりしせきぼぐん	33.41	130.021666	50	5	Dolmen	-700	-200
Tasuke site	田助遺跡	たすけいせき	33.3797	129.5344	50	5	Dolmen	-700	-200
Gotanda site	五反田遺跡	ごたんだいせき	33.3719	130.044	50	5	Dolmen	-700	-200
Hatakeda site	畑田遺跡	はたけだいせき	33.3678	130.821	50	5	Dolmen	-700	-200
Amakubo site	天久保遺跡	あまくぼいせき	33.0771	129.6576	50	5	Dolmen	-700	-200
Kogayama site	古閑山遺跡	こがやまいせき	33.0089	130.7064	50	5	Dolmen	-700	-200
Usonomae site	嘘の前遺跡	うそのまえいせき	33.098	130.6282	50	4	Dolmen	-700	-200
Ishizakiyakaze site	石崎矢風遺跡	いしざきやかぜいせき	33.5158	130.1649	50	3	Dolmen	-700	-200
Otomo site	大友遺跡	おおともいせき	33.4643	129.8692	50	3	Dolmen	-700	-200
Sakogashira site	迫頭遺跡	さこがしらいせき	33.3933	129.97	50	3	Dolmen	-700	-200
Satotabaru site	里田原遺跡	さとたばるいせき	33.2828	129.63	50	3	Dolmen	-700	-200
Oda site	小田遺跡	おだいせき	33.56	130.159	50	2	Dolmen	-700	-200
Naganomiyanomae site	長野宮ノ前支石墓	ながのみやのまえいせき	33.50783162	130.1945704	50	2	Dolmen	-700	-200
Funaishi site	舩石遺跡1区	ふないしいせき	33.342613	130.426319	50	2	Dolmen	-700	-200
Izaki dolmen	井崎遺跡	いざきしせきぼ	32.9924	130.2096	50	2	Dolmen	-700	-200
Toshinokami site	年の神遺跡	としのかみいせき	32.9891	130.573	50	2	Dolmen	-700	-200
Tonomoto site	塔ノ木遺跡	とうのもといせき	32.933	130.734	50	2	Dolmen	-700	-200
Asobaru site	麻生原遺跡	あそうばるいせき	32.7779	130.8674	50	2	Dolmen	-700	-200
Nakanohama site	中ノ浜遺跡	なかのはまいせき	34.155436	130.91748	50	1	Dolmen	-700	-200
