key	ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
YokoSekishitsu1	五條野丸山古墳	34.47598728	135.7984186	1925596	1936188	MisemaruyamaKofun	830
YokoSekishitsu2	五ヶ庄二子塚古墳	34.91813971	135.797676	1904046	1910986	ZKoenFun	224
YokoSekishitsu3	大日山35号墳	34.22464826	135.2208122	1910986	1921578	ZKoenFun	166
YokoSekishitsu4	阿武山古墳	34.86344941	135.5695834	1954815	1965407	Enpun	164
YokoSekishitsu5	大谷22号墳	34.22734193	135.2198762	1910986	1921578	ZKoenFun	160
YokoSekishitsu6	金山古墳	34.46955922	135.6304556	1936553	1947145		156
YokoSekishitsu7	蛇塚古墳	35.01207584	135.7001301	1940571	1947510	ZKoenFun	150
YokoSekishitsu8	天塚古墳	35.00719684	135.7120332	1904046	1915734	ZKoenFun	142
YokoSekishitsu9	市尾墓山古墳	34.44394718	135.7745694	1903681	1910621	ZKoenFun	130
YokoSekishitsu10	烏土塚古墳	34.61783353	135.7024635	1925596	1936188	ZKoenFun	122
YokoSekishitsu11	郡川西塚古墳	34.62323929	135.6336537	1892724	1903316	ZKoenFun	120
YokoSekishitsu12	二塚古墳後円部石室	34.48698363	135.7006329	1925596	1936188	ZKoenFun	120
YokoSekishitsu13	二塚古墳造出部石室	34.48698363	135.7006329	1925596	1936188	ZKoenFun	120
YokoSekishitsu14	二塚古墳前方部石室	34.48698363	135.7006329	1925596	1936188	ZKoenFun	120
YokoSekishitsu15	珠城山第3号墳(後円部)	34.54666671	135.8474662	1922309	1940206	ZKoenFun	116
YokoSekishitsu16	珠城山第3号墳(前方部)	34.54666671	135.8474662	1922309	1940206	ZKoenFun	116
YokoSekishitsu17	勝福寺古墳1号石室	34.83788465	135.4142727	1914639	1925231	ZKoenFun	114
YokoSekishitsu18	勝福寺古墳2号石室	34.83788465	135.4142727	1914639	1925231	ZKoenFun	114
YokoSekishitsu19	平林古墳	34.49867677	135.6981261	1925596	1936188	ZKoenFun	110
YokoSekishitsu20	珠城山第1号墳(珠城山古墳)	34.54656911	135.848613	1916099	1927787	ZKoenFun	106
YokoSekishitsu21	狩口台きつね塚古墳	34.64362071	135.0237563	1925596	1936188	Enpun	100
YokoSekishitsu22	郡川東塚古墳	34.623425	135.635744	1903681	1910621	ZKoenFun	100
YokoSekishitsu23	山畑古墳群52号墳	34.66075858	135.6422362	1903681	1921578		100
YokoSekishitsu24	南塚古墳	34.84283504	135.5464731	1903681	1910621	ZKoenFun	100
YokoSekishitsu25	不動塚1号墳	34.465769	135.975181	1922309	1940206	ZKoenFun	100
YokoSekishitsu26	石舞台古墳	34.46697121	135.8261324	1940571	1976730	Hofun	100
YokoSekishitsu27	天王山古墳	35.07387063	136.0401623	1892724	1903316	ZKoenFun	100
YokoSekishitsu28	大覚寺1号墳	35.02562171	135.6800689	1940571	1976730	Enpun	100
YokoSekishitsu29	越前塚古墳	35.064056	136.032167	1892724	1903316	ZKoenFun	98
YokoSekishitsu30	花山6号墳	34.22570228	135.2279718	1903681	1910621	ZKoenFun	98
YokoSekishitsu31	井辺前山6号墳	34.22322533	135.2207435	1903681	1910621	ZKoenFun	98
YokoSekishitsu32	藤ノ木古墳	34.61198389	135.7295413	1925596	1936188	Enpun	96
YokoSekishitsu33	物集女車塚古墳	34.95814147	135.6993375	1910986	1921578	ZKoenFun	96
YokoSekishitsu34	ハミ塚古墳	34.61574285	135.8538342	1936553	1947145	Hofun	94
YokoSekishitsu35	山津照神社古墳	35.33023584	136.3221386	1910986	1921578	ZKoenFun	92
YokoSekishitsu36	井ノ内稲荷塚古墳	34.9412769	135.6851766	1910986	1921578	ZKoenFun	92
YokoSekishitsu37	陵山古墳	34.32075939	135.613114	1881767	1888706	Enpun	92
YokoSekishitsu38	鉢塚古墳	34.81779637	135.437074	1910986	1921578	Enpun	90
YokoSekishitsu39	二子塚古墳	34.81325947	135.4441461	1936553	1947145	ZKoenFun	90
YokoSekishitsu40	富木車塚古墳	34.522722	135.447853	1914639	1925231	ZKoenFun	90
YokoSekishitsu41	塚穴古墳	34.55081802	135.5919048	1936553	1958102	Hofun	90
YokoSekishitsu42	塔塚古墳	34.53907736	135.4547373	1885784	1903681	Hofun	90
YokoSekishitsu43	岩屋山古墳	34.46581531	135.7975966	1940571	1976730	Hofun	90
YokoSekishitsu44	牧野古墳	34.55444444	135.7239751	1936553	1947145	Enpun	90
