Samples	14C Dating (ybp)	Y haplogroup	mt haplogroup	Site - Kurgan - Grave	Morphological age and sex estimation	Coordinates
ARZ-T1	2400±140	R1a-Z93	C4d	Eki-Ottug 2-1-4	M? 14-15	51.809667, 94.064647
ARZ-T28	2500±45	R1a-Z93	U5a1f1	Bai-Dag 8-1-2	M >50	51.774202, 94.308568
ARZ-T2	2400±140	R1a-M513	D4j7	Eki-Ottug 2-1-4	F? 20-25	51.809667, 94.064647
ARZ-T12	2400±140	R1a-M513	HV6	Eki-Ottug 2-1-4	F 25-30	51.809667, 94.064647
ARZ-T13	2400±140	R1a-M513	HV6	Eki-Ottug 2-1-4	M >40	51.809667, 94.064647
ARZ-T6	2400±140	R1a-M513	D4j7	Eki-Ottug 2-1-4	M >50	51.809667, 94.064647
ARZ-T7	2400±140	R1a-M513	D4j7	Eki-Ottug 2-1-2	F >50	51.809667, 94.064647
ARZ-T24	2400±140	R1a-M513	C4d	Eki-Ottug 2-1-4	M?	51.809667, 94.064647
ARZ-T9	2400±140	R1a-M513	F1b1b	Eki-Ottug 2-1-6	F >50	51.809667, 94.064647
ARZ-T8	2400±140	R1a-M513	H	Eki-Ottug 2-1-6	M 35-40	51.809667, 94.064647
ARZ-T15	Unknown	N-M231	HV14a	Eerbek 2-3-1	M 40-45	51.830486, 94.092872
ARZ-T18	2420±25	Q-L330	T2d2	Eki-Ottug 1-6	M 30-35	51.809667, 94.064647
ARZ-T19	2400±30	Q -L330	T2d2	Eki-Ottug 1-6	M 35-40	51.809667, 94.064647
ARZ-T20	2430±30	Q-L330	H6a1a1	Eki-Ottug 1-12	M 25-30	51.809667, 94.064647
ARZ-T21	2430±30	Q -L330	C4a1a3	Eki-Ottug 1-12	M 30-40	51.809667, 94.064647
ARZ-T23	2430±30	Q-L330	ARZ-T23	Eki-Ottug 1-12	Child 7-8	51.809667, 94.064647
ARZ-T25	2650±25	Q1b-L54	U4a1a	Bai-Dag 8-1-3	M 25-35	51.774202, 94.308568
