Individual	Site	Culture	Age (cal BC) 95%	Y Haplogroup	mt hg	Coverage (X)	Mt Coverage (X)	Detailed loc.	Burial No	Coordinates
kzb002	Kazburun 1	Srubno-alakulskaya	1878-1664 BCE	R1a-Z93>YP5585	J1c3a	2.88	389.7	Kurgan 4	Burial 1	53.929821, 55.74255
kzb003	Kazburun 1	Srubno-alakulskaya	1773-1627 BCE	R1a-Z93>Z94	H101	0.12	19.63	Kurgan 5	Burial 1	53.929821, 55.74255
kzb005	Kazburun 1	Srubno-alakulskaya	1881-1692 BCE	R1a-Z280	HV0a	0.84	138.8	Kurgan 23	Burial 3	53.929821, 55.74255
kzb007	Kazburun 1	Srubno-alakulskaya	1873-1637 BCE	R1a-Z93>Z2123>BY30762>Y75187	U5a1a1	2.38	500.93	Kurgan 23	Burial 4 (right)	53.929821, 55.74255
kzb008	Kazburun 1	Srubno-alakulskaya	1888-1696 BCE	R1a-Z280	HV0a	1.18	175.89	Kurgan 23	Burial 5	53.929821, 55.74255
mur003	Muradym 8	Srubno-alakulskaya	1880-1688 BCE	R1a-Z93>BY226207	T2a1b1a	2.37	425.53	Square 207	Burial 3	53.946393, 55.52351
cim358	Glinoe Sad	Cimmerian	971-809 BCE	Q-M120>Y558	C5c	0.14	51.99			46.661735, 29.828356
cim357	Glinoe Sad	Cimmerian	914 - 805 BCE	R1a-Z93	H9a	0.28	37.99			46.661735, 29.828356
scy009*	Starosillya	Scythian	768-431 BCE	R1b- P312 >U152>L2>DF90 (FGC59563)	J2b1a6	2.11	220.4	Group 1, Kurgan 1	Grouping 1	49.40063, 31.593724
scy197*	Glinoe	Scythian		E-V13	U5a1a1	0.34	46.4			46.668812, 29.799966
scy301	Glinoe	Scythian	390-205 BCE	I2a2-M223>L701>Y7219	U5b2a3	1.08	64.66			46.668812, 29.799966
scy304	Glinoe	Scythian	361 - 172 BCE	R1b-Z2103	U4a2a	0.08	5.41			46.668812, 29.799966
scy305*	Glinoe	Scythian	399 - 209 BCE	R1b-Z2103>Z2106	U5a2b	0.19	28.48			46.668812, 29.799966
scy193*	Glinoe	Scythian		R1b1a1a2?	U5a2a1	0.03	11.55	Barrow 75	Burial 1	46.668812, 29.799966
chy002	Cherniy Yar	Late Sarmatian	65 - 220 CE	R1a-Z93>Z2122>Y57>Y52	T1a	1.23	190.51	Kurgan 42	Burial 1, Ind. 2	51.075425, 55.067183
tem002	Temyaysovo	Late Sarmatian	85-235 CE	R1a-Z93>S23592>FGC48758	D4q	0.56	157.49	Kurgan 9	Burial 1	52.985029, 58.124284
tem003	Temyaysovo	Late Sarmatian	128-323 CE	R1a-Z93>Z2123>YP3920	U5b2b	1.15	636.41	Kurgan 9	Burial 1	52.985029, 58.124284
