Sample ID	Skeletal code	Y chromosome haplogroup	mtDNA haplogroup	Coverage	Date	Culture / Split Label	Broad chronological / archaeological period	Location	Latitude, Longitude
I6708	StPet37, collection 6095, individual 9	C-M217>L1373>F1699	T	0.126689	2193-2031 calBCE (3705±20 BP, PSUAMS-2916)	Kanai_MBA	Early / Middle Bronze Age	Northeastern Kazakhstan, Kanai Cemetery	48.832683, 83.909744
I6553	Grave 135, Individual 1 (?) in a double burial , LOEB_53	C-P92>Z5895	U2e1'2'3	0.603595	971-834 calBCE (2755±20 BP, PSUAMS-2795)	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I2085	Gonur 2004 Area 8 cist 3201 N28m	E1b-M123>M34	..	0.130472	2011-1886 calBCE (3580±20 BP, PSUAMS-2313)	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I10551	UfaNov17-024, Farkhor 2017 Area 6A, tomb 43	E1b-M215	..	0.010293	3000-2000 BCE	Farkhor_BA_LowCov	Middle / Late Bronze Age	Farkhor	37.48333, 69.40119
I6900	Grave 3, Individual 1 in a single burial , DA-UDE0317-026	E1b-M123	..	2.11586	1400-1126 calBCE (3018±45 BP, CEDAD-LTL13327A)	Udegram_IA	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I1799	Grave 5, Individual 1 in a double burial , UDG53, DA-UDE0317-053	E1b-M123	T2a1b	3.638625	1491-922 calBCE [1044-922 calBCE (2830±20 BP, PSUAMS-2632), 1491-1231 calBCE (3098±45 BP, CEDAD-LTL13335A)]	Udegram_IA	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I6194	Grave 5, Individual 2 in a double burial , UDG45, DA-UDE0317-055	E1b-M123	U8b1a	2.163694	1200-800 BCE	Udegram_IA	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I6197	Grave 4, Individual 2, UDG58, DA-UDE0317-48, Luca58	E1b-M123	M65a	2.939387	1200-800 BCE	Udegram_IA	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I6899	Grave 1, Individual 1 or 2 in a double burial , DA-UDE0317-024	E1b-M123	..	2.884011	1044-792 calBCE [1044-830 calBCE (2785±45 BP, CEDAD-LTL13328A), 901-792 calBCE (2659±40 BP, CEDAD-LTL13328A)]	Udegram_IA	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I12472	Grave 204, single burial , 610	E1b-Z830	M65a+@16311	0.129843	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.76584167, 72.34913333
I1985	Grave 10, Individual 1, UDG34+UDG39, DA-UDE0317-040	E1b-M123	M	4.204466	1192-824 calBCE [1192-939 calBCE (2880±30 BP, Beta-428667), 1001-824 calBCE (2758±40 BP, CEDAD-LTL13334A)]	Udegram_IA	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I3262	Grave 26, Individual 1 in a double burial , UDG5, DA-UDE0317-017, Luca5	E1b-M123	H14a	3.02248	976-832 calBCE (2760±25 BP, PSUAMS-2157)	Udegram_IA_father.or.son.I1799	Late Bronze / Iron Age	Swat Valley, Udegram	34.7487639, 72.3083583
I7420	UZ-ST-012, Sappali Tepe (ST), Grave 00-61	G2a-PF3147>Z36520	W3a1	2.189652	2000-1600 BCE	Sappali_Tepe_BA	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I8246	Grave 5, Individual 1	G2a-PF3147	U2c1a	0.605312	970-550 BCE	Aligrama2_IA	Late Bronze / Iron Age	Swat Valley, Aligrama	34.8048944, 72.3181694
I2335	TH16-4, 33-16-4, Period 1	H-Z5857	U1a'c	0.007056	3639-3385 calBCE (4760±25 BP, PSUAMS-2346)	Tepe_Hissar_C_LowCov	Chalcolithic / Eneolithic	Tepe Hissar	36.1544444, 54.3836111
I11459	401, IRW Grave 10, Period II (late), phase 5B	H-M52>M82>M2914>Z4361	W3a1b	0.386443	2875-2631 calBCE (4150±25 BP, PSUAMS-5715)	Shahr_I_Sokhta_BA2	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I10409	Gonur tomb 3225, skeleton 1, UfaNov17-004	H-M52>M82>M2914>Z4361	R5a2b	0.097283	2280-2044 calBCE (3755±25 BP, PSUAMS-4599)	Gonur2_BA	Bronze Age	Gonur	38.1907, 62.0343
I6677	BILI_4, National Museum No. P7A 7558	H-P96	T2b	3.488173	3800-3400 BCE	Bilina_N_Baalberge	Middle / Late Bronze Age	Bílina, Titzler's sandpit	50.5528285, 13.7868857
I6548	Grave 2, Individual 2 in a triple burial, BKOT4	H-M52>M82	H	0.179339	1000-800 BCE	Barikot_IA	Late Bronze / Iron Age	Swat Valley, Barikot	34.6776028, 72.2124806
I8194	G IV Grave C, Individual 1, DA-UDE0317-072	H-M52>M82>Z5870*	R30a1b	3.867075	1100-900 BCE	Gogdara_IA	Late Bronze / Iron Age	Swat Valley, Gogdara	34.7487639, 72.3083583
I12143	Grave 237, Individual 2 (B) in a double burial , 562	H-M52>M82>M2914>Z4361	H13a2a	0.621564	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12447	Grave 79, single burial , 584	H-M52>M82>M2914>Z4361	R30b1	0.631899	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I6696	VEZE_27-III, Nicolaus Parthe’s quarry, Grave 27, National Museum No. P7A 6589	I2a1-S21825>Y4213>M838	H2a1	3.161274	2900-2350 BCE	Corded_Ware_Czech_EN	Middle / Late Bronze Age	Velké Žernoseky	50.5320782, 14.070678
I12149	Grave 122, single burial , 568	I2a2-M223>L701>L699>pre-L704	M30c1	1.463987	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12471	Grave 61, single burial , 609	I2a2-M223>L701>L699>pre-L704	HV17	0.739137	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12482	MOS297, IE-10-48	J2a-PF5050>Z37823>PF5000>PF4993 	I1c1	0.261743	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I12487	MOS329, IE-10-9	J1-L620>PF4816>ZS6599>ZS4428	T2g1b	0.539743	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I8524	MOS319, Geoksyur 1, 1963, Skull N124, IE-10-14	J1-L620>PF4816>ZS6599>ZS4428>ZS6592	U7a	0.215971	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I2927	TH23-124, 33-23-124, Period 3	J2a-L25>F3133	..	0.547576	2575-2350 calBCE (3970±30 BP, PSUAMS-1916)	Tepe_Hissar_C	Chalcolithic / Eneolithic	Tepe Hissar	36.1544444, 54.3836111
I12481	MOS312, IE-10-52	J1-L620>PF4816>ZS6599>ZS4428>ZS6592	HV12b1	0.782561	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I8504	MOS295, Geoksyur 1, 1963, N 139, Tolos "Ц" (ts), IE-10-35	J1-L620>PF4816>ZS6599>ZS4428>ZS6592	T2d2	0.393825	3092-2925 calBCE (4400±25 BP, PSUAMS-3986)	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I2337	TH23-9, 33-23-9, Period 1	J2a-L25>F3133>Z7706>F3369>Y15179>Z40298	I1	0.673423	3641-3519 calBCE (4780±30 BP, PSUAMS-1919)	Tepe_Hissar_C	Chalcolithic / Eneolithic	Tepe Hissar	36.1544444, 54.3836111
I11028	UZ-BST-009, Site ?, 58-21, 119-4	J2a-L25>F3133>Y15604>Y15601>pre-Y17404	W1+119	1.127197	3331-2972 calBCE (4445±25 BP, PSUAMS-4780)	Bustan_EN	Chalcolithic / Eneolithic	Bustan	37.6666667, 67
I4241	F10 B1 S3	J2b-Z1825>Z2453>Y18039>Y31143>pre-BY22519	K1a3	2.461626	6016-5899 calBCE (7080±30 BP, PSUAMS-2163)	Hajji_Firuz_C	Chalcolithic / Eneolithic	Hajji Firuz	36.9944, 45.4744
I4349	F11 4 merged with F11 B3 3	J2b-Z1825>Z2453>Y18039>Y31143>pre-BY22519	U1a4	7.292479	5887-5724 calBCE (6915±40 BP, PSUAMS-2126)	Hajji_Firuz_C	Chalcolithic / Eneolithic	Hajji Firuz	36.9944, 45.4744
I11480	424, IRR Grave 22e (Central-E), Period I/II, phases 8-7	J	W6	0.017204	2900-2800 BCE	Shahr_I_Sokhta_BA2	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I1792	Gonur 2004 large pit royal cemetery 3240 (9)	J2a-L24>Y22662	..	0.039834	2458-2202 calBCE (3840±35 BP, Poz-83487)	Gonur1_BA_o	Bronze Age	Gonur	38.1907, 62.0343
I2128	Gonur tomb 1311 sample 59	J2a-L25>F3133	..	0.030159	2198-2036 calBCE (3720±20 BP, PSUAMS-2316)	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I6127	Gonur tomb 1128 sample 22	J	..	0.002926	2500-1600 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I4899	UZ-BST-014, Site 5, Grave 11	J2a-M410	HV	0.069	1600-1300 BCE	Bustan_BA	Bronze Age	Bustan	37.6666667, 67
I1784	Gonur tomb 2380 sample 17	J1-L620>PF4816>ZS6599>ZS4428>ZS6592	U7a2	1.794	2201-2031 calBCE (3720±30 BP, Poz-83485)	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I11474	418, Grave 303A, probably later Period II, phase 5B	J2a-PF5050>Z37823>PF5000>PF4993>P279>Y25795	R5a2b	0.890731	2700-2600 BCE	Shahr_I_Sokhta_BA1	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I8728	303C, T.303C, Period II, phase 5B	J2a-L26>PF5197>S26364>Z6082	R7	1.141412	2600-2500 BCE	Shahr_I_Sokhta_BA2	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I7421	UZ-ST-002, Sappali Tepe (ST), Grave 00-91	J2a-PF5050*	J1b1b1	1.850347	1931-1767 calBCE (3525±25 BP, PSUAMS-3120)	Sappali_Tepe_BA	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I4157	UZ-BST-005, Site 7, Grave 60, 56-63	J2b-M241>Z2432	T1	0.293322	1600-1300 BCE	Bustan_BA	Bronze Age	Bustan	37.6666667, 67
I8725	48, IRL G-48, Late Period I or early Period II, phases 8/7	J2a-L26>PF5197>YSC0000253* 	J1	1.303552	3010-2881 calBCE (4300±25 BP, PSUAMS-3989)	Shahr_I_Sokhta_BA1	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I8724	38, T.38, Period II, phase 5A	J2a-L26	I1	0.168067	3000-2800 BCE [detected as a 2nd to 3rd degree relative of I8725 at 3010-2881 calBCE (4300±25 BP, PSUAMS-3989]	Shahr_I_Sokhta_BA1	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I7494	UZ-ST-006, Sappali Tepe (ST), 71, 8, zn2, Grave 00-149	J2a-L25>F3133>Z7706>SK1382>L192	HV20	1.303608	2010-1883 calBCE (3575±20 BP, PSUAMS-3230)	Sappali_Tepe2_BA	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I11027	UZ-BST-002, Site 7, Grave 33 (2), 44-92	J2a-M67>Z1847>Z7671>CTS900>Z7661* 	T2c	2.414842	1662-1521 calBCE (3315±25 BP, PSUAMS-6198)	Bustan_BA	Bronze Age	Bustan	37.6666667, 67
I4159	UZ-BST-007, Site 4, Grave 12	J2a-PF5197>PF5172>Z7314>PF5169>PF5174>PF5177>PF5252*	R0	0.265	1600-1300 BCE	Bustan_BA	Bronze Age	Bustan	37.6666667, 67
I8726	201, Grave 201, LS 1, Period I, phases 10/9	J2a-L25>F3133>Y15604	U2c1	1.07642	3100-3000 BCE	Shahr_I_Sokhta_BA2	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I11478	422, IRW Grave 7, possibly Period I	J2a-L25>F3133>Y15604>Y15601>pre-Y15598	U1a1c1d	1.985607	3200-1900 BCE	Shahr_I_Sokhta_BA1	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I11527	Aigyrzhal K.105	J2a-L25>F3133>Y15604>Y15601>pre-Y17404	HV14	4.067153	2114-1928 calBCE (3630±20 BP, PSUAMS-4750)	Aigyrzhal_BA	Bronze Age	Aigyrzhal	41.431467, 75.885481
I10411	Gonur skull 3250, UfaNov17-055	J2a-PF5050>Z37823>PF5000>PF4993>pre-P279	U7a	0.224585	2300-2200 BCE	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
