Individual ID	Run accession	Y haplogroup	MT haplogroup	Coverage nuclear	Coverage MT	Date 14C or by context	Period/Culture	Age at death	Location	Cemetery/grave	Archaeological ID	Coordinates	Reference
PES001		R1a-M459	U4a1	1.15	90.1	10785–10626 calBCE	Veretye Culture	45–50	Peschanitsa, Arkhangelsk oblast	1		61.2312, 38.9093	Saag_2020
BER001		Q-L54	K1+16362	0.03	6.31	4447–4259 calBCE	Volosovo/Lyalovo Culture	55–60	Berendeyevo, Yaroslavl oblast	1		56.5714, 39.0117	Saag_2020
Donkalnis4		I-M170 (xI1)	U5b2c1			6000–5740 calBCE	Kunda Culture		Donkalnis, Lithuania	grave 4		55.808, 22.422	Mitnik_2017
Spiginas1		I2a1-S21825>L233	H11a			4440–4240 calBCE	Narva Culture		Spiginas, Lithuania	grave 1		55.768, 22.417	Mitnik_2017
Kretuonas2		I2a1-M423	U5b2b			5400-3000 BCE	Narva Culture		Kretuonas 1B, Lithuania	grave 2		55.260, 26.098	Mitnik_2017
Donkalnis7		R1b-M73	U5a2d1			5460–4940 calBCE	Narva Culture		Donkalnis, Lithuania	grave 7		55.808, 22.422	Mitnik_2017
Kudruküla3		R1a-YP1272	U2e1	0.095362		3900-1800 BCE	Combed Ware Culture	adult	Kudruküla			59.426719, 28.056912	Saag_2017
Tamula3		R1b-L754	U4d2			3800-3640 calBCE	Combed Ware Culture		Tamula, Estonia	Tamula III		57.505, 26.584	Mitnik_2017
Ardu1		R1a-Z645	T2a1a	0.61196		2800–2000 BCE	Corded Ware Culture	35–45	Ardu			59.06, 25.213	Saag_2017
Ardu2		R1a-Z283	U5b2c	0.848372		2871–2505 calBCE	Corded Ware Culture	40–45	Ardu			59.06, 25.213	Saag_2017
Kunila1		R1a-Z282>Y2395	U5b1h	0.506932		2800–2000 BCE	Corded Ware Culture	35–45	Kursi			58.326, 26.152	Saag_2017
Kunila2		R1a-Z645	J1c3	1.699974		2580-2340 calBCE	Corded Ware Culture	17–25	Kursi			58.326, 26.152	Saag_2017
Gyvakarai1		R1a-Z282>Y2395	K1b2a	4.482811		2620–2470 calBCE	Corded Ware Culture		Gyvakarai, Lithuania	grave 1		55.918, 24.913	Mitnik_2017
Spiginas2		R1a-CTS1211	I4a	3.043061		2130–1750 calBCE	Corded Ware Culture		Spiginas, Lithuania	grave 2		55.768, 22.417	Mitnik_2017
BOL001		R1a-M417	H1b	0.03	13.2	2829–2460 calBCE	Fatyanovo Culture	45–55	Bolshnevo 3, Tver oblast	1 (4)		57.7401, 36.6330	Saag_2020
GOL001		R1a-M417	T2b	0.03	12.4	2575–2349 calBCE	Fatyanovo Culture	20–30	Goluzinovo, Yaroslavl oblast	4		57.3274, 39.5525	Saag_2020
NIK003		R1a-M417	H15a1	0.03	10.4	2522–2298 calBCE	Fatyanovo Culture	30–40	Nikultsino, Yaroslavl oblast	16		57.5293, 39.6699	Saag_2020
VOR005		R1a-Z645	K2a5b	0.03	23.5	2840–2343 calBCE	Fatyanovo Culture	18–20	Voronkovo, Yaroslavl oblast	7		57.5345, 39.5525	Saag_2020
NIK002		R1a-Z645	U5a1a1	0.03	9.82	2865–2500 calBCE	Fatyanovo Culture	40–50	Nikultsino, Yaroslavl oblast	15		57.5293, 39.6699	Saag_2020
TIM008		R1a-Z645	K1c1	0.03	7.21	2832–2473 calBCE	Fatyanovo Culture	50–60 (30–35)	Timofeyevka, Ivanovo oblast	13		57.1345, 39.9757	Saag_2020
VOR003		R1a-Z645	H6a1a	0.03	34.3	2573–2466 calBCE	Fatyanovo Culture	20–30	Voronkovo, Yaroslavl oblast	5		57.5345, 39.5525	Saag_2020
