番号	年	月	日	巻	号	ページ	URL		著者	en	書籍	en	題名
[1]	2020	3	27	219		163-177	https://rekihaku.repo.nii.ac.jp/records/2531	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鳥取県鳥取市青谷上寺地遺跡出土弥生後期人骨のDNA分析
[2]	2021	3	31	228		295-307	https://rekihaku.repo.nii.ac.jp/records/2670	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一	Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Shinoda, Ken-ichi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鳥取県鳥取市青谷上寺地遺跡出土弥生後期人骨の核DNA分析
[3]	2020	3	27	219		147-162	https://rekihaku.repo.nii.ac.jp/records/2530	1	濵田, 竜彦/坂本, 稔/瀧上, 舞	Hamada, Tatsuhiko/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鳥取県鳥取市青谷上寺地遺跡出土弥生中・後期人骨の年代学的調査
[4]	2017			125	1	49-63	https://doi.org/10.1537/asj.170509	1	篠田 謙一/神澤 秀明/角田 恒雄/安達 登		Anthropological Science (Japanese Series)		佐世保市岩下洞穴および下本山岩陰遺跡出土人骨のミトコンドリアDNA分析
[5]	2019			127	1	25-43	https://doi.org/10.1537/asj.1904231	1	篠田 謙一/神澤 秀明/角田 恒雄/安達 登		Anthropological Science (Japanese Series)		西北九州弥生人の遺伝的な特徴―佐世保市下本山岩陰遺跡出土人骨の核ゲノム解析―
[6]	2017			125	1	25-38	https://doi.org/10.1537/asj.1705082	1	海部 陽介/坂上 和弘/河野 礼子		Anthropological Science (Japanese Series)		下本山岩陰遺跡（長崎県佐世保市）出土の縄文時代前期・弥生時代人骨
[7]	2020	3	27	219		257-263	https://rekihaku.repo.nii.ac.jp/records/2539	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一	Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Shinoda, Ken-ichi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県宝島大池遺跡B地点出土貝塚前期人骨のDNA分析
[8]	2020	3	27	219		231-241	https://rekihaku.repo.nii.ac.jp/records/2537	1	木下, 尚子/坂本, 稔/瀧上, 舞	Kinoshita, Naoko/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県宝島大池遺跡B地点出土貝塚前期人骨等の年代学的調査
[9]	2021	3	31	228		385-393	https://rekihaku.repo.nii.ac.jp/records/2679	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一	Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Shinoda, Ken-ichi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 佐賀県唐津市大友遺跡第5次調査出土弥生人骨の核DNA分析
[10]	2021	3	31	228		375-384	https://rekihaku.repo.nii.ac.jp/records/2678	1	瀧上, 舞/坂本, 稔/藤尾, 慎一郎	Takigami, Mai/Sakamoto, Minoru/Fujio, Shin’ichiro	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 佐賀県唐津市大友遺跡第5・6次調査出土弥生人骨の補正年代について
