ID	国名2文字	国名	地方	都道府県	緯度	経度	遺跡	Site Name	標本番号	性別	年齢	使用部位	時代(数値のみ)	時代	14C年代	較正14C年代(1σ)	較正14C年代(2σ)	年代	年代補足	mtDNA	Y	Y新	文献1	文献2	文献3
745	CN	中華人民共和国	華北地区	北京市	39.650449	115.879283	田园洞						-38000	旧石器時代					約40000年前				[90]		
678	CN	中華人民共和国	華北地区	山西省	35.909023	111.503464							-585.5	春秋時代									[100]		
700	CN	中華人民共和国	華北地区	山西省	36.503549	113.385067	黎城		LCM6(小型贵族墓)				-585.5	春秋時代				-		pre-D4c1a	N1a2B1A1B2A-F1998		[82]		
701	CN	中華人民共和国	華北地区	山西省	36.503549	113.385067	黎城		LCM9(中型贵族墓)				-585.5	春秋時代				-		Y1b1	N1a2B1A1B~-F710		[82]		
702	CN	中華人民共和国	華北地区	山西省	35.4788	111.452588							-723	西周-春秋時代									[100]		
605	CN	中華人民共和国	華北地区	内モンゴル自治区	42	114.2	裕民		HDY				-6425	裕民文化（新石器早期）				8415-8335cal.BP	約8400年前	C5d	n/a		[77]		
622	CN	中華人民共和国	華北地区	内モンゴル自治区	43.059737	118.318991	龙头山		91KLH11				-1000	夏家店上层文化（青铜时期）				-	約3000年前	D4m1	n/a		[100]		
623	CN	中華人民共和国	華北地区	内モンゴル自治区	43.059737	118.318991	龙头山		91KLH18				-863	夏家店上层文化（青铜时期）				2851-2775cal.BP	約3000年前	D4j14	N1a1a3		[100]		
624	CN	中華人民共和国	華北地区	内モンゴル自治区	43.059737	118.318991	龙头山		91KLM2				-1000	夏家店上层文化（青铜时期）				-	約3000年前	B4c1a2	C2a1a1a2a1		[100]		
625	CN	中華人民共和国	華北地区	内モンゴル自治区	43.059737	118.318991	龙头山		91KLM8				-1000	夏家店上层文化（青铜时期）				-	約3000年前	D5b	n/a		[100]		
630	CN	中華人民共和国	華北地区	内モンゴル自治区	42.0996111	118.9483178	二道井子		EDJM166				-2000	夏家店下层文化（新石器晚期-青铜时期）				-	約4000年前	Z3	-		[75]		
631	CN	中華人民共和国	華北地区	内モンゴル自治区	42.0996111	118.9483178	二道井子		EDM101				-2000	夏家店下层文化（新石器晚期-青铜时期）				-	約4000年前	N	-		[75]		
632	CN	中華人民共和国	華北地区	内モンゴル自治区	42.0996111	118.9483178	二道井子		EDM124				-1604	夏家店下层文化（新石器晚期-青铜时期）				3614-3494cal.BP	約4000年前	B5b1a	O2a1b1a2a		[75]		
633	CN	中華人民共和国	華北地区	内モンゴル自治区	42.0996111	118.9483178	二道井子		EDM139				-2000	夏家店下层文化（新石器晚期-青铜时期）				-	約4000年前	A22	n/a		[75]		
634	CN	中華人民共和国	華北地区	内モンゴル自治区	42.0996111	118.9483178	二道井子		EDM176				-2000	夏家店下层文化（新石器晚期-青铜时期）				-	約4000年前	N9a1	N1b1		[75]		
635	CN	中華人民共和国	華北地区	内モンゴル自治区	44.0355421	121.9948977	哈民忙哈		HMF32				-3665	哈民忙哈文化（新石器中期）				5644-5586cal.BP	約5600年前	D4j	n/a		[75]		
668	CN	中華人民共和国	華北地区	内モンゴル自治区	49.177071	117.763796	扎赉诺尔/五七/蘑菇山		ZLNR-2				-5492.5	新石器早期 鲜卑文化（东汉）				7475-7410cal.BP	約7400、1900年前	C5	n/a		[75]		
669	CN	中華人民共和国	華北地区	内モンゴル自治区	49.177071	117.763796	扎赉诺尔/五七/蘑菇山		WQM4				-5400	新石器早期 鲜卑文化（东汉）				7430-7270cal.BP	約7400、1900年前	C4a1a	n/a		[75]		
670	CN	中華人民共和国	華北地区	内モンゴル自治区	49.177071	117.763796	扎赉诺尔/五七/蘑菇山		MGS-M6				-5400	新石器早期 鲜卑文化（东汉）				-	約7400、1900年前	C5a1	C2a1a1a2a-Y11607		[75]		
671	CN	中華人民共和国	華北地区	内モンゴル自治区	49.177071	117.763796	扎赉诺尔/五七/蘑菇山		MGS-M7L				-5400	新石器早期 鲜卑文化（东汉）				-	約7400、1900年前	Z3a1	C2a1a1a2a-F3825>C2a1a1a2a2-Y10425?		[75]		
