key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	x_size
Doken1	中細形cy	35.37664511	132.8525139	357	DokenChuC360	1702798	1713755	1
Doken2	不明(中広形か広形）	33.36381053	132.4985652	197	Dohoko	1693667	1724712	36
Doken3	中細形C	33.53006591	130.4687093	148	Doka	1702798	1713755	36
Doken4	中広形	33.51967155	130.4569323	197	Doka	1713755	1724712	26
Doken5	中細形B	33.44987753	130.5649631	148	Doka	1684536	1702798	20
Doken6	細形	33.53807121	130.3185524	123	DokenChuC	1637054	1651664	17
Doken7	中細形B'	34.33311732	134.736359	148	DokenChuC	1684536	1702798	13
Doken8	中広形	35.37664511	132.8525139	197	Dohoko	1693667	1719234	13
Doken9	中広形	33.53006591	130.4687093	197	Doka	1713755	1724712	13
Doken10	中広形か広形	33.22713325	130.5563028	197	Dohoko	1693667	1724712	13
Doken11	中広形	33.25541939	130.5225578	197	Dohoko	1693667	1719234	13
Doken12	中細形？	33.46985186	130.6214946	148	Doka	1666274	1713755	13
Doken13	広形か中広形	33.54488413	131.445009	253	Dohoko	1693667	1724712	13
Doken14	中広形	33.33287009	130.4675492	197	Dohoko	1693667	1719234	12
Doken15	中広形	34.4154725	129.2925518	197	Dohoko	1693667	1719234	12
Doken16	中広形	33.50508038	133.4956766	197	Dohoko	1693667	1719234	11
Doken17	中広形	33.52529462	130.5273218	197	Doka	1713755	1724712	11
Doken18	広形Ⅰ	34.48500931	129.3944304	253	Dohoko	1713755	1724712	11
Doken19	細形	33.76096298	129.7516219	123	DokenChuC	1637054	1651664	11
Doken20	平形Ⅱ	33.85040208	132.7775423	157	Doken	1713755	1724712	10
Doken21	中広形	33.53815023	130.4505192	197	Dohoko	1693667	1719234	10
Doken22	中広形か広形	33.65460745	130.7891263	197	Dohoko	1693667	1724712	10
Doken23	中広形	33.65528723	130.775695	197	Doka	1713755	1724712	10
Doken24	細形Ⅰx	33.32033169	130.3850493	123	DokenChuC	1637054	1651664	10
Doken25	広形	33.5390563	130.4506647	253	Dohoko	1713755	1750279	9
Doken26	中広形	33.5326718	130.4514002	197	Dohoko	1693667	1719234	9
Doken27	中広形	33.38558211	130.5494009	197	Doka	1713755	1724712	9
Doken28	細形Ⅱb	33.40701776	130.0112176	123	DokenChuC	1637054	1651664	9
Doken29	平形Ⅱ	33.85236105	132.7720961	157	Doken	1713755	1724712	8
Doken30	広形Ⅰ	34.18374539	129.2794131	253	Dohoko	1713755	1724712	8
Doken31	平形か？	34.21453446	133.773388	157	Doken	1702798	1724712	7
Doken32	佃形Ⅰx	33.95294469	133.4216809	123	DokenChuC	1637054	1651664	7
Doken33	中細形A	33.40018459	130.5628186	148	Doka	1666274	1684536	7
Doken34	広形Ⅰ	34.36529374	129.2883951	253	Dohoko	1713755	1724712	7
Doken35	広形Ⅱ	34.36529374	129.2883951	253	Dohoko	1735670	1750279	7
Doken36	広形Ⅰ	34.30536493	129.2816605	253	Dohoko	1713755	1724712	7
Doken37	中広形	33.52716047	131.3333202	197	Doka	1713755	1724712	7
Doken38	中広形	33.43681877	131.3860445	197	Dohoko	1693667	1719234	7
Doken39	広形Ⅱ	33.37583577	131.6044779	253	Dohoko	1735670	1750279	7
Doken40	広形	33.11421417	131.7903196	253	Dohoko	1713755	1750279	7
Doken41	中細形cy	35.52089784	132.9888126	179	DokenChuC	1702798	1713755	6
Doken42	平形Ⅰb	33.95359718	133.0414638	157	Doken	1702798	1713755	6
Doken43	中広形	33.27543565	133.1171422	197	Dohoko	1693667	1719234	6
Doken44	中細形c	33.58602714	130.4135969	179	Doka	1702798	1713755	6
