latitude	longitude	overall_length	texture	x_size
35.37664511	132.8525139	357	DokenChuC360	1
33.53807121	130.3185524	123	DokenChuCY	17
34.33311732	134.736359	148	DokenChuCB	13
33.76096298	129.7516219	123	DokenChuCY	11
33.85040208	132.7775423	157	Doken	10
33.32033169	130.3850493	123	DokenChuCY	10
33.52768067	130.5285818	123	DokenChuCG	9
33.40701776	130.0112176	123	DokenChuCY	9
33.85236105	132.7720961	157	Doken	8
34.21453446	133.773388	157	Doken	7
33.95294469	133.4216809	123	DokenChuCY	7
33.95359718	133.0414638	157	Doken	6
35.52089784	132.9888126	179	DokenChuCB	6
34.21980457	133.755656	157	Doken	5
33.24822478	131.7318603	148	DokenChuCB	5
34.22999604	133.724222	157	Doken	4
34.2198065	133.7170795	157	Doken	4
34.20775093	134.0177254	157	Doken	4
34.00165907	133.012664	157	Doken	4
33.57377714	130.4643161	123	DokenChuCG	4
32.78795634	130.3691798	123	DokenChuCG	4
35.48729717	133.6805596	179	DokenChuCB	4
33.39900745	130.512394	148	DokenChuCB	4
34.01678557	130.9229453	123	DokenChuCY	4
33.56791082	130.4539254	123	DokenChuCY	4
33.53815023	130.4506051	123	DokenChuCY	4
33.44987753	130.5649631	123	DokenChuCY	4
33.39900745	130.512394	123	DokenChuCY	4
34.29167302	134.2412848	123	DokenChuCG	3
33.65112565	130.8208861	123	DokenChuCG	3
34.86852639	134.3187203	157	Doken	3
34.19354155	133.7331192	157	Doken	3
34.21689701	133.7832364	157	Doken	3
34.23219071	133.807708	157	Doken	3
34.19451123	133.8263498	157	Doken	3
34.25547312	134.2139835	157	Doken	3
33.39393103	132.4914456	157	Doken	3
33.84870608	132.7864241	157	Doken	3
34.20921337	133.7737456	179	DokenChuCB	3
34.0928202	133.7115905	123	DokenChuCY	3
33.49236751	130.0751541	123	DokenChuCY	3
33.55514799	130.2957718	123	DokenChuCY	3
33.76096298	129.7516219	123	Toshiken	3
33.93043215	133.2976648	123	DokenChuCG	2
33.58327921	130.212481	123	DokenChuCG	2
33.77838913	130.4819881	123	BiwaDoken	2
34.50204893	133.8529764	157	Doken	2
34.50204893	133.8529764	157	Doken	2
34.19679514	133.8084702	157	Doken	2
34.20921337	133.7737456	157	Doken	2
34.19899759	133.8496693	157	Doken	2
33.92983213	133.043358	157	Doken	2
33.99068011	133.6371203	157	Doken	2
34.4232119	133.1600563	148	DokenChuCB	2
34.20921337	133.7737456	148	DokenChuCB	2
33.47989908	133.4115815	148	DokenChuCB	2
33.88162923	130.5314209	148	DokenChuCB	2
34.67445256	133.9244936	123	DokenChuCY	2
34.23294982	134.075993	123	DokenChuCY	2
33.4391051	133.2145968	123	DokenChuCY	2
33.56052653	130.1892461	123	DokenChuCY	2
33.66264553	130.8012353	123	DokenChuCY	2
33.52144186	130.3331585	123	DokenChuCY	2
33.47496441	130.5389079	123	DokenChuCY	2
33.88589343	130.8765907	123	DokenChuCY	2
33.70957835	130.4928677	123	DokenChuCY	2
33.33544943	130.4000755	123	DokenChuCY	2
33.28502758	130.387271	123	DokenChuCY	2
33.76617971	129.7466122	123	DokenChuCY	2
34.58719633	133.9770256	123	Toshiken	2
33.51342856	130.1402059	123	Toshiken	2
36.55259404	138.1111445	123	DokenChuCG	1
34.69847679	137.3732508	123	DokenChuCG	1
34.6299492	135.5697452	123	DokenChuCG	1
34.6424605	135.6043629	123	DokenChuCG	1
35.15153518	135.0551753	123	DokenChuCG	1
34.53362147	135.790858	123	DokenChuCG	1
34.15900527	135.2150799	123	DokenChuCG	1
35.4955128	133.86284	123	DokenChuCG	1
34.50204893	133.8529764	123	DokenChuCG	1
34.66945457	133.9521168	123	DokenChuCG	1
34.54369975	133.1887021	123	DokenChuCG	1
34.58529343	133.3720812	123	DokenChuCG	1
34.42064912	132.3845898	123	DokenChuCG	1
33.80283277	134.292877	123	DokenChuCG	1
33.96092403	134.3101979	123	DokenChuCG	1
34.05396958	134.4701347	197	DokenChuCG	1
33.86832994	133.7785208	123	DokenChuCG	1
33.76259301	132.8022586	123	DokenChuCG	1
33.5368508	130.2415021	197	DokenChuCG	1
33.55940004	130.1911557	123	DokenChuCG	1
33.53815023	130.4506051	123	DokenChuCG	1
33.49609567	130.5903711	123	DokenChuCG	1
33.4069584	130.6391147	123	DokenChuCG	1
33.31955395	130.5647411	123	DokenChuCG	1
33.2619203	130.4585255	123	DokenChuCG	1
33.26509204	130.4569921	123	DokenChuCG	1
33.8649927	130.6054072	123	DokenChuCG	1
33.85176815	130.6157888	197	DokenChuCG	1
33.66264553	130.8012353	123	DokenChuCG	1
33.52335494	130.4386541	123	DokenChuCG	1
33.19261056	130.5615593	123	DokenChuCG	1
33.88162923	130.5314209	123	DokenChuCG	1
33.75082728	130.9393212	123	DokenChuCG	1
33.4098076	129.9908984	123	DokenChuCG	1
33.34731772	130.4001038	123	DokenChuCG	1
33.35456418	130.4351074	123	DokenChuCG	1
33.3269575	130.3800262	123	DokenChuCG	1
33.32686901	130.4554595	123	DokenChuCG	1
34.6341424	129.3309062	123	DokenChuCG	1
34.46946406	129.3136083	123	DokenChuCG	1
34.44714412	129.3191837	197	DokenChuCG	1
34.44714412	129.3191837	123	DokenChuCG	1
34.4154725	129.2925518	123	DokenChuCG	1
34.39629134	129.3203054	123	DokenChuCG	1
34.20708335	129.2891212	123	DokenChuCG	1
34.26891847	129.3164716	123	DokenChuCG	1
32.62810932	130.2350063	123	DokenChuCG	1
34.42028068	129.3575365	123	DokenChuCG	1
32.99091084	130.7159524	123	DokenChuCG	1
32.99091084	130.7159524	123	DokenChuCG	1
31.91107231	131.4238761	123	DokenChuCG	1
34.11900853	131.6129384	123	BiwaDoken	1
33.82627103	130.8665868	123	BiwaDoken	1
35.06497373	135.9833407	157	Doken	1
34.53142483	132.495192	157	Doken	1
34.42020314	133.3254062	157	Doken	1
34.43987577	133.3398462	157	Doken	1
34.43987577	133.3398462	157	Doken	1
33.89695112	133.8058643	157	Doken	1
33.99414729	134.3186375	157	Doken	1
33.99414729	134.3186375	157	Doken	1
33.96425331	134.3133546	157	Doken	1
33.96425331	134.3133546	157	Doken	1
34.10668229	134.4858592	157	Doken	1
34.05691083	134.1406435	157	Doken	1
34.22999604	133.724222	157	Doken	1
34.2198065	133.7170795	157	Doken	1
34.14217457	133.7408838	157	Doken	1
34.48478766	134.3231433	157	Doken	1
34.48478766	134.3231433	157	Doken	1
34.13376484	133.6941501	157	Doken	1
34.00165907	133.012664	157	Doken	1
33.93043215	133.2976648	157	Doken	1
33.86181175	132.7755579	157	Doken	1
33.82359669	130.4843235	157	Doken	1
33.22101476	131.7109508	157	Doken	1
35.37664511	132.8525139	357	DokenChuC360	1
36.5864	136.622	148	DokenChuCB	1
