key	ja-JP	en-US	latitude	longitude	texture	x_size	first_year	last_year	overall_length
Kasen1	沖ノ山松浜の砂中	Okinoyama Matsuhama	33.95454703	131.2367058	CoinG	96	-100	50	25
Kasen2	高塚遺跡	Takatsuka Site	34.6927	133.8057	KasenR	25	30	115	25
Kasen3	沖ノ山松浜の砂中	Okinoyama Matsuhama	33.95454703	131.2367058	CoinGrH	19	-100	50	25
Kasen4	元岡・桑原遺跡群	Motoka・Kuwabara Site Group	33.599722	130.216722	KasenR	8	14	260	25
Kasen5	原の辻遺跡	Harunotsuji Site	33.7616	129.763	KasenR	8	30	115	25
Kasen6	原の辻遺跡	Harunotsuji Site	33.7616	129.763	KasenR	7	200	260	25
Kasen7	亀井遺跡	Kamei Site	34.616388	135.574444	KasenR	4	30	115	25
Kasen8	亀井遺跡	Kamei Site	34.616388	135.574444	KasenR	3	115	200	25
Kasen9	原の辻遺跡	Harunotsuji Site	33.7616	129.763	KasenR	3	115	200	25
Kasen10	御床松原遺跡	Mitokomatsubara Site	33.5737	130.1338	KasenR	3	30	200	25
Kasen11	青松海外（榎垣外）	Enokigaito Site	36.075555	138.071388	KasenR	3	1185	1603	25
Kasen12	入田稲荷前遺跡		34.31185045	134.7921247	KasenR	3	115	200	25
Kasen13	宇山牧場1号墳	Uyamabokujo No.1 Kofun	34.35083333	134.88775	CoinG	2	200	400	25
Kasen14	車出遺跡	Kurumade Site	33.763	129.7038	KasenR	2	30	200	25
Kasen15	函石浜遺跡	Hakoishihama Site	35.64369328	134.9074065	KasenR	2	1185	1603	25
Kasen16	うてな遣跡	Utena Site	32.9850785	130.7575161	KasenR	1	200	260	25
Kasen17	カラカミ遺跡	Karakami Site	33.7939	129.6942	KasenR	1	115	200	25
Kasen18	シゲノダン遺跡	Shigenodan Site	34.39306527	129.2862245	KasenR	1	30	115	25
Kasen19	瓜破遺跡	Uriwari Site	34.610277	135.550277	KasenR	1	30	115	25
Kasen20	瓜破遺跡	Uriwari Site	34.610277	135.550277	KasenR	1	1185	1603	25
Kasen21	鴨田遺跡	Kamota Site	35.3699	136.2888	CoinG	1	-118	240	25
Kasen22	祇園社		33.25035185	130.2268685	KasenR	1	14	200	25
Kasen23	吉野ヶ里遺跡	Yoshinogari Site	33.306388	130.392499	KasenR	1	14	200	25
Kasen24	巨摩・瓜生堂遺跡	Uryudo Site	34.6625	135.597222	KasenR	1	1185	1603	25
Kasen25	巨摩廃寺遺跡	Koma Site	34.6566	135.597	KasenR	1	30	115	25
Kasen26	堅粕遺跡	Katakasu Site	33.599722	130.422777	KasenR	1	30	200	25
Kasen27	元岡・桑原遺跡群	Motoka・Kuwabara Site Group	33.599722	130.216722	CoinG	1	14	260	25
Kasen28	原の辻遺跡	Harunotsuji Site	33.7616	129.763	CoinG	1	-118	200	25
Kasen29	原の辻遺跡	Harunotsuji Site	33.7616	129.763	Coin	1	7	115	25
Kasen30	原の辻遺跡	Harunotsuji Site	33.7616	129.763	CoinGr	1	-118	260	25
Kasen31	御幸中学校校庭遺跡	Miyuki Junior High School Yard Site	33.33272	130.79347	KasenR	1	115	260	25
Kasen32	御床松原遺跡	Mitokomatsubara Site	33.5737	130.1338	CoinB	1	30	200	25
Kasen33	護国神社境内遺跡	Gokokujinja Keidai Site	32.7775579	129.8554575	KafuR	1	9999	9999	58
Kasen34	高塚A遺跡	Takatsuka A Site	31.784722	130.935555	KasenR	1	14	592	25
Kasen35	今宿五郎江	Imajukugoroe	33.574444	130.271944	KasenR	1	30	240	25
Kasen36	車出遺跡	Kurumade Site	33.763	129.7038	KasenR	1	200	260	25
Kasen37	守恒遺跡	Moritsune Site	33.836111	130.871111	CoinG	1	-100	30	25
Kasen38	上東遺跡	Joto Site	34.6475	133.828888	KasenR	1	30	115	25
Kasen39	上鑵子遺跡	Jokansu Site	33.546944	130.206944	KasenR	1	30	115	25
Kasen40	新御堂遺跡	Shimmido Site	32.71186061	130.7297096	KasenR	1	30	200	25
Kasen41	新御堂遺跡	Shimmido Site	32.71186061	130.7297096	CoinB	1	30	200	25
Kasen42	新御堂遺跡	Shimmido Site	32.71186061	130.7297096	Coin	1	30	200	25
Kasen43	新町遺跡	Shimmachi Site	33.569444	130.133888	KasenR	1	115	200	25
Kasen44	新町遺跡	Shimmachi Site	33.569444	130.133888	CoinB	1	115	200	25
Kasen45	須玖坂本遺跡	Sugusakamoto Site	33.53834988	130.4515767	KasenR	1	115	200	25
Kasen46	瀬のサエ遺跡	Senosae Site	34.45059953	129.3142334	KasenR	1	30	200	25
Kasen47	西前田（感田）遺跡		33.76449432	130.7350164	KasenR	1	1185	1603	25
Kasen48	青谷上寺地遺跡	Aoyakamijichi Site	35.510555	133.995833	KasenR	1	30	115	25
Kasen49	曽井古墳	Soi Kofun	31.88821825	131.4045122	KasenR	1	240	592	25
Kasen50	樽味立添遺跡	Tarumitachizoe Site	33.840883	132.791019	KasenR	1	30	592	25
Kasen51	鍛冶屋遺跡	Kajiya Site	35.0629	134.9264	KasenR	1	14	200	25
Kasen52	仲島遺跡	Nakashima Site	33.554416	130.468222	KafuR	1	550	600	58
Kasen53	長田外園遺跡		32.95922839	130.789626	KasenR	1	30	200	25
Kasen54	澱池遺跡	Todonoike Site	34.432808	135.3444	KasenR	1	1185	1603	25
Kasen55	田多地引谷遺跡		35.46139	134.87503	CoinG	1	200	240	25
Kasen56	東宮裾		33.22460665	130.0482241	KasenR	1	30	115	25
Kasen57	南江戸客谷遺跡	Minamiedokyakutani Site	33.84	132.743333	KasenR	1	1185	1603	25
Kasen58	武久浜墳墓群	Takehisahama Fumbogun	33.978625	130.917194	CoinB	1	-100	30	25
Kasen59	平塚川添遺跡	Hiratsukakawazoe Site	33.39582924	130.6501316	KasenR	1	14	200	25
Kasen60	米倉山B遺跡	Komekuyama B Site	35.584219	138.576083	KasenR	1	200	260	25
Kasen61	堀越町遺跡	Horikoshicho Site	35.199166	136.875555	KasenR	1	14	592	25
Kasen62	本谷遺跡		34.48609811	133.3186699	KasenR	1	1185	1603	25
