key	value
gengo_0	神武天皇即位前
gengo_1	神武天皇
gengo_2	綏靖天皇
gengo_3	安寧天皇
gengo_4	懿德天皇
gengo_5	孝昭天皇
gengo_6	孝安天皇
gengo_7	孝靈天皇
gengo_8	孝元天皇
gengo_9	開化天皇
gengo_10	崇神天皇
gengo_11	垂仁天皇
gengo_12	景行天皇
gengo_13	成務天皇
gengo_14	仲哀天皇
gengo_15	神功皇后
gengo_16	應神天皇
gengo_17	仁德天皇
gengo_18	履中天皇
gengo_19	反正天皇
gengo_20	允恭天皇
gengo_21	安康天皇
gengo_22	雄略天皇
gengo_23	清寧天皇
gengo_24	顯宗天皇
gengo_25	仁賢天皇
gengo_26	武烈天皇
gengo_27	繼體天皇
gengo_28	安閑天皇
gengo_29	宣化天皇
gengo_30	欽明天皇
gengo_31	敏達天皇
gengo_32	用明天皇
gengo_33	崇峻天皇
gengo_34	推古天皇
gengo_35	舒明天皇
gengo_36	皇極天皇
gengo_37	大化
gengo_38	白雉
gengo_39	齊明天皇
gengo_40	天智天皇
gengo_41	天武天皇
gengo_42	朱鳥
gengo_43	持統天皇
gengo_44	文武天皇
gengo_45	大寶
gengo_46	慶雲
gengo_47	和銅
gengo_48	靈龜
gengo_49	養老
gengo_50	神龜
gengo_51	天平
gengo_52	天平感寶
gengo_53	天平勝寶
gengo_54	天平寶字
gengo_55	天平神護
gengo_56	神護景雲
gengo_57	寶龜
gengo_58	天應
gengo_59	延曆
gengo_60	大同
gengo_61	弘仁
gengo_62	天長
gengo_63	承和
gengo_64	嘉祥
gengo_65	仁壽
gengo_66	齊衡
gengo_67	天安
gengo_68	貞觀
gengo_69	元慶
gengo_70	仁和
gengo_71	寛平
gengo_72	昌泰
gengo_73	延喜
gengo_74	延長
gengo_75	承平
gengo_76	天慶
gengo_77	天曆
gengo_78	天德
gengo_79	應和
gengo_80	康保
gengo_81	安和
gengo_82	天祿
gengo_83	天延
gengo_84	貞元
gengo_85	天元
gengo_86	永觀
gengo_87	寛和
gengo_88	永延
gengo_89	永祚
gengo_90	正曆
gengo_91	長德
gengo_92	長保
gengo_93	寛弘
gengo_94	長和
gengo_95	寛仁
gengo_96	治安
gengo_97	萬壽
gengo_98	長元
gengo_99	長曆
gengo_100	長久
gengo_101	寛德
gengo_102	永承
gengo_103	天喜
gengo_104	康平
gengo_105	治曆
gengo_106	延久
gengo_107	承保
gengo_108	承曆
gengo_109	永保
gengo_110	應德
gengo_111	寛治
gengo_112	嘉保
gengo_113	永長
gengo_114	承德
gengo_115	康和
gengo_116	長治
gengo_117	嘉承
gengo_118	天仁
gengo_119	天永
gengo_120	永久
gengo_121	元永
gengo_122	保安
gengo_123	天治
gengo_124	大治
gengo_125	天承
gengo_126	長承
gengo_127	保延
gengo_128	永治
gengo_129	康治
gengo_130	天養
gengo_131	久安
gengo_132	仁平
gengo_133	久壽
gengo_134	保元
gengo_135	平治
gengo_136	永曆
gengo_137	應保
gengo_138	長寛
gengo_139	永萬
gengo_140	仁安
gengo_141	嘉應
gengo_142	承安
gengo_143	安元
gengo_144	治承
gengo_145	養和
gengo_146	壽永
gengo_147	元曆
gengo_148	文治
gengo_149	建久
gengo_150	正治
gengo_151	建仁
gengo_152	元久
gengo_153	建永
gengo_154	承元
gengo_155	建曆
gengo_156	建保
gengo_157	承久
gengo_158	貞應
gengo_159	元仁
gengo_160	嘉祿
gengo_161	安貞
gengo_162	寛喜
gengo_163	貞永
gengo_164	天福
gengo_165	文曆
gengo_166	嘉禎
gengo_167	曆仁
gengo_168	延應
gengo_169	仁治
gengo_170	寛元
gengo_171	寶治
gengo_172	建長
gengo_173	康元
gengo_174	正嘉
gengo_175	正元
gengo_176	文應
gengo_177	弘長
gengo_178	文永
gengo_179	建治
gengo_180	弘安
gengo_181	正應
gengo_182	永仁
gengo_183	正安
gengo_184	乾元
gengo_185	嘉元
gengo_186	德治
gengo_187	延慶
gengo_188	應長
gengo_189	正和
gengo_190	文保
gengo_191	元應
gengo_192	元亨
gengo_193	正中
gengo_194	嘉曆
gengo_195	元德
gengo_196	元弘
gengo_197	正慶
gengo_198	建武
gengo_199	延元
gengo_200	曆應
gengo_201	興國
gengo_202	康永
gengo_203	貞和
gengo_204	正平
gengo_205	觀應
gengo_206	文和
gengo_207	延文
gengo_208	康安
gengo_209	貞治
gengo_210	應安
gengo_211	建德
gengo_212	文中
gengo_213	天授
gengo_214	永和
gengo_215	康曆
gengo_216	弘和
gengo_217	永德
gengo_218	元中
gengo_219	至德
