key	value
Kofun1	だいせん
Kofun2	こんだごびょうやま
Kofun3	もずみささぎやま
Kofun4	はぜにさんざい
Kofun5	うわなべ
Kofun6	みせまるやま
Kofun7	はしはか
Kofun8	かわちおおつか
Kofun9	つくりやま
Kofun10	なかつやま
Kofun11	ごさし
Kofun12	しぶたにむかいやま
Kofun13	いちにわ
Kofun14	おかみさんざい
Kofun15	あんどんやま
Kofun16	つくりやま
Kofun17	むろみややま
Kofun18	いちのやま
Kofun19	ほうらいさん
Kofun20	おおだちゃうすやま
Kofun21	ふるいちはかやま
Kofun22	ひしあげ
Kofun23	さきいしづかやま
Kofun24	おおたてんじんやま
Kofun25	さいりょう
Kofun26	すやま
Kofun27	つきやま
Kofun28	めすりやま
Kofun29	つどうしろやま
Kofun30	さきみささぎやま
Kofun31	さくらいちゃうすやま
Kofun32	こなべ
Kofun33	まゆやま
Kofun34	ねんぶつやま
Kofun35	にきやま
Kofun36	りょうぐうざん
Kofun37	しまのやま
Kofun38	ごしきづか
Kofun39	かわいおおつかやま
Kofun40	かるさとおおつか
Kofun41	ふなづかやま
Kofun42	いましろづか
Kofun43	ごびょうやま
Kofun44	にしとのづか
Kofun45	くつがわくるまづか
Kofun46	たんのわにさんざい
Kofun47	にしやま
Kofun48	???
Kofun49	しろいしいなりやま
Kofun50	せんげんやま
Kofun51	かいちょうしづか
Kofun52	???
Kofun53	あみのちょうしやま
Kofun54	べっしょちゃうすやま
Kofun55	もずおおつかやま
Kofun56	しんめいやま
Kofun57	???
Kofun58	ちのおか
Kofun59	のなかみややま
Kofun60	???
Kofun61	???
Kofun62	こむろやま
Kofun63	くしやま
Kofun64	くらつか
Kofun65	わきがみかんすづか
Kofun66	たでいやま
Kofun67	はたごづか
Kofun68	ななこしやま
Kofun69	いたすけ
Kofun70	つばいおおつかやま
Kofun71	すぎやま
Kofun72	だいりづか
Kofun73	???
Kofun74	こづくりやま
Kofun75	???
Kofun76	らいじんやま
Kofun77	しおんじやま
Kofun78	くもべくるまづか
Kofun79	だんじょうざん
Kofun80	ひらたうめやま
Kofun81	きついしろやま
Kofun82	???
Kofun83	ひがしとのづか
Kofun84	???
Kofun85	ふたごやま
Kofun86	みさんざい
Kofun87	???
Kofun88	かなくらやま
Kofun89	みとあたごやま
Kofun90	いけだ
Kofun91	???
Kofun92	てんじんやま
Kofun93	こまよせむら
Kofun94	まえばしはちまんやま
Kofun95	くめだかいぶきやま
Kofun96	おとめやま
Kofun97	まえばしてんじんやま
Kofun98	くろづか
Kofun99	かめがもり
Kofun100	さきたかつか
Kofun101	ぼんてんやま
Kofun102	おふじやま
Kofun103	ひげやま
Kofun104	うしろやま
Kofun105	ひえづか
Kofun106	じんぐうじやま
Kofun107	みなとちゃうすやま
Kofun108	さこだどうざん
Kofun109	えげのやま
Kofun110	ちょうしづか
Kofun111	びわづか
Kofun112	おおつるまき
Kofun113	さんのわけめおおつかやま
Kofun114	???
Kofun115	こおりやまにきやま
Kofun116	さんじょうづか
Kofun117	のなかぼけやま
Kofun118	たかやつきやま
Kofun119	かみなみえいなりやま
Kofun120	えびすやま1ごうふん
Kofun121	まりしてんづか
Kofun122	いなりやま
Kofun123	たかやなぎちょうしづか
Kofun124	???
Kofun125	ぜぜちゃうすやま
Kofun126	おかちやま
Kofun127	てづかやま
Kofun128	なかやまおおつか
Kofun129	???
Kofun130	???
Kofun131	???
Kofun132	にしのりくら
Kofun133	しゅくてらやま
Kofun134	???
Kofun135	あしまやま
Kofun136	あづま
Kofun137	???
Kofun138	あきつねやま
Kofun139	???
Kofun140	こがねづかにごうふん
Kofun141	とうだいじやま
Kofun142	ふじもとかんのんやま
Kofun143	???
Kofun144	くろひめやま
Kofun145	いわやまふたごやま
Kofun146	おおつつみごんげんつか
Kofun147	???
Kofun148	やわたにしくるまざか
Kofun149	しらがやま
Kofun150	うわなりづか
Kofun151	べっしょおおつか
Kofun152	しもいけやま
Kofun153	うらまちゃうすやま
Kofun154	しんやま
Kofun155	あいづおおつかやま
Kofun156	かみさむらいづか
Kofun157	にしやまづか
Kofun158	???
Kofun159	???
Kofun160	やしきやま
Kofun161	とみつかまるやま
Kofun162	???
Kofun163	おくしろ
Kofun164	やまとてんじんやま
Kofun165	おのえくるまやま
Kofun166	うじふたごづか
Kofun167	あづちひょうたんやま
Kofun168	いしなづか
Kofun169	とおみづか
Kofun170	いまどみつかやま
Kofun171	ばしょうづか
Kofun172	おおとりづか
Kofun173	ふたつづか
Kofun174	にしもとめづか
Kofun175	きどりやま
Kofun176	ばくちやま
Kofun177	ふさぎづか
Kofun178	きたやま
Kofun179	???
Kofun180	???
Kofun181	ごめうしふたごやま
Kofun182	きゅうちゅうの
Kofun183	まつおじんじゃ
Kofun184	てっぽうやま
Kofun185	???
Kofun186	かわいしろやま
Kofun187	まつおかやま
Kofun188	いっぽんまつ
Kofun189	をかたづか
Kofun190	???
Kofun191	いでふたごやま
Kofun192	たまおか
Kofun193	???
Kofun194	なかふたご
Kofun195	まきのくるまづか
Kofun196	あかつちやま
Kofun197	てんのうやまづか
Kofun198	いそのかみおおつか
Kofun199	???
Kofun200	???
Kofun201	かみたけしてんじんやま
Kofun202	いなりやま
Kofun203	ささのもりいなり
Kofun204	かがみづか
Kofun205	ごぜんきづか
Kofun206	ほとだやくしづか
Kofun207	ひらつか
Kofun208	せんげんじんじゃ
Kofun209	くじょうづか
Kofun210	しおづか
Kofun211	うえのやま
Kofun212	まえばしふたごやま
Kofun213	ながやま
Kofun214	???
Kofun215	しょうぜんじ
Kofun216	おおやしき
Kofun217	あねさきふたごづか
Kofun218	あおきかめづか
Kofun219	はざみやま
Kofun220	???
Kofun221	しもごうてんじんづか
Kofun222	ほとだはちまんづか
Kofun223	いごづか
Kofun224	???
Kofun225	???
Kofun226	ちょうへんじやま
Kofun227	ようがいやま
Kofun228	とうやささづか
Kofun229	???
Kofun230	???
Kofun231	???
Kofun232	???
Kofun233	なかざわおおつか
Kofun234	はこづか
Kofun235	かんしょうづか
Kofun236	はかのどう
Kofun237	べんてんやまＡ1ごうふん
Kofun238	ながつか
Kofun239	ぎょうじゃづか
Kofun240	ねんぶつじやま
Kofun241	しめの
Kofun242	くりつか
Kofun243	あんどやま
Kofun244	しうろうづか
Kofun245	まきむくかつやま
Kofun246	なかやまちゃうすやま
Kofun247	???
Kofun248	???
Kofun249	???
Kofun250	???
Kofun251	あねさきてんじんやま
Kofun252	あんようじつばきやま
Kofun253	たまやま
Kofun254	???
Kofun255	???
Kofun256	わたぬきかんのんやま
Kofun257	???
Kofun258	いなりもり
Kofun259	やわたかんのんづか
Kofun260	みねづか
Kofun261	さきひょうたんやま
Kofun262	まきむくやづか
Kofun263	まきむくひがいだおおつか
Kofun264	???
Kofun265	???
Kofun266	のもとしょうぐんづか
Kofun267	きんれいづか
Kofun268	???
Kofun269	みょうけんやま
Kofun270	みやうちきつねづか
Kofun271	???
Kofun272	???
Kofun273	ふどうやま
Kofun274	もといなり
Kofun275	まえづか
Kofun276	やなぎもとおおつか
Kofun277	???
Kofun278	おみしんかんじ
Kofun279	つかやま
Kofun280	まえふたご
Kofun281	あぶらでん
Kofun282	まきむくいしづか
Kofun283	さみたたからづか
Kofun284	???
Kofun285	くあいむら
Kofun286	???
Kofun287	ほしじんじゃ
Kofun288	おかちょうしづか
Kofun289	いこた
Kofun290	???
Kofun291	わりじやま
Kofun292	???
Kofun293	ひらおじょうやま
Kofun294	きんやくるまづか
Kofun295	たまてやま1ごう
Kofun296	いばらきしょうぐんやま
Kofun297	さんりょうぼひがし
Kofun298	とうろうやま
Kofun299	???
Kofun300	???
Kofun301	???
Kofun302	ふなのみや
Kofun303	???
Kofun304	こすみだまえ
Kofun305	ふちゅうあたごやま
Kofun306	きゅうちゅうの
Kofun307	かみふちなふたごやま
Kofun308	かみりょうけふたごやま
Kofun309	ほづみいなりやま
Kofun310	もとしまなしょうぐんづか
Kofun311	めいじむら
Kofun312	かみこばないなりやま
Kofun313	しょうぐんやま
Kofun314	にしのだい
Kofun315	うるいどこうやんめえ
Kofun316	はやしのこし
Kofun317	しのぶがおか
Kofun318	こはんぼうづか
Kofun319	きたはなうちおおつか
Kofun320	みさきとのやま
Kofun321	???
Kofun322	???
Kofun323	???
Kofun324	そうじゃふたごやま
Kofun325	やないだぬのおやま
Kofun326	???
Kofun327	ごんげんやま
Kofun328	さんのうづか
Kofun329	かわかみふちむら
Kofun330	きたのてんじんやま
Kofun331	はくさんじんじゃ
Kofun332	こづか
Kofun333	じやま
Kofun334	しばまるやま
Kofun335	もりいちごうふん
Kofun336	かちまけやま
Kofun337	???
Kofun338	たまりふなつか
Kofun339	とのづか
Kofun340	なからづか
Kofun341	こつるまき
Kofun342	きただにじゅういちごうふん
Kofun343	わにしたじんじゃ
Kofun344	ながれやま
Kofun345	???
Kofun346	むらまつごんげんやま
Kofun347	???
Kofun348	???
Kofun349	うめのこづかいちごう
Kofun350	まるほやま
Kofun351	???
Kofun352	おおたつるやま
Kofun353	まないたたかやま
Kofun354	よろひさごづか
Kofun355	みなみおおつか
Kofun356	ひろせつるまきづか
Kofun357	ねざき
Kofun358	はちまんじんじゃ
Kofun359	???
Kofun360	てんのうのもり
Kofun361	きつねづか
Kofun362	???
Kofun363	うぐいすづか
