key	ja-JP
YaxEhbXook	Yax Ehb Xook
AnimalHeaddress	Animal Headdress
FoliatedJaguar	Foliated Jaguar
AtlatlCauac	Atlatl Cauac
ChakTokIchaakI	Chak Tok Ichaak I
KinichMuwaanJol	Kinich Muwaan Jol
SihyajChanKawiilI	Sihyaj Chan Kawiil I
SiyajKak	Siyaj Kak
TeKabChaak	Te Kab Chaak
UnenBahlam	Unen Bahlam
YaxNuunAhiinI	Yax Nuun Ahiin I
Casper	Casper
ChakTokIchaakII	Chak Tok Ichaak II
KahkUjolKinichI	Kahk Ujol Kinich I
KanAhkI	Kan Ahk I
KanAhkII	Kan Ahk II
KanChitam	Kan Chitam
KinichPopolHol	Kinich Popol Hol
KinichYaxKukMo	Kinich Yax Kuk Mo
KuIx	Ku Ix
KukBahlamI	Kuk Bahlam I
MuyalJol	Muyal Jol
Ruler3	Ruler 3
Ruler5	Ruler 5
RulerX	Ruler X
SihyajChanKawiilII	Sihyaj Chan Kawiil II
TokCasper	Tok Casper
TutuumYohlKinich	Tutuum Yohl Kinich
YajawTeKinichI	Yajaw Te Kinich I
YaxNuunAhiinI	Yax Nuun Ahiin I
AnimalSkull	Animal Skull
BalamNehn	Balam Nehn
BirdClaw	Bird Claw
ButzAjSakChiik	Butz Aj Sak Chiik
KaloomteBahlam	Kaloomte Bahlam
KanBahlamI	Kan Bahlam I
KanJoyChitamI	Kan Joy Chitam I
ScrollSerpent	Scroll Serpent
Sak-Lu	Sak-Lu
PiedrasNegrasRulerC	Piedras Negras Ruler C
AhkalMoNahbII	Ahkal Mo Nahb II
AhkalMoNahbI	Ahkal Mo Nahb I
LadyofTikal	Lady of Tikal
KanI	Kan I
KakChanYopaat	Kak Chan Yopaat
KnotAjaw	Knot Ajaw
Tzi-Balam	Tzi-Balam
TuunKabHix	Tuun Kab Hix
SkyWitness	Sky Witness
YajawTeKinichII	Yajaw Te Kinich II
WilOhlKinich	Wil Ohl Kinich
WakChanKawiil	Wak Chan Kawiil
YuknoomCheenI	Yuknoom Cheen I
YohlIknal	Yohl Iknal
YaxYopaat	Yax Yopaat
KinichKanBahlamII	キニッチ・カン・バフラム2世
BalajChanKawiil	バラフ・チャン・カウィール
ChanImixKawiil	チャン・イミックス・カウィール
ItzamKanAhkI	イツァム・カン・アック1世
JasawChanKawiilI	ジャソー・チャン・カウィール1世
KinichYonalAhkI	キニッチ・ヨナル・アフ1世
KinichJanaabPakalI	キニチ・ハナーブ・パカル1世
Adomnan	Adomnan
AebbeofColdingham	Aebbe of Coldingham
MolaiseofLeighlin	Molaise of Leighlin
BrideisonofBeli	Bridei son of Beli
LlywarchHen	Llywarch Hen
AthrwysapMeurig	Athrwys ap Meurig
Oudoceus	Oudoceus
IagoapBeli	Iago ap Beli
AlainIIHir	Alain II Hir
SaintJudicael	Saint Judicael
SaintGobrain	Saint Gobrain
SaintJudoc	Saint Judoc
SaintMalo	Saint Malo
Mewan	Mewan
SaintOnenne	Saint Onenne
BrunhildaofAustrasia	Brunhilda of Austrasia
IreneofTomar	Irene of Tomar
JohnofBiclaro	John of Biclaro
ValerioofBierzo	Valerio of Bierzo
Wittiza	Wittiza
Chindasuinth	Chindasuinth
Chintila	Chintila
Egica	Egica
Erwig	Erwig
LiuvaII	Liuva II
ReccaredI	Reccared I
Sisebut	Sisebut
Sisenand	Sisenand
Suintila	Suintila
Wamba	Wamba
Witteric	Witteric
Kubrat	Kubrat
RadbodofFrisia	Radbod of Frisia
StephenofKakheti	Stephen of Kakheti
AelfwineofDeira	Aelfwine of Deira
AethelberhtofKent	Aethelberht of Kent
AethelredofMercia	Aethelred of Mercia
Alhfrith	Alhfrith
PetrocBaladrddellt	Petroc Baladrddellt
ClemenapBledric	Clemen ap Bledric
Caedwalla	Caedwalla
EanfrithofBernicia	Eanfrith of Bernicia
EcgfrithofNorthumbria	Ecgfrith of Northumbria
EdwinofNorthumbria	Edwin of Northumbria
OethelwaldofDeira	Oethelwald of Deira
OswaldofNorthumbria	Oswald of Northumbria
Oswiu	Oswiu
PendaofMercia	Penda of Mercia
