key	value
China1	Hedong
China2	Pingyang
China3	Henei
China4	Wei
China5	Guangping
China6	State of Yan
China7	Yuyang
China8	Right Beiping
China9	Shanggu
China10	Dai
China11	Liaoxi
China12	Changli
China13	Liaodong
China14	Xuantu
China15	Lelang
China16	Daifang
China17	Anping
China18	Zhongshan
China19	Bohai
China20	Taiyuan
China21	Xihe
China22	Shangdang
China23	Yanmen
China24	Beihai
China25	Donglai
China26	State of Qi
China27	Pengcheng
China28	Xiapi
China29	Guangling
China30	Donghai
China31	Langya
China32	Taishan
China33	State of Lu
China34	Jingzhao
China35	Fengyi
China36	Fufeng
China37	Anding
China38	Tianshui
China39	Wudu
China40	Wuwei
China41	Jincheng
China42	Xiping
China43	Zhangye
China44	Jiuquan
China45	Dunhuang
China46	Xihai
China47	Hanzhong
China48	Zitong
China49	Guanghan
China50	Fuling
China51	Ba
China52	Badong
China53	Baxi
China54	Yinping
China55	Shu
China56	Wenshan
China57	Jianwei
China58	Jiangyang
China59	Hanjia
China60	Zhuti
China61	Yuexi
China62	Zangke
China63	Jianning
China64	Yongchang
China65	Yunnan
China66	Xinggu
China67	Western Regions
