key	value
HAinu1	Sat-nay
HAinu2	Cir-o-p
HAinu3	Mom-ca
HAinu4	Ki-o-pe
HAinu5	Kotanu-us-i
HAinu6	Eramante-usi
HAinu7	Para-kot
HAinu8	Cis-imko
HAinu9	?-nay
HAinu10	Kama-ya-pet
HAinu11	Kama-ya
HAinu12	To-un-pet
HAinu13	O-ya-us-i
HAinu14	Sirar-etu
HAinu15	Mo-peci
HAinu16	Ukaw-sirar
HAinu17	E-san-i
HAinu18	Yanke-nay
HAinu19	Kunne-pet
HAinu20	Tu-pana
HAinu21	Peker-pet
HAinu22	Kina-us-i
HAinu23	O-sat-pe
HAinu24	Tomari
HAinu25	Kakkok-un-i
HAinu26	Pus-putu
HAinu27	Ran-pok
HAinu28	Poro-to
HAinu29	I-kusa-p
HAinu30	Ota-pet
HAinu31	Hure-pet
HAinu32	Tomam-pet
HAinu33	Sike-pe
HAinu34	So-ya
HAinu35	Puy-oma-p
HAinu36	Pon-pet
HAinu37	Cikayep
HAinu38	Poro-oman-pet
HAinu39	Puy-o-suma
HAinu40	O-sirar-nay
HAinu41	Kene-ni-us-i
HAinu42	Sara
HAinu43	Kuma-us-i
HAinu44	Utumam-pet
HAinu45	Supki-nay
HAinu46	Ci-kisa-p
HAinu47	I-kus-ta-mosir
HAinu48	I-kar-rani
HAinu49	Esaman-i
HAinu50	Epuy
HAinu51	Kaye-uturu
HAinu52	O-tes-pet
HAinu53	Ni-ca
HAinu54	O-ni-us-i
HAinu55	Ru-pes-pet
HAinu56	Mo-koci
HAinu57	Nup-tay
HAinu58	O-sirar-un-pet
HAinu59	Ku-un-tu
HAinu60	Keri-ma-p
HAinu61	Ane-sara
HAinu62	Yam-kus-nay
HAinu63	Mitus
HAinu64	Nupka
HAinu65	Pon-kerimap
HAinu66	Pi-po-or
HAinu67	Haru-ta-us-nay
HAinu68	Ota
HAinu69	Moy-or
HAinu70	Pir-or
HAinu71	Pok-o-i
HAinu72	Nupka-pet
HAinu73	Urar
HAinu74	Toy-pet
HAinu75	Casi
HAinu76	Wa?-ne-us-i
HAinu77	Si-huci-nay
HAinu78	Sikutur
HAinu79	Has-pet
HAinu80	Cir-pet
HAinu81	Kunne-suma
HAinu82	Poro-hatkut
HAinu83	Pit-oro
HAinu84	Sep
HAinu85	O-kompu-us-pe
HAinu86	Toy-o-i
HAinu87	O-punkar-us-pe
HAinu88	Poro-pet
HAinu89	Maw(Ni)-us-i-oro
HAinu90	Noya-sar
HAinu91	Emawri-omarep
HAinu92	Kun(Ne)-nuy
HAinu93	Seta-nay
HAinu94	Ray-pa
HAinu95	Kuttar-us-i
HAinu96	Kapar
HAinu97	(Topiu)?
HAinu98	Mem
HAinu99	Mo-pet
HAinu100	Wakka-o-i
HAinu101	Yuk-cise
HAinu102	Tayki-us-i
HAinu103	(Biuka)
HAinu104	Upas-samampe}
HAinu105	Us-or
HAinu106	Suma-ota
HAinu107	Pira-ka-un-kotan
HAinu108	So-pet
HAinu109	Sum-un-kot
HAinu110	Sar-pa
HAinu111	Ciw-ruy-topuy
HAinu112	(Nina)
HAinu113	Sa-tay-pet
HAinu114	Ku-o-nay
HAinu115	Repun-ke-p
HAinu116	Sirara-o-i
HAinu117	Sir-tukari
HAinu118	Panke-yu
HAinu119	Op-kes
HAinu120	Ota-ru-oma-i
HAinu121	Oika-oma-i
HAinu122	Ku-o-pira
HAinu123	Ni-sitap
HAinu124	Rerko-oma-pet
HAinu125	Koy-tuye
HAinu126	Warunpe-hur
HAinu127	Yu-putu
HAinu128	Nip-ta-i?
HAinu129	To-ya
HAinu130	Sar-pet
HAinu131	Ci-o-pus-i
HAinu132	Kurmat-nay
HAinu133	Mem
HAinu134	Nupki-pet
HAinu135	Mep
HAinu136	Nuye
HAinu137	Yu-to
HAinu138	Ciw-as-pet
HAinu139	Oho-utnay
HAinu140	Para-ota
HAinu141	O-sat-nay
HAinu142	Tomari
HAinu143	O-rikan-pet
HAinu144	Ut-nay
HAinu145	Mo-rap
HAinu146	Hure-nay
HAinu147	Wen-nay
HAinu148	Tapkop-ray
HAinu149	To-asam
HAinu150	Iwa-cis
HAinu151	Pi-puy
HAinu152	Ru-sut
HAinu153	Oro-wen-sirpet
HAinu154	Ayusni-us-i
HAinu155	Yu-pet
HAinu156	Sey-o-i
HAinu157	Po-pet
HAinu158	Sak-rupespe
HAinu159	Taor-kes
HAinu160	Mak-kari-p
HAinu161	Casi-kot
HAinu162	Nisew
HAinu163	Ota-sut
HAinu164	Si-ri-pet
HAinu165	Poro-pi-nay
HAinu166	Nukan-nay
HAinu167	Pet-pet
HAinu168	Sittuney?
HAinu169	Usis-pet
HAinu170	Kim-un-pet
HAinu171	Konpo-nupuri
