key	value
HAinu1	サッナイ
HAinu2	チリプオ
HAinu3	モムチャ
HAinu4	キオペ
HAinu5	コタヌウシイ
HAinu6	エラマンテウシ
HAinu7	パラコッ
HAinu8	チシムエコ
HAinu9	リコナイ
HAinu10	カマヤペッ
HAinu11	カマヤ
HAinu12	トウンペッ
HAinu13	オヤウシイ
HAinu14	シララウエト
HAinu15	モペチ
HAinu16	ウカウシララ
HAinu17	エサンイ
HAinu18	ヤンケナイ
HAinu19	クンネペッ
HAinu20	トゥパナ
HAinu21	ペケペッレ
HAinu22	キナウシイ
HAinu23	オサッペ
HAinu24	トマリ
HAinu25	カッコクウンイ
HAinu26	プシプトゥ
HAinu27	ランポク
HAinu28	ポロト
HAinu29	イクサプ
HAinu30	オタペッ
HAinu31	フレペッ
HAinu32	トマムペッ
HAinu33	シケペ
HAinu34	ソヤ
HAinu35	プイオマプ
HAinu36	ポンペッ
HAinu37	チカイェプ
HAinu38	ポロオマンペッ
HAinu39	プイオスマ
HAinu40	オシララナイ
HAinu41	ケネニウシイ
HAinu42	サラ
HAinu43	クマウシイ
HAinu44	ウトマペッウム
HAinu45	スキナイプ
HAinu46	チキサプ
HAinu47	イクシリタモシ
HAinu48	イカララニ
HAinu49	エサマンイ
HAinu50	エプイ
HAinu51	カイェウトゥル
HAinu52	オテシペッ
HAinu53	ニチャ
HAinu54	オニウシイ
HAinu55	ルペペッシ
HAinu56	モコチ
HAinu57	ヌプタイ
HAinu58	オシララウンペッ
HAinu59	クウントゥ
HAinu60	ケリマプ
HAinu61	アネサラ
HAinu62	ヤクナイムシ
HAinu63	ミトゥシ
HAinu64	ヌプカ
HAinu65	ポンケリマプ
HAinu66	ピポオロ
HAinu67	ハルタウシナイ
HAinu68	オタ
HAinu69	モイオロ
HAinu70	ピオリロ
HAinu71	ポクオイ
HAinu72	ヌカペップ
HAinu73	ウララ
HAinu74	トイペッ
HAinu75	チャシ
HAinu76	ワネウシイ
HAinu77	シフチナイ
HAinu78	シクトゥル
HAinu79	ハペッシ
HAinu80	チリペッ
HAinu81	クンネスマ
HAinu82	ポロハックッ
HAinu83	ピッオロ
HAinu84	セプ
HAinu85	オコムシプウペ
HAinu86	トイオイ
HAinu87	ヲフンカルシベ
HAinu88	ポロペッ
HAinu89	マウ(ニ)ウシイオロ
HAinu90	ノヤサラ
HAinu91	エマウリオマレプ
HAinu92	クン(ネ)ヌイ
HAinu93	セタナイ
HAinu94	ライパ
HAinu95	クッタラシウイ
HAinu96	カパラ
HAinu97	トピウ
HAinu98	メム
HAinu99	モペッ
HAinu100	ワッカオイ
HAinu101	ユクチセ
HAinu102	タイキウシイ
HAinu103	ピウカ
HAinu104	ウパサマペシム
HAinu105	ウシオロ
HAinu106	スマオタ
HAinu107	ピラカウンコタン
HAinu108	ソペッ
HAinu109	スムウンコッ
HAinu110	サル・パ
HAinu111	チウルイトプイ
HAinu112	ニナ
HAinu113	サタイペッ
HAinu114	クオナイ
HAinu115	レプンケプ
HAinu116	シララオイ
HAinu117	シリトゥカリ
HAinu118	パンケユ
HAinu119	オプシケ
HAinu120	オタルオマイ
HAinu121	オイカオマイ
HAinu122	クオピラ
HAinu123	ニシタプ
HAinu124	レレコオマペッ
HAinu125	コイトウエイ
HAinu126	ワルンペフル
HAinu127	ユプトゥ
HAinu128	ニプタイ
HAinu129	トヤ
HAinu130	サラペッ
HAinu131	チオプシイ
HAinu132	クルマッナイ
HAinu133	メム
HAinu134	ヌプキペッ
HAinu135	メプ
HAinu136	ヌイェ
HAinu137	ユト
HAinu138	チウアシペッ
HAinu139	オホウッナイ
HAinu140	パラオタ
HAinu141	オサッナイ
HAinu142	トマリ
HAinu143	オリカンペッ
HAinu144	ウッナイ
HAinu145	モラプ
HAinu146	フレナイ
HAinu147	ウェンナイ
HAinu148	タププコライ
HAinu149	トアサム
HAinu150	イワチシ
HAinu151	ピプイ
HAinu152	ルスッ
HAinu153	ｵﾛｳｪﾝｼﾘﾍﾟｯ
HAinu154	アイウシニウシイ
HAinu155	ユペッ
HAinu156	セイオイ
HAinu157	ポペッ
HAinu158	サクシルペペ
HAinu159	タオロシケ
HAinu160	マクカリプ
HAinu161	チャシコッ
HAinu162	ニセウ
HAinu163	オタスッ
HAinu164	シリペッ
HAinu165	ポロピナイ
HAinu166	ヌカンナイ
HAinu167	ペッペッ
HAinu168	シットゥネイ
HAinu169	ウシシペッ
HAinu170	キムウンペッ
HAinu171	コンポヌプリ
HAinu172	モイワ
HAinu173	タンネモイ
HAinu174	ルオサンイ
HAinu175	ランコウシイ
HAinu176	アプナイ
HAinu177	ランコウシイ
HAinu178	ノヤウイシ
HAinu179	トプヨカオロ
HAinu180	レサクペッ
HAinu181	ピヤ
HAinu182	イソヤ
HAinu183	ネシシコウイ
HAinu184	スマオコタン
HAinu185	ノット
HAinu186	トペッ
HAinu187	ピパイロペッ
HAinu188	トコムロオ
HAinu189	トプッ
HAinu190	オサッ〈ナイ〉
HAinu191	サクペッ
HAinu192	ス(キ)サプラ
HAinu193	イチャニ
HAinu194	ヌプリカウンペッ
HAinu195	サペッラ
HAinu196	サッナイ
HAinu197	スマオマプ
HAinu198	ニオペッ
HAinu199	トゥペッシ
HAinu200	サラシキウイ
HAinu201	オイチャンオマプ
HAinu202	ワッカチャラセ
HAinu203	チプオマナイ
HAinu204	パシルク
HAinu205	ウッチナイ
HAinu206	カチロコイ
HAinu207	シクトゥルシウナイ
HAinu208	チエオタ
HAinu209	ウワッテペッ
HAinu210	ポロナイ
HAinu211	トゥイマチヌプ
HAinu212	ポントマリ
HAinu213	アトウイカ
HAinu214	コムプモイ
HAinu215	サシウシイ
HAinu216	ニセイオマプ
HAinu217	ポンイオプ
HAinu218	ソウシペッ
HAinu219	オウコッ
HAinu220	シライカラ
HAinu221	ハルウトル
HAinu222	シリエトゥ
HAinu223	フサルム
HAinu224	ヌプカペッ
HAinu225	マウオイ
HAinu226	ヌサオマイ
HAinu227	シヨロロ
HAinu228	チェププシポウイ
HAinu229	オサラシウナイ
HAinu230	チプシランケウイ
HAinu231	サモオマイ
HAinu232	ポロナイ
HAinu233	リヤムナイ
HAinu234	モサ
HAinu235	ペッポ
HAinu236	トコタン
HAinu237	シムカプ
HAinu238	ペケペッレ
HAinu239	オトケプ
HAinu240	オタノシキ
HAinu241	ウェンホロカペッ
HAinu242	テイネル
HAinu243	オポロペッ
HAinu244	クマウシイ
HAinu245	カムイハッタラ
HAinu246	アラルル
HAinu247	ヌプルウトゥ
HAinu248	アイカプ
HAinu249	チウルプ
HAinu250	チキサプ
HAinu251	トゥイピラ
HAinu252	ニトゥオマプ
HAinu253	ピラケシ
HAinu254	チャロ
HAinu255	ピパウシ
HAinu256	トマタオロ
HAinu257	シンプイ
HAinu258	トヤ
HAinu259	トマム
HAinu260	ケネポク
HAinu261	シカリペッ
HAinu262	ピパセイ
HAinu263	トゥリトゥイェウシイ
HAinu264	モイスッ
HAinu265	モイレトマリ
HAinu266	テレシケウイ
HAinu267	ナイポ
HAinu268	キタプ
HAinu269	コッネイ
HAinu270	カパラプフ
HAinu271	シットク
HAinu272	フシコサッポロ
HAinu273	キロル
HAinu274	ヌプロオオペッ
HAinu275	エサンピタラ
HAinu276	サオロオペッ
HAinu277	ハシャム
