key	value
HAinu1	니콜
HAinu2	오오호내
HAinu3	퇴오이
HAinu4	쿤네펱
HAinu5	모눞오내
HAinu6	에산피탈
HAinu7	삿웃이
HAinu8	오우콭
HAinu9	쿠마웃이
HAinu10	코탄내
HAinu11	코탄펱
HAinu12	피산펱
HAinu13	카예우투루
HAinu14	아윳니웃이
HAinu15	퉆우시
HAinu16	눞카
HAinu17	에핏오맢
HAinu18	우팟사맘페
HAinu19	쿹카안내
HAinu20	펱포
HAinu21	소랖치
HAinu22	쿠마웃이
HAinu23	이찬내
HAinu24	포로뫼
HAinu25	키토웃
HAinu26	시타카라?
HAinu27	피라켓
HAinu28	홀카내
HAinu29	앝웃내
HAinu30	칠펱
HAinu31	(토피우)?
HAinu32	포펱
HAinu33	놑삼
HAinu34	온네토
HAinu35	실투카리
HAinu36	템문야
HAinu37	오야훌
HAinu38	탚콮
HAinu39	시유펱
HAinu40	이소야
HAinu41	메만펱
HAinu42	노카피라
HAinu43	쿹탈웃이
HAinu44	치우앗펱
HAinu45	오샅내
HAinu46	펫투카리
HAinu47	후레펱
HAinu48	앝퉄토
HAinu49	니눔웃펱
HAinu50	에룸내
HAinu51	키로루
HAinu52	카믜핱탈
HAinu53	란코웃이
HAinu54	후렢
HAinu55	웬내
HAinu56	토마리
HAinu57	샄코탄내
HAinu58	이페콜펱
HAinu59	쿹찰
HAinu60	멤
HAinu61	알룰
HAinu62	우랄
HAinu63	토마오마이
HAinu64	산내푸투
HAinu65	태키웃이
HAinu66	시펱차
HAinu67	샅쿠마
HAinu68	하루우토루?
HAinu69	투왈
HAinu70	시카리펱
HAinu71	텔케웃이
HAinu72	사모오마이
HAinu73	에쿳나펱
HAinu74	핕오로
HAinu75	판케토
HAinu76	유푸투
HAinu77	눔옽페
HAinu78	오넽오맢
HAinu79	야솟케
HAinu80	페페릐
HAinu81	마살펱
HAinu82	살오마펱
HAinu83	시요로로?
HAinu84	오시키나웃이
HAinu85	미툿
HAinu86	포로내
HAinu87	하루웃
HAinu88	타올켓
HAinu89	센필
HAinu90	살킾
HAinu91	토맘
HAinu92	마타옽이
HAinu93	오샅페
HAinu94	웉내
HAinu95	모이와
HAinu96	콤푸뫼
HAinu97	오타누푸리
HAinu98	토풑
HAinu99	우희
HAinu100	윸치세
HAinu101	애캎
HAinu102	오타놋키
HAinu103	시케페
HAinu104	이오피토
HAinu105	치래카리펱
HAinu106	눞우툴
HAinu107	세오이
HAinu108	오타
HAinu109	놑올
