key	en-US
Kojiki1	Akizuno
Kojiki2	Akizuno
Kojiki3	Azaka
Kojiki4	Ashigaranosaka
Kojiki5	Asukagawa
Kojiki6	Asukagawa
Kojiki7	Azukishima
Kojiki8	Azuma
Kojiki9	Azumanoawanominato
Kojiki10	Azumanoawanominato
Kojiki11	Awakihara
Kojiki12	Awashima
Kojiki13	Awashima
Kojiki14	Awajinoshimanoshimizu
Kojiki15	Awajinoshimanoshimizu
Kojiki16	Awajinohonosawakenoshima（Awajinoshima）
Kojiki17	Aizu
Kojiki18	Ousaka
Kojiki19	Amakashinokotoyasomagatuhinosaki
Kojiki20	Amakashinosaki
Kojiki21	Amenokanayama
Kojiki22	Amenoyasunokawa
Kojiki23	Amenoyasunokawa
Kojiki24	Amenoyasunokawa
Kojiki25	Amenoyasunokawa
Kojiki26	Ikinoshima
Kojiki27	Isenoumi
Kojiki28	Idomi
Kojiki29	Yūyasaka
Kojiki30	Iyonofutananoshima
Kojiki31	Udanoukachi
Kojiki32	Udanochihara
Kojiki33	Umi
Kojiki34	Okinomitsugonoshima
Kojiki35	Ochikuni
Kojiki36	Onogoroshima
Kojiki37	Onogoroshima
Kojiki38	Ōyamatotoyoakizushima
Kojiki39	Kawaranosaki
Kojiki40	Kusobakama(kusuba)
Kojiki41	Kurehara
Kojiki42	Sagariki（sagaraka）
Kojiki43	Sadonoshima
Kojiki44	Saigawa
Kojiki45	Shimesu
Kojiki46	Shimesu
Kojiki47	Suga
Kojiki48	Tagi
Kojiki49	Tatetsu（Tadetsu）
Kojiki50	Chikatsuasuka
Kojiki51	Chinunoumi
Kojiki52	Chinura（tsunuga）
Kojiki53	Tsukushinoshima
Kojiki54	Tsushima
Kojiki55	Tsuetsukisaka
Kojiki56	Tōtsuasuka
Kojiki57	Hafurisono
Kojiki58	Mitsunosaki
Kojiki59	Mie
Kojiki60	Miwa
Kojiki61	Moyama
Kojiki62	Moyama
Kojiki63	Yakitsu
Kojiki64	Isamenoshimizu
Kojiki65	Isamenoshimizu
Kojiki66	Onominato
