key	value
NRCT1	尻沢辺村
NRCT2	仲浜町
NRCT3	亀田町
NRCT4	中野村
NRCT5	下穴沢村
NRCT6	大山村
NRCT7	粟村
NRCT8	上圷村
NRCT9	下圷村
NRCT10	北方村
NRCT11	高久村
NRCT12	高根村
NRCT13	岩船村
NRCT14	孫根村
NRCT15	大森村
NRCT16	観世音村
NRCT17	高野村
NRCT18	上泉村
NRCT19	上那珂西村
NRCT20	下那珂西村
NRCT21	石塚村
NRCT22	下青山村
NRCT23	上青山村
NRCT24	宗田村
NRCT25	野田村
NRCT26	市野沢村
NRCT27	下小坂村
NRCT28	上小坂村
NRCT29	勝見沢村
NRCT30	上古内村
NRCT31	下古内村
NRCT32	安渡新田
NRCT33	増井村
NRCT34	磯野村
NRCT35	上入野村
NRCT36	下大野村
NRCT37	泥障作村
NRCT38	小泉村
NRCT39	川又村
NRCT40	平戸村
NRCT41	塩崎村
NRCT42	飯島村
NRCT43	島田村
NRCT44	大串村
NRCT45	東前村
NRCT46	栗崎村
NRCT47	六反田村
NRCT48	頃巻沢村
NRCT49	大場村
NRCT50	島新田
NRCT51	秋成新田
NRCT52	下入野村
NRCT53	森戸村
NRCT54	磯浜村
NRCT55	大貫村
NRCT56	神山村
NRCT57	成田村
NRCT58	田島村
NRCT59	島守村
NRCT60	三野輪村
NRCT61	黒磯村
NRCT62	牛伏村
NRCT63	有賀村
NRCT64	大足村
NRCT65	筑地村
NRCT66	赤尾関村
NRCT67	中原村
NRCT68	杉崎村
NRCT69	三湯村
NRCT70	田代村
NRCT71	内原村
NRCT72	小林村
NRCT73	五平村
NRCT74	鯉淵村
NRCT75	下野新田
NRCT76	下石崎村
NRCT77	中石崎村
NRCT78	上石崎村
NRCT79	晴山沢村
NRCT80	若宮村
NRCT81	谷田部村
NRCT82	植農村
NRCT83	長岡村
NRCT84	前田村
NRCT85	大戸村
NRCT86	近藤村
NRCT87	常井村
NRCT88	馬渡村
NRCT89	小鶴村
NRCT90	平内村
NRCT91	越安村
NRCT92	蕎麦原村
NRCT93	駒渡村
NRCT94	野曾村
NRCT95	栗崎村
NRCT96	川又村
NRCT97	木部村
NRCT98	上飯沼村
NRCT99	下飯沼村
NRCT100	下土師村
NRCT101	金山沢村
NRCT102	奥谷村
NRCT103	小堤村
NRCT104	駒場村
NRCT105	神宿村
NRCT106	海老沢村
NRCT107	網掛村
NRCT108	宮ヶ崎村
NRCT109	城之内村
NRCT110	嶋田村
NRCT111	神谷村
NRCT112	吉川町
NRCT113	角柄折村
NRCT114	秋葉村
NRCT115	足黒村
NRCT116	鳥羽田村
NRCT117	小幡村
NRCT118	下座村
NRCT119	上雨ヶ谷村
NRCT120	下雨ヶ谷村
NRCT121	生井沢村
NRCT122	西郷地村
NRCT123	橋場美新田
NRCT124	鳥屋部村
NRCT125	先後新田
NRCT126	小岩戸村
NRCT127	寺崎新田
NRCT128	手堤新田村
NRCT129	高田新田村
NRCT130	大笹新田
NRCT131	堅倉村
NRCT132	部室村
NRCT133	納場新田
NRCT134	江戸新田
NRCT135	赤保内村
NRCT136	羽刈新田
NRCT137	張星村
NRCT138	柴高村
NRCT139	鶴田村
NRCT140	三箇村
NRCT141	中野谷村
NRCT142	中台村
NRCT143	花野井村
NRCT144	羽鳥村
NRCT145	大谷村
NRCT146	野沢村
NRCT147	小曾納村
NRCT148	竹原上郷村
NRCT149	竹原中郷村
NRCT150	竹原新田村
NRCT151	馬場村
NRCT152	世楽村
NRCT153	佐才新田
NRCT154	上吉影村
NRCT155	前原村
NRCT156	飯岡村
NRCT157	道仏村
NRCT158	上合村
NRCT159	下吉影村
NRCT160	山野村
NRCT161	外之内新田
NRCT162	与沢村
NRCT163	倉数村
NRCT164	幡谷村
NRCT165	川戸村
NRCT166	野田村
NRCT167	宮田村
NRCT168	常海町
NRCT169	四箇村
NRCT170	立延村
NRCT171	小川村
NRCT172	馬場村
NRCT173	小塙村
NRCT174	三の丸
NRCT175	西柵町
NRCT176	銀杏町
NRCT177	柵町横町
NRCT178	元白銀町
NRCT179	窪町
NRCT180	田見小路
NRCT181	大町
NRCT182	中町
NRCT183	南町
NRCT184	藤沢小路
NRCT185	上梅香
NRCT186	下梅香
NRCT187	黒羽町
NRCT188	大坂町
NRCT189	神応町
NRCT190	堀端町
NRCT191	西町
NRCT192	幸町
NRCT193	備前町
NRCT194	竈神町
NRCT195	天王町
NRCT196	天王横町
NRCT197	神崎町
NRCT198	鳥見町
NRCT199	裏鳥見町
NRCT200	五軒町
NRCT201	馬場町
NRCT202	八王寺町
NRCT203	裏八王寺町
NRCT204	荒木町
NRCT205	富士山町
NRCT206	撞木辻
NRCT207	信願寺町
NRCT208	裏信願寺町
NRCT209	与力町
NRCT210	並松町
NRCT211	桜町
NRCT212	堤町
NRCT213	本寺町
NRCT214	本寺町後町
NRCT215	御宮下町
NRCT216	奈良屋町
NRCT217	和正院町
NRCT218	上金町
NRCT219	下金町
NRCT220	馬口労町
NRCT221	馬口労町片町
NRCT222	新屋敷
NRCT223	北浜町
NRCT224	番町
NRCT225	泉町
NRCT226	泉町片町
NRCT227	鉄炮町
NRCT228	本大工町
NRCT229	向井町
NRCT230	向井町片町
NRCT231	北之横町
NRCT232	久保町
NRCT233	南之横町
NRCT234	新大工町
NRCT235	本徒士町
NRCT236	泉蔵院横町
NRCT237	虚空蔵下
NRCT238	風呂下
NRCT239	八幡町
NRCT240	谷中
NRCT241	神応寺前
NRCT242	元山町・木挽町
NRCT243	神崎
NRCT244	東柵町
NRCT245	三軒町
NRCT246	徒士町
NRCT247	杉山口
NRCT248	浮町
NRCT249	宝鏡院門前
NRCT250	新河岸
NRCT251	立浪町
NRCT252	いせき町
NRCT253	花畠辻
NRCT254	浮草町
NRCT255	細谷町
NRCT256	裏新町
NRCT257	稲荷町
NRCT258	南ノ辻
NRCT259	北ノ辻
NRCT260	蓮池町
NRCT261	中之町
NRCT262	赤沼町
NRCT263	荒神町
NRCT264	一ノ町
NRCT265	二ノ町
NRCT266	三ノ町
NRCT267	南袋町
NRCT268	代官町
NRCT269	馬場
NRCT270	新寺町
NRCT271	北袋町
NRCT272	浮新町
NRCT273	石垣町
NRCT274	鼠町
NRCT275	水門町
NRCT276	竹熊町
NRCT277	横竹熊町
NRCT278	上組町
NRCT279	東台
NRCT280	十軒町
NRCT281	搦手町
NRCT282	七軒町
NRCT283	本一町目
NRCT284	本二町目
NRCT285	江戸町
NRCT286	本三町目
NRCT287	檜物町
NRCT288	本四町目
NRCT289	常番町
NRCT290	肴町
NRCT291	紙町
NRCT292	本五町目
NRCT293	本六町目
NRCT294	芦町
NRCT295	本七町目
NRCT296	菓物町
NRCT297	曲尺手町
NRCT298	通八町目
NRCT299	通九町目
NRCT300	上徒士町
NRCT301	通十町目
NRCT302	下新町
NRCT303	紺屋町
NRCT304	裏一町目
NRCT305	裏二町目
NRCT306	裏三町目
NRCT307	裏四町目
NRCT308	田中町
NRCT309	三間町
NRCT310	裏五町目
NRCT311	町組町
NRCT312	塩町
NRCT313	裏六町目
NRCT314	裏七町目
NRCT315	材木町
NRCT316	鍛冶町
NRCT317	白銀町
NRCT318	藤柄町
NRCT319	台町
NRCT320	大工町
NRCT321	常葉村
NRCT322	本鍛冶町
NRCT323	袴塚村
NRCT324	堀村
NRCT325	田野村
NRCT326	台渡村
NRCT327	圷渡村
NRCT328	上河内村
NRCT329	中河内村
NRCT330	西連寺村
NRCT331	青柳村
NRCT332	上国井村
NRCT333	浅野町
NRCT334	鳥屋部町
NRCT335	下国井村
NRCT336	田谷村
NRCT337	岩根村
NRCT338	藤井村
NRCT339	飯富村
NRCT340	成沢村
NRCT341	木葉下村
NRCT342	三ヶ野村
NRCT343	全隈村
NRCT344	谷津村
NRCT345	山伏小路
NRCT346	開江村
NRCT347	加倉井村
NRCT348	大塚村
NRCT349	金谷村
NRCT350	飯島村
NRCT351	中丸村
NRCT352	赤塚村
NRCT353	河和田村
NRCT354	萱場新田
NRCT355	見和村
NRCT356	鷹匠小路
NRCT357	見川村
NRCT358	払沢村
NRCT359	千波村
NRCT360	狐沢村
NRCT361	笠原新田
NRCT362	小吹村
NRCT363	平須村
NRCT364	吉田村
NRCT365	古宿村
NRCT366	米沢村
NRCT367	長横町
NRCT368	木沢新田
NRCT369	茂沢新田
NRCT370	東野新田
NRCT371	坂戸村
NRCT372	石川村
NRCT373	谷田村
NRCT374	細谷村
NRCT375	浜田村
NRCT376	渋井村
NRCT377	吉沼村
NRCT378	岩泉町
NRCT379	上大野村東
NRCT380	上大野村西
NRCT381	圷大野村
NRCT382	中大野村
NRCT383	塩子村
NRCT384	小勝村
NRCT385	大網村
NRCT386	真端村
NRCT387	徳蔵村
NRCT388	赤沢村
NRCT389	柏崎新町
NRCT390	平町村
NRCT391	大田町村
NRCT392	鴻巣村
NRCT393	友部村
NRCT394	橋爪村
NRCT395	下加賀田村
NRCT396	矢野下村
NRCT397	小泉村
NRCT398	大胡山村
NRCT399	小原村
NRCT400	下組町
NRCT401	市原村
NRCT402	随分附村
NRCT403	柏井村
NRCT404	仁古田村
NRCT405	長渡路村
NRCT406	湯崎村
NRCT407	住吉村
NRCT408	岩間上郷
NRCT409	岩間下郷
NRCT410	福島新田
NRCT411	新荒町
NRCT412	泉村
NRCT413	市野谷村
NRCT414	土師村
NRCT415	上押辺村
NRCT416	下押辺村
NRCT417	上安居村
NRCT418	下安居村
NRCT419	山口村
NRCT420	池亀村
NRCT421	小塩村
NRCT422	荒町
NRCT423	坂本村
NRCT424	大月村
NRCT425	福崎村
NRCT426	平沢村
NRCT427	亀岡村
NRCT428	間中村
NRCT429	飯田村
NRCT430	門毛村
NRCT431	入野村
NRCT432	中里村
NRCT433	廿三日町
NRCT434	富谷村
NRCT435	加茂部村
NRCT436	小塙村
NRCT437	稲村
NRCT438	磯部村
NRCT439	高幡村
NRCT440	友部村
NRCT441	橋本村
NRCT442	谷中村
NRCT443	松田村
NRCT444	追分町
NRCT445	十三日町
NRCT446	曾根村
NRCT447	猿田村
NRCT448	木植村
NRCT449	今泉村
NRCT450	水戸村
NRCT451	青柳村
NRCT452	大岡村
NRCT453	岩瀬村
NRCT454	本新田村
NRCT455	西新田村
NRCT456	三日町
NRCT457	犬田村
NRCT458	鍬田村
NRCT459	富岡村
NRCT460	久原村
NRCT461	飯淵村
NRCT462	大泉村
NRCT463	飯岡村
NRCT464	堤上村
NRCT465	小幡村
NRCT466	上野新田村
NRCT467	八日町
NRCT468	本郷村
NRCT469	下泉村
NRCT470	中泉村
NRCT471	上野原新田
NRCT472	大町
NRCT473	高橋町
NRCT474	荒町
NRCT475	新町
NRCT476	愛宕町
NRCT477	田町
NRCT478	十八日町
NRCT479	鉄砲町
NRCT480	山居
NRCT481	大和田
NRCT482	裸町
NRCT483	上市毛村
NRCT484	下市毛村
NRCT485	日草場村
NRCT486	石井村
NRCT487	古町村
NRCT488	甲山村
NRCT489	廿八日町
NRCT490	池野辺村
NRCT491	大橋村
NRCT492	福田村
NRCT493	飯田村
NRCT494	大淵村
NRCT495	石寺村
NRCT496	日沢村
NRCT497	金井村
NRCT498	寺崎村
NRCT499	間黒村
NRCT500	塩町
NRCT501	阿弥陀村
NRCT502	箱田村
NRCT503	片庭村
NRCT504	大郷戸村
NRCT505	手越村
NRCT506	南吉原村
NRCT507	北吉原村
NRCT508	上加賀田村
NRCT509	来栖村
NRCT510	本戸村
NRCT511	廿一日町
NRCT512	飯岡村
NRCT513	飯塚村
NRCT514	下稲田村
NRCT515	上稲田村
NRCT516	関戸村
NRCT517	中山村
NRCT518	田上村
NRCT519	上釜村
NRCT520	沢尻村
NRCT521	荒地村
NRCT522	十一日町
NRCT523	上太田村
NRCT524	下太田村
NRCT525	田崎村
NRCT526	鹿田村
NRCT527	造谷村
NRCT528	玉田村
NRCT529	子生村
NRCT530	勝下村
NRCT531	籾山村
NRCT532	滝浜村
NRCT533	朔日町
NRCT534	柏熊新田村
NRCT535	紅葉村
NRCT536	菅野谷村
NRCT537	大和田村
NRCT538	富田村
NRCT539	鳥栖村
NRCT540	当間村
NRCT541	大戸村
NRCT542	徳宿村
NRCT543	駒木根村
NRCT544	六日町
NRCT545	秋山村
NRCT546	飯名村
NRCT547	柏熊村
NRCT548	安房村
NRCT549	鉾田村
NRCT550	塔ヶ崎村
NRCT551	白塚村
NRCT552	大竹村
NRCT553	鎌田村
NRCT554	鎌田新田村
NRCT555	大川町
NRCT556	十六日町
NRCT557	安塚村
NRCT558	青柳村
NRCT559	借宿村
NRCT560	野友村
NRCT561	串挽村
NRCT562	高田村
NRCT563	半原村
NRCT564	台濁沢村
NRCT565	青山村
NRCT566	二重作村
NRCT567	廿六日町
NRCT568	汲上村
NRCT569	梶山村
NRCT570	大蔵村
NRCT571	阿玉村
NRCT572	飯島村
NRCT573	札村
NRCT574	中居村
NRCT575	江川村
NRCT576	上幡木村
NRCT577	大志崎村
NRCT578	寺横町
NRCT579	小志崎村
NRCT580	志崎村
NRCT581	武井釜村
NRCT582	浜津賀村
NRCT583	荒井村
NRCT584	青塚村
NRCT585	武井村
NRCT586	塙村
NRCT587	春秋村
NRCT588	小見村
NRCT589	大工町
NRCT590	立原村
NRCT591	津賀村
NRCT592	棚木村
NRCT593	角折村
NRCT594	荒野村
NRCT595	小山村
NRCT596	林村
NRCT597	中村
NRCT598	奈良毛村
NRCT599	清水村
NRCT600	鍛冶町
NRCT601	明石村
NRCT602	小宮作村
NRCT603	下津村
NRCT604	神向寺村
NRCT605	田谷村
NRCT606	田野辺村
NRCT607	沼尾村
NRCT608	猿田村
NRCT609	山野上村
NRCT610	須賀村
NRCT611	八戸村
NRCT612	宮中村
NRCT613	根佐田村
NRCT614	爪木村
NRCT615	大船津村
NRCT616	平井村
NRCT617	鉢形村
NRCT618	粟生村
NRCT619	木滝村
NRCT620	佐田村
NRCT621	塙村
NRCT622	柏崎村
NRCT623	谷原村
NRCT624	国末村
NRCT625	泉川村
NRCT626	長栖村
NRCT627	居切村
NRCT628	深柴村
NRCT629	平泉村
NRCT630	下幡木村
NRCT631	筒井村
NRCT632	賀村
NRCT633	沼館村
NRCT634	息栖村
NRCT635	奥野谷村
NRCT636	溝口村
NRCT637	木崎村
NRCT638	田幡村
NRCT639	知手村
NRCT640	日川村
NRCT641	萩原村
NRCT642	柴崎村
NRCT643	石神村
NRCT644	小中野村
NRCT645	高浜村
NRCT646	柳川新田
NRCT647	須田新田
NRCT648	太田新田
NRCT649	矢田部村
NRCT650	東下村
NRCT651	長野江村
NRCT652	穴瀬村
NRCT653	金上村
NRCT654	帆津倉村
NRCT655	類家村
NRCT656	成田村
NRCT657	内宿村
NRCT658	両宿村
NRCT659	次木村
NRCT660	小貫村
NRCT661	山田村
NRCT662	中根村
NRCT663	繁昌村
NRCT664	吉川村
NRCT665	高岡村
NRCT666	田家町
NRCT667	糠塚村
NRCT668	南高岡村
NRCT669	小幡村
NRCT670	行戸村
NRCT671	芹沢村
NRCT672	蕨村
NRCT673	捻木村
NRCT674	若海村
