key	value
Omoro1	Tana
Omoro2	Tau
Omoro3	Nakachi
Omoro4	Arakaki
Omoro5	Kima
Omoro6	Une
Omoro7	Hika
Omoro8	Shimashiri
Omoro9	Heto
Omoro10	Oku
Omoro11	Kushiken
Omoro12	Serikaku
Omoro13	Semurai
Omoro14	Awa
Omoro15	Yabu
Omoro16	Nako
Omoro17	Kafusuka
Omoro18	Ezashika
Omoro19	Kawakami
Omoro20	Kinka
Omoro21	Kushi
Omoro22	Kise
Omoro23	Kin
Omoro24	Afuso
Omoro25	Onna
Omoro26	Yaka
Omoro27	Oza
Omoro28	Tokesu
Omoro29	Kinawa
Omoro30	Aka/Neha
Omoro31	Oke
Omoro32	Kuninaori
Omoro33	Yara
Omoro34	Chihana
Omoro35	Kuwai
Omoro36	Tekuran
Omoro37	Ikebaru
Omoro38	Okin
Omoro39	Akenaha
Omoro40	Kiyamu
Omoro41	Oesu
Omoro42	Kushikawa
Omoro43	Kochiya
Omoro44	Esu
Omoro45	Yonakusuku
Omoro46	Yakena
Omoro47	Hiyakon
Omoro48	Kishiyaha
Omoro49	Ataniya
Omoro50	Kitomunawa
Omoro51	Kuba
Omoro52	Yaki
Omoro53	Kakasu
Omoro54	Eso
Omoro55	Kusukuma
Omoro56	Nakanishi
Omoro57	Ameku
Omoro58	Takushi
Omoro59	Asato
Omoro60	Omine
Omoro61	Kajiya
Omoro62	Kamisato
Omoro63	Yonaba
Omoro64	Sashiki
Omoro65	Yabiku
Omoro66	Chiniya
Omoro67	Azama
Omoro68	Kuteken
Omoro69	Wana
Omoro70	Hiyakuna
Omoro71	Inamine
Omoro72	Okusuku
Omoro73	Chienen
Omoro74	Yakafu
Omoro75	Kisusu
Omoro76	Taira
Omoro77	Ganaha
Omoro78	Hoemu
Omoro79	Ahakon
Omoro80	Kanekusuku
Omoro81	Osato
Omoro82	Yafuso
Omoro83	Hanakusuku
Omoro84	Mafuni
Omoro85	Ishike
Omoro86	Makabi
Omoro87	Hahira
Omoro88	Fukuji
Omoro89	Komesu
Omoro90	Yamaki/Yamakusuku
Omoro91	Oesato
