key	value
Omoro1	たな
Omoro2	たう
Omoro3	なかち
Omoro4	あらかき
Omoro5	きま
Omoro6	うね
Omoro7	ひか
Omoro8	しましり
Omoro9	へと
Omoro10	おく
Omoro11	くしけん
Omoro12	せりかく
Omoro13	せむらい
Omoro14	あわ
Omoro15	やぶ
Omoro16	なこ
Omoro17	かふすか
Omoro18	えざしか
Omoro19	かわかみ
Omoro20	きんか
Omoro21	くし
Omoro22	きせ
Omoro23	きん
Omoro24	あふそ
Omoro25	おんな
Omoro26	やか
Omoro27	おざ
Omoro28	とけす
Omoro29	きなわ
Omoro30	あか/ねは
Omoro31	おおけ
Omoro32	くになおり
Omoro33	やら
Omoro34	ちはな
Omoro35	くわい
Omoro36	てくらん
Omoro37	いけばる
Omoro38	おきん
Omoro39	あけなは
Omoro40	きやむ
Omoro41	おえす
Omoro42	くしかわ
Omoro43	こちや
Omoro44	えす
Omoro45	よなくすく
Omoro46	やけな
Omoro47	ひやこん
Omoro48	きしやは
Omoro49	あたにや
Omoro50	きとむなわ
Omoro51	くば
Omoro52	やき
Omoro53	かかす
Omoro54	えそ
Omoro55	くすくま
Omoro56	なかにし
Omoro57	あめく
Omoro58	たくし
Omoro59	あさと
Omoro60	おおみね
Omoro61	かじや
Omoro62	かみさと
Omoro63	よなば
Omoro64	さしき
Omoro65	やびく
Omoro66	ちにや
Omoro67	あざま
Omoro68	くてけん
Omoro69	わな
Omoro70	ひやくな
Omoro71	いなみね
Omoro72	おおくすく
Omoro73	ちえねん
Omoro74	やかふ
Omoro75	きすす
Omoro76	たいら
Omoro77	がなは
Omoro78	ほえむ
Omoro79	あはこん
Omoro80	かねくすく
Omoro81	おおさと
Omoro82	やふそ
Omoro83	はなくすく
Omoro84	まふに
Omoro85	いしけ
Omoro86	まかび
Omoro87	はひら
Omoro88	ふくじ
Omoro89	こめす
Omoro90	やまき/やまくすく
Omoro91	おえさと
