key	value
PlaceNames1	州胡
PlaceNames2	耽羅國
PlaceNames3	濟州
PlaceNames4	夷州
PlaceNames5	洛陽
PlaceNames6	樂浪郡
PlaceNames7	平壤
PlaceNames8	帶方郡
PlaceNames9	馬韓
PlaceNames10	百濟
PlaceNames11	辰韓
PlaceNames12	新羅
PlaceNames13	辯韓
PlaceNames14	加耶
PlaceNames15	大加耶
PlaceNames16	小加耶
PlaceNames17	阿羅加耶
PlaceNames18	金官
PlaceNames19	金官加耶
PlaceNames20	韓
PlaceNames21	于山國
PlaceNames22	倭
PlaceNames23	倭
PlaceNames24	倭
PlaceNames25	日本
PlaceNames26	???
PlaceNames27	テオティワカン
PlaceNames28	阿兒奈波
PlaceNames29	多禰
PlaceNames30	拔玖
PlaceNames31	阿麻彌
PlaceNames32	奄美
PlaceNames33	モヨロ・コタン
PlaceNames34	國內城
PlaceNames35	???
PlaceNames36	???
PlaceNames37	???
PlaceNames38	???
PlaceNames39	カダンバ朝
PlaceNames40	ヴァカタカ王朝
PlaceNames41	???
PlaceNames42	扶南國
PlaceNames43	???
PlaceNames44	???
PlaceNames45	ラヴォ王国
PlaceNames46	チャンパ王国
PlaceNames47	統一新羅
PlaceNames48	高麗
PlaceNames49	後高句麗
PlaceNames50	後百濟
PlaceNames51	高句麗
PlaceNames52	夫餘
PlaceNames53	嚈噠
PlaceNames54	???
PlaceNames55	東突厥
PlaceNames56	???
PlaceNames57	???
PlaceNames58	高昌回鶻
PlaceNames59	甘州回鶻
PlaceNames60	???
PlaceNames61	REGNUM FRANCORUM
PlaceNames62	FRYSKE KENINKRYK
PlaceNames63	REGNUM BURGUNDIONUM
PlaceNames64	REGNUM GOTHORUM
PlaceNames65	REGNUM SUEVORUM
PlaceNames66	IMPERIUM ROMANUM
PlaceNames67	REGNUM VANDALORUM ET ALANORUM
PlaceNames68	REGNUM ROMANORUM
PlaceNames69	REGNUM MAURORUM ET ROMANORUM
PlaceNames70	ASTURUM REGNUM
PlaceNames71	REINU DE LLIÓN
PlaceNames72	???
PlaceNames73	???
PlaceNames74	REGNUM AURASIUM
PlaceNames75	???
PlaceNames76	???
PlaceNames77	パルティア
PlaceNames78	???
PlaceNames79	???
PlaceNames80	???
PlaceNames81	インド・パルティア王国
PlaceNames82	???
PlaceNames83	北クシャトラパ
PlaceNames84	西クシャトラパ
PlaceNames85	???
PlaceNames86	KUSHANSHAHR
PlaceNames87	KUSHANSHAHR
PlaceNames88	???
