key	value
Roma1	Hydreuma to epi tou Paneiou
Roma2	Hydreuma to epi tou Paneiou
Roma3	Nechesia?
Roma4	Badia'
Roma5	Wadi Belih
Roma6	Deir Sugheir Wadi Ma'amal
Roma7	Lycabettos
Roma8	Deir Sugheir Wadi Ma'amal
Roma9	Deir Kebir Wadi Ma'amal
Roma10	Wadi Belih
Roma11	Footpath Station
Roma12	Badia'
Roma13	Agios Georgios Pegeia
Roma14	Maa
Roma15	Arsinoe?
Roma16	(Nea) Paphos
Roma17	Alyki
Roma18	Lemba Lakkous
Roma19	Kissonerga-Skalia
Roma20	Hierokepis
Roma21	Kissonerga-Skalia
Roma22	Lemba Lakkous
Roma23	Alyki
Roma24	(Nea) Paphos
Roma25	Hierokepis
Roma26	Arsinoe?
Roma27	Ag. Kononas
Roma28	Drousha
Roma29	Ag. Epiphanios
Roma30	Drousha
Roma31	Ag. Epiphanios
Roma32	Ag. Kononas
Roma33	Drousha
Roma34	Ag. Kononas
Roma35	Ag. Epiphanios
Roma36	Lakki
Roma37	Arsinoe
Roma38	Drousha
Roma39	Ag. Epiphanios
Roma40	Ag. Kononas
Roma41	Lakki
Roma42	Drousha
Roma43	Ag. Kononas
Roma44	Ag. Epiphanios
Roma45	Drousha
Roma46	Ag. Kononas
Roma47	Ag. Epiphanios
Roma48	Drousha
Roma49	Ag. Kononas
Roma50	Ag. Epiphanios
Roma51	Ag. Epiphanios
Roma52	Ag. Kononas
Roma53	Drousha
Roma54	Lakki
Roma55	Drousha
Roma56	Ag. Kononas
Roma57	Ag. Epiphanios
Roma58	(A)Nogyra
Roma59	Teratsia/Akhini
Roma60	(Palai)Paphos
Roma61	Kourion
Roma62	Erimi Laonin tou Porakou
Roma63	Kelliake?
Roma64	Hala Sultan Tekke
Roma65	Kition
Roma66	Kition: Military Port and Shipsheds
Roma67	Maa
Roma68	Agios Georgios Pegeia
Roma69	Maa
Roma70	Agios Georgios Pegeia
Roma71	Pigades
Roma72	Olympos?
Roma73	Drousha
Roma74	Ag. Kononas
Roma75	Ag. Epiphanios
Roma76	Lakki
Roma77	Arsinoe
Roma79	Pyloros
Roma80	Rhittenia?
Roma81	*Aina?
Roma82	Gortyn(a)
Roma83	Aulon/Alonion
Roma84	"Zeus Diktaios	 T./Eleia?"
Roma85	Kourion
Roma86	Erimi Laonin tou Porakou
Roma87	(A)Nogyra
Roma88	Kourion
Roma89	Erimi Laonin tou Porakou
Roma90	Tamuda
Roma91	Kitzan
Roma92	Hjar Zerbotta
Roma93	Briej
Roma94	Ad Mercuri?
Roma95	Zilil/Zilis
Roma96	Tabernae
Roma97	Beth Zur/Bethsoura
Roma99	Caphar Baricha
Roma100	Ziph
Roma101	Beth Alpha
Roma102	Tell Basul
Roma103	Scythopolis/Nysa
Roma104	Roob
Roma105	Patra(e)
Roma106	"Panormos (settlement	 port)"
Roma107	Pallantion
Roma108	Asea
Roma109	Eutaia
Roma110	Athenaion (settlement)
Roma111	Peraithea
Roma112	Aphrodision
Roma113	Oion
Roma114	Karyai?/Iasos?
Roma116	Sparta
