key	value
Ryoseikoku1	Hayahito
Ryoseikoku2	Satsuma
Ryoseikoku3	Satsuma
Ryoseikoku4	Ōsumi
Ryoseikoku5	Hyūga
Ryoseikoku6	Hi
Ryoseikoku7	Hi
Ryoseikoku8	Higo
Ryoseikoku9	Toyo
Ryoseikoku10	Bungo
Ryoseikoku11	Chikugo
Ryoseikoku12	Hizen
Ryoseikoku13	Na
Ryoseikoku14	Tsukushi
Ryoseikoku15	Chikuzen
Ryoseikoku16	Buzen
Ryoseikoku17	Iki
Ryoseikoku18	Iki
Ryoseikoku19	Tsushima
Ryoseikoku20	Anato
Ryoseikoku21	Nagato
Ryoseikoku22	Suō
Ryoseikoku23	Aki
Ryoseikoku24	Kibi
Ryoseikoku25	Bingo
Ryoseikoku26	Bitchū
Ryoseikoku27	Mimasaka
Ryoseikoku28	Bizen
Ryoseikoku29	Harima
Ryoseikoku30	Iwami
Ryoseikoku31	Izumo
Ryoseikoku32	Hōki
Ryoseikoku33	Oki
Ryoseikoku34	Oki
Ryoseikoku35	Inaba
Ryoseikoku36	Tajima
Ryoseikoku37	Tajima
Ryoseikoku38	Taniwa
Ryoseikoku39	Tango
Ryoseikoku40	Tanba
Ryoseikoku41	Iyo
Ryoseikoku42	Tosa
Ryoseikoku43	Awa
Ryoseikoku44	Awa
Ryoseikoku45	Sanuki
Ryoseikoku46	Awaji
Ryoseikoku47	Ki
Ryoseikoku48	Kii
Ryoseikoku49	Yamato
Ryoseikoku50	Yamato
Ryoseikoku51	Yamato
Ryoseikoku52	Kawachi
Ryoseikoku53	Yamashiro
Ryoseikoku54	Izumi
Ryoseikoku55	Izumi
Ryoseikoku56	Tsu
Ryoseikoku57	Settsu
Ryoseikoku58	Wakasa
Ryoseikoku59	Wakasa
Ryoseikoku60	Koshi
Ryoseikoku61	Echizen
Ryoseikoku62	Kaga
Ryoseikoku63	Koshi
Ryoseikoku64	Etchū
Ryoseikoku65	Noto
Ryoseikoku66	Koshi
Ryoseikoku67	Echigo
Ryoseikoku68	Sado
Ryoseikoku69	Shima
Ryoseikoku70	Ise
Ryoseikoku71	Iga
Ryoseikoku72	Owari
Ryoseikoku73	Mikawa
Ryoseikoku74	Tōtōmi
Ryoseikoku75	Tōtōmi
Ryoseikoku76	Suruga
Ryoseikoku77	Izu
Ryoseikoku78	Kai
Ryoseikoku79	Sagami
Ryoseikoku80	Muzashi
Ryoseikoku81	Musashi
Ryoseikoku82	Shimōsa
Ryoseikoku83	Shimōsa
Ryoseikoku84	Fusa
Ryoseikoku85	Kazusa
Ryoseikoku86	Kazusa
Ryoseikoku87	Awa
Ryoseikoku88	Hitamichi
Ryoseikoku89	Hitachi
Ryoseikoku90	Ōmi
Ryoseikoku91	Ōmi
Ryoseikoku92	Mino
Ryoseikoku93	Mino
Ryoseikoku94	Hida
Ryoseikoku95	Shinano
Ryoseikoku96	Shinano
Ryoseikoku97	Keno
Ryoseikoku98	Kamitsukeno
Ryoseikoku99	Kōzuke
Ryoseikoku100	Shimotsuke
Ryoseikoku101	Shimotsukeno
Ryoseikoku102	Michinōku
Ryoseikoku103	Michinōku
Ryoseikoku104	Mutsu
Ryoseikoku105	Dewa
Ryoseikoku106	Dewa
Ryoseikoku107	Dewa
