key	value
SAinu1	노토로
SAinu2	코토마리
SAinu3	노토로
SAinu4	오하코탄
SAinu5	시라누시
SAinu6	시라누시
SAinu7	쿠순엔룸
SAinu8	호레
SAinu9	시라누시
SAinu10	테모
SAinu11	치모토내
SAinu12	페시토마내
SAinu13	비시야산
SAinu14	치시야
SAinu15	칫야
SAinu16	아카라내
SAinu17	시레톸
SAinu18	아카라
SAinu19	노보리
SAinu20	카믜토마리
SAinu21	시랄
SAinu22	이토후네
SAinu23	이나호누푸리
SAinu24	탄네피라
SAinu25	모고틔
SAinu26	소니
SAinu27	웬놑
SAinu28	래토마리
SAinu29	치캎토마리
SAinu30	모고치
SAinu31	노수
SAinu32	우릐
SAinu33	모투내
SAinu34	노수
SAinu35	웬칫
SAinu36	웬칫
SAinu37	치사후케내
SAinu38	후치에
SAinu39	오소코마내
SAinu40	치포투페
SAinu41	내시야
SAinu42	톸수내
SAinu43	오홰룬헤
SAinu44	오투케카리
SAinu45	아뚜리타내
SAinu46	아뚜리타내
SAinu47	리야토마리
SAinu48	아루톨
SAinu49	오투코토시
SAinu50	부치
SAinu51	오회
SAinu52	리야우시내
SAinu53	리야우시내
SAinu54	우시네코로
SAinu55	투칼
SAinu56	테얏
SAinu57	웬누푸리
SAinu58	움내
SAinu59	에세엔카
SAinu60	움내
SAinu61	퇴쿠시
SAinu62	카팔시랄
SAinu63	호로포타내
SAinu64	온네누시내
SAinu65	온네누시외
SAinu66	토마리운내
SAinu67	카에테치시호
SAinu68	카페테치시호
SAinu69	치캎토마리
SAinu70	오치얏내
SAinu71	시루툴
SAinu72	토토모시리
SAinu73	사투토호
SAinu74	무누시내
SAinu75	웃
SAinu76	오만펱
SAinu77	혼호타내
SAinu78	토마리사라
SAinu79	하치코내포
SAinu80	오만펱마릐
SAinu81	하치코내포
SAinu82	아토와탄내
SAinu83	치시내
SAinu84	치시네
SAinu85	만펱
SAinu86	토마리
SAinu87	야로마내
SAinu88	오탈베
SAinu89	쿠순놑포
SAinu90	오코소마내
SAinu91	시세에까
SAinu92	야만펱
SAinu93	페시톨
SAinu94	엔룸
SAinu95	키토우시내
SAinu96	후레
SAinu97	키누시
SAinu98	미나펱
SAinu99	치유콧
SAinu100	미나펱
SAinu101	후레수마
SAinu102	요시내
SAinu103	뫼레토마리
SAinu104	요시내
SAinu105	요시내
SAinu106	웬펱
SAinu107	오후레수마
SAinu108	토욬시
SAinu109	포로토
SAinu110	후레수마
SAinu111	포로토
SAinu112	몬세내
SAinu113	나야시
SAinu114	문시야우시내
SAinu115	우리유
SAinu116	폰나야시
SAinu117	모실
SAinu118	나욘내
SAinu119	소야오마펱
SAinu120	우리우
SAinu121	모시라루시내
SAinu122	코치요펱
SAinu123	애누펱
SAinu124	레푼소야
SAinu125	니나우시
SAinu126	시라루시내
SAinu127	니나우시
SAinu128	토풑
SAinu129	폰누푸리
SAinu130	싶시내포
SAinu131	누찌케
SAinu132	니나우시
SAinu133	토마리켓
SAinu134	오토와
