key	value
TAinu1	야마도내
TAinu2	우투치내
TAinu3	야내사쿠
TAinu4	헤이내
TAinu5	사투코내
TAinu6	키내
TAinu7	이투치내
TAinu8	우내
TAinu9	한내
TAinu10	고쇼우내
TAinu11	이세호내
TAinu12	우내
TAinu13	토우내
TAinu14	이내
TAinu15	시내
TAinu16	시내
TAinu17	콘내
TAinu18	소우내
TAinu19	오사투
TAinu20	린내
TAinu21	우내
TAinu22	호로내
TAinu23	우수쿠내
TAinu24	모내
TAinu25	오보내
TAinu26	인내
TAinu27	인내
TAinu28	우릔내
TAinu29	사루하내
TAinu30	요내
TAinu31	오카내
TAinu32	시카내
TAinu33	수수내
TAinu34	타코내
TAinu35	마쿠내
TAinu36	니시모내
TAinu37	수쿠내
TAinu38	산내
TAinu39	야쿠내
TAinu40	죠우내
TAinu41	투보내
TAinu42	무시내
TAinu43	혼내
TAinu44	사히내
TAinu45	세내
TAinu46	호소내
TAinu47	누카노매
TAinu48	호우내
TAinu49	요코내
TAinu50	나카내
TAinu51	탄내
TAinu52	토치내
TAinu53	혼내
TAinu54	노시내
TAinu55	니타내
TAinu56	니시내
TAinu57	토치내
TAinu58	탓소베
TAinu59	투쿠모우시
TAinu60	호리미내
TAinu61	이타미내
TAinu62	하미내
TAinu63	사히내
TAinu64	야리미내
TAinu65	죠우내
TAinu66	새내
TAinu67	토치내
TAinu68	히라오토리
TAinu69	히로쿠내
TAinu70	진내
TAinu71	치카내
TAinu72	오보내
TAinu73	카시내
TAinu74	왜내
TAinu75	요내
TAinu76	히노키내
TAinu77	요내
TAinu78	애내
TAinu79	산내
TAinu80	산내
TAinu81	코보리내
TAinu82	회내
TAinu83	아사내
TAinu84	히내
TAinu85	우라시내
TAinu86	캐내
TAinu87	오사내
TAinu88	후릐내
TAinu89	이내
TAinu90	토토리내
TAinu91	미내
TAinu92	웉토우내
TAinu93	오카시내
TAinu94	오코내
TAinu95	인내
TAinu96	에카리내
TAinu97	카수내
TAinu98	아사미내
TAinu99	혼내
TAinu100	쿠로내
TAinu101	유쿠치내
TAinu102	누마쿠내
TAinu103	호리내
TAinu104	후카마내
TAinu105	카시내
TAinu106	소우내
TAinu107	타니내
TAinu108	요내
TAinu109	오사내
TAinu110	산내
TAinu111	타마내
TAinu112	히내
TAinu113	타도코내
TAinu114	미소내
TAinu115	이보내
TAinu116	시바내
TAinu117	니타도리
TAinu118	텐내
TAinu119	시리코내
TAinu120	케마내
TAinu121	시게내
TAinu122	토매
TAinu123	산내
TAinu124	샤카내
TAinu125	마수코내
TAinu126	호리내
TAinu127	오사바내
TAinu128	킨대치
TAinu129	오코내
TAinu130	오오시게내
TAinu131	시시내
TAinu132	탘코
TAinu133	투치메내
TAinu134	토내
TAinu135	우메내
TAinu136	초우시타내
TAinu137	하타내
TAinu138	애내
TAinu139	산내
TAinu140	히라내
TAinu141	애내
TAinu142	해내
TAinu143	아카호내
TAinu144	토마펱
TAinu145	애내
TAinu146	토요마내
TAinu147	키리야내
TAinu148	니의
TAinu149	만내
TAinu150	사피내
TAinu151	니쇼우내
TAinu152	토우내
TAinu153	호라내
TAinu154	토비내
TAinu155	오오시타내
TAinu156	키투내
TAinu157	요코내
TAinu158	뉴우내
TAinu159	토코시내
TAinu160	오오펱내
TAinu161	타데내
TAinu162	마고내
TAinu163	산내
TAinu164	야내
TAinu165	노헤지
TAinu166	쿠라내
TAinu167	오코내
TAinu168	히라내
TAinu169	오코내
TAinu170	호로내
TAinu171	카마야
TAinu172	시리야
TAinu173	야코시
TAinu174	오오마
