key	value
WamyoKori1	Isawa
WamyoKori2	Esashi
WamyoKori3	Iwai
WamyoKori4	Nagaoka
WamyoKori5	Miyagi
WamyoKori6	Shikama
WamyoKori7	Monō
WamyoKori8	Watari
WamyoKori9	Kurihara
WamyoKori10	Natori
WamyoKori11	Kami
WamyoKori12	Shibata
WamyoKori13	Kurokawa
WamyoKori14	Tamatsukuri
WamyoKori15	Tōda
WamyoKori16	Igu
WamyoKori17	Shida
WamyoKori18	Nīta
WamyoKori19	Oda
WamyoKori20	Akita
WamyoKori21	Yamamoto
WamyoKori22	Okachi
WamyoKori23	Hiraka
WamyoKori24	Kawabe
WamyoKori25	Okitama
WamyoKori26	Murayama
WamyoKori27	Dewa
WamyoKori28	Mogami
WamyoKori29	Tagawa
WamyoKori30	Akumi
WamyoKori31	Asaka
WamyoKori32	Namekata
WamyoKori33	Shineha
WamyoKori34	Shinobu
WamyoKori35	Iwase
WamyoKori36	Kikuta
WamyoKori37	Shirakawa
WamyoKori38	Iwaki
WamyoKori39	Aizu
WamyoKori40	Sashima
WamyoKori41	Namekata
WamyoKori42	Ubaraki
WamyoKori43	Kawachi
WamyoKori44	Kashima
WamyoKori45	Nīhari
WamyoKori46	Makabe
WamyoKori47	Kuji
WamyoKori48	Naka
WamyoKori49	Toyota
WamyoKori50	Yūki
WamyoKori51	Shida
WamyoKori52	Taka
WamyoKori53	Sōma
WamyoKori54	Taka
WamyoKori55	Kuji
WamyoKori56	Kawachi
WamyoKori57	Namekata
WamyoKori58	Nīhari
WamyoKori59	Kuji
WamyoKori60	Naka
WamyoKori61	Kuji
WamyoKori62	Naka
WamyoKori63	Yanada
WamyoKori64	Haga
WamyoKori65	Kawachi
WamyoKori66	Nasu
WamyoKori67	Shioya
WamyoKori68	Sangawa
WamyoKori69	Tsuga
WamyoKori70	Aso
WamyoKori71	Ashikaga
WamyoKori72	Aso
WamyoKori73	Kawachi
WamyoKori74	Ashikaga
WamyoKori75	Tone
WamyoKori76	Usui
WamyoKori77	Naha
WamyoKori78	Nīta
WamyoKori79	Agatsuma
WamyoKori80	Sai
WamyoKori81	Midono
WamyoKori82	Ōra
WamyoKori83	Tago
WamyoKori84	Kanra
WamyoKori85	Seta
WamyoKori86	Gumma
WamyoKori87	Kataoka
WamyoKori88	Koma
WamyoKori89	Ōsato
WamyoKori90	Saitama
WamyoKori91	Obusuma
WamyoKori92	Chichibu
WamyoKori93	Yokomi
WamyoKori94	Iruma
WamyoKori95	Hanzawa
WamyoKori96	Hiki
WamyoKori97	Katsushika
WamyoKori98	Adachi
WamyoKori99	Kodama
WamyoKori100	Kami
WamyoKori101	Nīkura
WamyoKori102	Naka
WamyoKori103	Hara
WamyoKori104	Ichihara
WamyoKori105	Unakami
WamyoKori106	Musa
WamyoKori107	Asai
WamyoKori108	Yamabe
WamyoKori109	Nagara
WamyoKori110	Katori
WamyoKori111	Isumi
WamyoKori112	Awa
WamyoKori113	Katsushika
WamyoKori114	Nagasa
WamyoKori115	Sue
WamyoKori116	Mōda
WamyoKori117	Chiba
WamyoKori118	Hanishina
WamyoKori119	Heguri
WamyoKori120	Sōsa
WamyoKori121	Imba
WamyoKori122	Amaha
WamyoKori123	Sōma
WamyoKori124	Toshima
WamyoKori125	Tama
WamyoKori126	Miura
WamyoKori127	Kamakura
WamyoKori128	Takakura
WamyoKori129	Ashishimo
WamyoKori130	Tachibana
WamyoKori131	Kuraki
WamyoKori132	Tsuzuki
WamyoKori133	Ōsumi
WamyoKori134	Yoroki
WamyoKori135	Ashikami
WamyoKori136	Aikō
WamyoKori137	Takakura
WamyoKori138	Kamuhara
WamyoKori139	Kamo
WamyoKori140	Hamochi
WamyoKori141	Koshi
WamyoKori142	Iwafune
WamyoKori143	Sawata
WamyoKori144	Kamo
WamyoKori145	Kubiki
WamyoKori146	Nei
WamyoKori147	Nīkawa
WamyoKori148	Tonami
WamyoKori149	Imizu
WamyoKori150	Noto
WamyoKori151	Suzu
WamyoKori152	Ishikawa
WamyoKori153	Hakui
WamyoKori154	Fugeshi
WamyoKori155	Enuma
WamyoKori156	Kaga
WamyoKori157	Nomi
WamyoKori158	Kaga
WamyoKori159	Asuwa
WamyoKori160	Onyū
WamyoKori161	Mikata
WamyoKori162	Niu
WamyoKori163	Sakai
WamyoKori164	Imatachi
WamyoKori165	Ōi
WamyoKori166	Ōno
WamyoKori167	Tsuruga
WamyoKori168	Koma
WamyoKori169	Yatsushiro
WamyoKori170	Yamanashi
WamyoKori171	Tsuru
WamyoKori172	Saku
WamyoKori173	Suwa
WamyoKori174	Tsukama
WamyoKori175	Takai
WamyoKori176	Ina
WamyoKori177	Chīsagata
WamyoKori178	Sarashina
WamyoKori179	Azumi
WamyoKori180	Minochi
WamyoKori181	Hanishina
WamyoKori182	Katagata
WamyoKori183	Kani
WamyoKori184	Gujō
WamyoKori185	Tagi
WamyoKori186	Araki
WamyoKori187	Mushiroda
WamyoKori188	Yamagata
WamyoKori189	Ōno
WamyoKori190	Kakami
WamyoKori191	Ampachi
WamyoKori192	Motosu
WamyoKori193	Ikeda
WamyoKori194	Fuwa
WamyoKori195	Ena
WamyoKori196	Atsumi
WamyoKori197	Kamo
WamyoKori198	Ishizu
WamyoKori199	Toki
WamyoKori200	Muge
WamyoKori201	Toki
WamyoKori202	Muge
WamyoKori203	Naganoshimo
WamyoKori204	Suchi
WamyoKori205	Saya
WamyoKori206	Tagata
WamyoKori207	Fuji
WamyoKori208	Mashizu
WamyoKori209	Iohara
WamyoKori210	Aratama
WamyoKori211	Yamana
WamyoKori212	Haibara
WamyoKori213	Fuchi
WamyoKori214	Suruga
WamyoKori215	Shida
WamyoKori216	Kikō
WamyoKori217	Yamaka
WamyoKori218	Hamana
WamyoKori219	Kamo
WamyoKori220	Iwata
WamyoKori221	Shida
WamyoKori222	Udo
WamyoKori223	Naka
WamyoKori224	Inasa
WamyoKori225	Abe
WamyoKori226	Inasa
WamyoKori227	Hamana
WamyoKori228	Naganokami
WamyoKori229	Hazu
WamyoKori230	Yana
WamyoKori231	Kamo
WamyoKori232	Yamada
WamyoKori233	Aomi
WamyoKori234	Nakashima
WamyoKori235	Hō
WamyoKori236	Chita
WamyoKori237	Ama
WamyoKori238	Nukata
WamyoKori239	Shitara
WamyoKori240	Aichi
WamyoKori241	Niwa
WamyoKori242	Atsumi
WamyoKori243	Kasugabe
WamyoKori244	Take
WamyoKori245	Yamada
WamyoKori246	Nabari
WamyoKori247	Ahe
WamyoKori248	Asake
WamyoKori249	Suzuka
WamyoKori250	Ange
WamyoKori251	Tōshi
WamyoKori252	Watarai
WamyoKori253	Ītaka
WamyoKori254	Ago
WamyoKori255	Kuwana
WamyoKori256	Kawawa
WamyoKori257	Iga
WamyoKori258	Inabe
WamyoKori259	Īno
WamyoKori260	Mie
WamyoKori261	Ano
WamyoKori262	Ichishi
WamyoKori263	Ano
WamyoKori264	Ahe
WamyoKori265	Yamada
WamyoKori266	Nabari
WamyoKori267	Ichishi
WamyoKori268	Tōshi
WamyoKori269	Ago
WamyoKori270	Kawawa
WamyoKori271	Take
WamyoKori272	Watarai
WamyoKori273	Ago
WamyoKori274	Inabe
WamyoKori275	Ahe
WamyoKori276	Watarai
WamyoKori277	Kanzaki
WamyoKori278	Sakata
WamyoKori279	Azai
WamyoKori280	Shiga
WamyoKori281	Yasu
WamyoKori282	Kurita
WamyoKori283	Inukami
WamyoKori284	Takashima
WamyoKori285	Gamō
WamyoKori286	Kōka
WamyoKori287	Echi
WamyoKori288	Kumano
WamyoKori289	Kuse
WamyoKori290	Uji
WamyoKori291	Kī
WamyoKori292	Funai
WamyoKori293	Yosa
WamyoKori294	Kasa
WamyoKori295	Ikaruga
WamyoKori296	Tamba
WamyoKori297	Kadono
WamyoKori298	Otokuni
WamyoKori299	Kuwata
WamyoKori300	Amata
WamyoKori301	Takeno
WamyoKori302	Tsuzuki
WamyoKori303	Otagi
WamyoKori304	Otokuni
WamyoKori305	Nose
WamyoKori306	Ōgata
WamyoKori307	Takayasu
WamyoKori308	Shimakami
WamyoKori309	Tajihi
WamyoKori310	Shimashimo
WamyoKori311	Ishikawa
WamyoKori312	Kawachi
WamyoKori313	Izumi
WamyoKori314	Manda
WamyoKori315	Toshima
WamyoKori316	Asukabe
WamyoKori317	Kudara
WamyoKori318	Ōtori
WamyoKori319	Nishigori
WamyoKori320	Higashinari
WamyoKori321	Nishinari
WamyoKori322	Sarara
WamyoKori323	Hine
WamyoKori324	Shiki
WamyoKori325	Wakae
WamyoKori326	Shibukawa
WamyoKori327	Katano
