key	value
view_header	Zobrazit
view_calendar	Kalendář
view_map	Mapa
view_ui	UI
view_simulation	Simulace
view_person	Osoba
view_license	Licence
view_debug	Ladění
view_3d	3D
place_names_header	Místní názvy
ancient_text	Starý text
administrative	Administrativní
indigenous	Domorodý
historical_state	Historický stát
general	Obecné
item	Předmět
kamekanbo	Pohřeb v nádobě
stone_coffin	Kamenná rakev
doken	Bronzový meč
dotaku	Dótaku
coin	Mince
structure	Struktura
site	Archeologická lokalita
tomb	Hrobka
dolmen	Dolmen
genomes_header	Genomy
human_bone	Lidská kost
mtdna	mtDNA
ydna	Y-DNA
map_header	Mapa
map_base	Základna
map_land_and_sea	Země a moře
map_land_and_water	Země a voda
map_soil	Půda
map_soil_temperature	Teplota půdy
map_ryosei_country	Země Ryosei
map_ryosei_line	Linie Ryosei
map_slope	Svah
map_lakes_and_rivers1	Jezera a řeky1
map_lakes_and_rivers2	Jezera a řeky2
map_line1	Linie1
map_line2	Linie2
