key	value
view_header	Ansicht
view_calendar	Kalender
view_map	Karte
view_ui	UI
view_simulation	Simulation
view_person	Person
view_territory	Gebiet
view_flow_curve	Flusskurve
view_license	Lizenz
view_debug	Debuggen
view_3d	3D
place_names_header	Ortsnamen
ancient_text	Alter Text
administrative	Verwaltung
indigenous	Indigen
historical_state	Historischer Staat
general	Allgemein
item	Gegenstand
kamekanbo	Gefäßbestattung
stone_coffin	Steinsarg
doken	Bronzeschwert
dotaku	Dotaku
coin	Münze
structure	Struktur
site	Fundstätte
tomb	Grab
dolmen	Dolmen
genomes_header	Genome
human_bone	Menschlicher Knochen
mtdna	mtDNA
ydna	Y-DNA
map_header	Karte
map_base	Basis
map_land_and_sea	Land und Meer
map_land_and_water	Land und Wasser
map_soil	Boden
map_soil_temperature	Bodentemperatur
map_ryosei_country	Ryosei Land
map_ryosei_line	Ryosei Linie
map_slope	Gefälle
map_lakes_and_rivers1	Seen und Flüsse1
map_lakes_and_rivers2	Seen und Flüsse2
map_line1	Linie1
map_line2	Linie2
