key	value
view_header	View
view_calendar	Calendar
view_map	Map
view_ui	UI
view_simulation	Simulation
view_person	Person
view_license	License
view_debug	Debug
view_3d	3D
place_names_header	Place Names
ancient_text	Ancient Text
administrative	Administrative
indigenous	Indigenous
historical_state	Historical State
general	General
item	Item
kamekanbo	Jar burial
stone_coffin	Stone Coffin
doken	Bronze Sword
dotaku	Dotaku
coin	Coin
structure	Structure
site	Archaeological site
tomb	Tomb
dolmen	Dolmen
genomes_header	Genomes
human_bone	Human Bone
mtdna	mtDNA
ydna	Y-DNA
map_header	Map
map_base	Base
map_land_and_sea	Land and Sea
map_land_and_water	Land and Water
map_soil	Soil
map_soil_temperature	Soil Temperature
map_ryosei_country	Ryosei Country
map_ryosei_line	Ryosei Line
map_slope	Slope
map_lakes_and_rivers1	Lakes and rivers1
map_lakes_and_rivers2	Lakes and rivers2
map_line1	Line1
map_line2	Line2
