key	value
view_header	Ver
view_calendar	Calendario
view_map	Mapa
view_ui	UI
view_simulation	Simulación
view_person	Persona
view_license	Licencia
view_debug	Depurar
view_3d	3D
place_names_header	Nombres de lugares
ancient_text	Texto antiguo
administrative	Administrativo
indigenous	Indígena
historical_state	Estado histórico
general	General
item	Artículo
kamekanbo	Vasija de enterramiento
stone_coffin	Sarcófago de piedra
doken	Espada de bronce
dotaku	Dotaku
coin	Moneda
structure	Estructura
site	Yacimiento arqueológico
tomb	Tumba
dolmen	Dolmen
genomes_header	Genomas
human_bone	Hueso humano
mtdna	ADNmt
ydna	ADN-Y
map_header	Mapa
map_base	Base
map_land_and_sea	Tierra y Mar
map_land_and_water	Tierra y Agua
map_soil	Suelo
map_soil_temperature	Temperatura del suelo
map_ryosei_country	País Ryosei
map_ryosei_line	Línea Ryosei
map_slope	Pendiente
map_lakes_and_rivers1	Lagos y ríos1
map_lakes_and_rivers2	Lagos y ríos2
map_line1	Línea1
map_line2	Línea2
