key	value
view_header	Vue
view_calendar	Calendrier
view_map	Carte
view_ui	UI
view_simulation	Simulation
view_person	Personne
view_territory	Territoire
view_flow_curve	Courbe de flux
view_license	Licence
view_debug	Débogage
view_3d	3D
place_names_header	Toponymes
ancient_text	Texte ancien
administrative	Administratif
indigenous	Indigène
historical_state	État historique
general	Général
item	Objet
kamekanbo	Sépulture en jarre
stone_coffin	Sarcophage en pierre
doken	Épée de bronze
dotaku	Dōtaku
coin	Monnaie
structure	Structure
site	Site archéologique
tomb	Tombeau
dolmen	Dolmen
genomes_header	Génomes
human_bone	Os humain
mtdna	ADNmt
ydna	ADN-Y
map_header	Carte
map_base	Base
map_land_and_sea	Terre et mer
map_land_and_water	Terre et eau
map_soil	Sol
map_soil_temperature	Température du sol
map_ryosei_country	Pays Ryosei
map_ryosei_line	Ligne Ryosei
map_slope	Pente
map_lakes_and_rivers1	Lacs et rivières1
map_lakes_and_rivers2	Lacs et rivières2
map_line1	Ligne 1
map_line2	Ligne 2
