key	value
view_header	ひょうじ
view_calendar	かれんだー
view_map	ちず
view_ui	UI
view_simulation	しみゅれーしょん
view_person	じんぶつ
view_license	らいせんす
view_debug	でばっぐ
view_territory	ちいき
view_flow_curve	ながれ
view_3d	3D
place_names_header	ちめい
ancient_text	こぶんけん
administrative	ぎょうせい くかく
indigenous	せんじゅうみん
historical_state	れきしてき こっか
general	はんよう
item	いぶつ
kamekanbo	かめかんぼ
stone_coffin	せっかん
doken	どうけん
dotaku	どうたく
coin	かせん
structure	いこう
site	いせき
tomb	こふん
dolmen	しせきぼ
genomes_header	げのむ
human_bone	じんこつ
mtdna	mtDNA
ydna	Y-DNA
map_header	ちず
map_base	つうじょう
map_land_and_sea	りくかい
map_land_and_water	りくすい
map_soil	どじょう
map_soil_temperature	どじょう おんど
map_ryosei_country	りょうせいこく
map_ryosei_line	りょうせいこく せん
map_slope	けいしゃ
map_lakes_and_rivers1	こせん1
map_lakes_and_rivers2	こせん2
map_line1	せん1
map_line2	せん2
