key	value
view_header	Melihat
view_calendar	Kalender
view_map	Peta
view_ui	UI
view_simulation	Simulasi
view_person	Orang
view_territory	Wilayah
view_flow_curve	Kurva Aliran
view_license	Lisensi
view_debug	Debug
view_3d	3D
place_names_header	Nama tempat
ancient_text	Teks kuno
administrative	Administratif
indigenous	Pribumi
historical_state	Negara bersejarah
general	Umum
item	Benda
kamekanbo	Jar burial
stone_coffin	Peti mati batu
doken	Pedang Perunggu
dotaku	Dotaku
coin	Koin
structure	Struktur
site	Situs arkeologi
tomb	Makam
dolmen	Dolmen
genomes_header	Genom
human_bone	Tulang Manusia
mtdna	mtDNA
ydna	Y-DNA
map_header	Peta
map_base	Pangkalan
map_land_and_sea	Daratan dan Laut
map_land_and_water	Tanah dan Air
map_soil	Tanah
map_soil_temperature	Suhu Tanah
map_ryosei_country	Negara Ryosei
map_ryosei_line	Garis Ryosei
map_slope	Kemiringan
map_lakes_and_rivers1	Danau dan sungai1
map_lakes_and_rivers2	Danau dan sungai2
map_line1	Garis1
map_line2	Jalur2
