key	value
view_header	Vista
view_calendar	Calendario
view_map	Mappa
view_ui	UI
view_simulation	Simulazione
view_person	Persona
view_territory	Territorio
view_flow_curve	Curva di flusso
view_license	Licenza
view_debug	Debug
view_3d	3D
place_names_header	Toponimi
ancient_text	Testo antico
administrative	Amministrativo
indigenous	Indigeno
historical_state	Stato storico
general	Generale
item	Oggetto
kamekanbo	Jar burial
stone_coffin	Sarcofago di pietra
doken	Spada di bronzo
dotaku	Dotaku
coin	Moneta
structure	Struttura
site	Sito archeologico
tomb	Tomba
dolmen	Dolmen
genomes_header	Genomi
human_bone	Osso umano
mtdna	mtDNA
ydna	Y-DNA
map_header	Mappa
map_base	Base
map_land_and_sea	Terra e mare
map_land_and_water	Terra e acqua
map_soil	Suolo
map_soil_temperature	Temperatura del suolo
map_ryosei_country	Paese Ryosei
map_ryosei_line	Linea Ryosei
map_slope	Pendenza
map_lakes_and_rivers1	Laghi e fiumi1
map_lakes_and_rivers2	Laghi e fiumi2
map_line1	Linea1
map_line2	Linea2
