key	value
view_header	表示
view_calendar	カレンダー
view_map	地図
view_ui	UI
view_simulation	ステップ数
view_person	人物
view_territory	地域線
view_flow_curve	流れの曲線
view_license	ライセンス
view_debug	デバッグ
view_3d	3D
place_names_header	地名
ancient_text	古文献
administrative	行政区画
indigenous	先住民
historical_state	歴史的国家
general	汎用
item	遺物
kamekanbo	甕棺墓
stone_coffin	石棺
doken	銅剣
dotaku	銅鐸
coin	貨泉
structure	遺構
site	遺跡
tomb	古墳
dolmen	支石墓
genomes_header	ゲノム
human_bone	人骨
mtdna	mtDNA
ydna	Y-DNA
map_header	地図
map_base	通常
map_land_and_sea	陸海
map_land_and_water	陸水
map_soil	土壌
map_soil_temperature	土壌温度
map_ryosei_country	令制国
map_ryosei_line	令制国線
map_slope	傾斜
map_lakes_and_rivers1	湖川1
map_lakes_and_rivers2	湖川2
map_line1	線1
map_line2	線2
