key	value
view_header	Weergave
view_calendar	Kalender
view_map	Kaart
view_ui	UI
view_simulation	Simulatie
view_person	Persoon
view_license	Licentie
view_debug	Debug
view_3d	3D
place_names_header	Plaatsnamen
ancient_text	Oude tekst
administrative	Administratief
indigenous	Inheems
historical_state	Historische staat
general	Algemeen
item	Item
kamekanbo	Potbegrafenis
stone_coffin	Stenen sarcofaag
doken	Bronzen zwaard
dotaku	Dotaku
coin	Munt
structure	Structuur
site	Vindplaats
tomb	Graf
dolmen	Hunebed
genomes_header	Genomen
human_bone	Menselijk bot
mtdna	mtDNA
ydna	Y-DNA
map_header	Kaart
map_base	Basis
map_land_and_sea	Land en Zee
map_land_and_water	Land en Water
map_soil	Bodem
map_soil_temperature	Bodem Temperatuur
map_ryosei_country	Ryosei Land
map_ryosei_line	Ryosei Lijn
map_slope	Helling
map_lakes_and_rivers1	Meren en rivieren1
map_lakes_and_rivers2	Meren en rivieren2
map_line1	Lijn1
map_line2	Lijn2
