key	value
view_header	Widok
view_calendar	Kalendarz
view_map	Mapa
view_ui	UI
view_simulation	Symulacja
view_person	Osoba
view_license	Licencja
view_debug	Debugowanie
view_3d	3D
place_names_header	Nazwy miejsc
ancient_text	Starożytny tekst
administrative	Administracyjny
indigenous	Rdzenni
historical_state	Państwo historyczne
general	Ogólny
item	Przedmiot
kamekanbo	Pochówek w naczyniu
stone_coffin	Kamienny sarkofag
doken	Brązowy miecz
dotaku	Dōtaku
coin	Moneta
structure	Struktura
site	Stanowisko archeologiczne
tomb	Grobowiec
dolmen	Dolmen
genomes_header	Genomy
human_bone	Ludzka kość
mtdna	mtDNA
ydna	Y-DNA
map_header	Mapa
map_base	Baza
map_land_and_sea	Ląd i morze
map_land_and_water	Ląd i woda
map_soil	Gleba
map_soil_temperature	Temperatura gleby
map_ryosei_country	Kraj Ryosei
map_ryosei_line	Linia Ryosei
map_slope	Nachylenie
map_lakes_and_rivers1	Jeziora i rzeki1
map_lakes_and_rivers2	Jeziora i rzeki2
map_line1	Linia1
map_line2	Linia2
