key	value
view_header	Ver
view_calendar	Calendário
view_map	Mapa
view_ui	UI
view_simulation	Simulação
view_person	Pessoa
view_license	Licença
view_debug	Depurar
view_3d	3D
place_names_header	Nomes de lugares
ancient_text	Texto antigo
administrative	Administrativo
indigenous	Indígena
historical_state	Estado histórico
general	Geral
item	Item
kamekanbo	Sepultamento em urna
stone_coffin	Sarcófago de pedra
doken	Espada de bronze
dotaku	Dotaku
coin	Moeda
structure	Estrutura
site	Sítio arqueológico
tomb	Túmulo
dolmen	Dólmen
genomes_header	Genomas
human_bone	Osso humano
mtdna	ADNmt
ydna	ADN-Y
map_header	Mapa
map_base	Base
map_land_and_sea	Terra e Mar
map_land_and_water	Terra e água
map_soil	Solo
map_soil_temperature	Temperatura do solo
map_ryosei_country	País de Ryosei
map_ryosei_line	Linha de Ryosei
map_slope	Declive
map_lakes_and_rivers1	Lagos e rios1
map_lakes_and_rivers2	Lagos e rios2
map_line1	Linha1
map_line2	Linha 2
