key	value
view_header	Görünüm
view_calendar	Takvim
view_map	Harita
view_ui	UI
view_simulation	Simülasyon
view_person	Kişi
view_territory	Bölge
view_flow_curve	Akış Eğrisi
view_license	Lisans
view_debug	Hata Ayıklama
view_3d	3D
place_names_header	Yer adları
ancient_text	Eski Metin
administrative	İdari
indigenous	Yerli
historical_state	Tarihi Devlet
general	Genel
item	Eşya
kamekanbo	Çömlek mezar
stone_coffin	Taş Lahit
doken	Bronz Kılıç
dotaku	Dotaku
coin	Madeni para
structure	Yapı
site	Arkeolojik sit
tomb	Mezar
dolmen	Dolmen
genomes_header	Genomlar
human_bone	İnsan Kemiği
mtdna	mtDNA
ydna	Y-DNA
map_header	Harita
map_base	Üs
map_land_and_sea	Kara ve Deniz
map_land_and_water	Kara ve Su
map_soil	Toprak
map_soil_temperature	Toprak Sıcaklığı
map_ryosei_country	Ryosei Ülkesi
map_ryosei_line	Ryosei Line
map_slope	Eğim
map_lakes_and_rivers1	Göller ve nehirler1
map_lakes_and_rivers2	Göller ve nehirler2
map_line1	Hat1
map_line2	Hat2
