Z	Y	Distance X	Distance Y	Area XY
16	32767	611.496	607.403	371424.5049
16	32766	611.496	607.403	371424.5049
16	32765	611.496	607.403	371424.5049
16	32764	611.496	607.403	371424.5049
16	32763	611.496	607.403	371424.5049
16	32762	611.496	607.403	371424.5049
16	32761	611.496	607.403	371424.5049
16	32760	611.496	607.402	371423.8934
16	32759	611.496	607.402	371423.8934
16	32758	611.496	607.402	371423.8934
16	32757	611.496	607.402	371423.8934
16	32756	611.496	607.402	371423.8934
16	32755	611.496	607.402	371423.8934
16	32754	611.496	607.402	371423.8934
16	32753	611.496	607.402	371423.8934
16	32752	611.496	607.402	371423.8934
16	32751	611.495	607.402	371423.286
16	32750	611.495	607.402	371423.286
16	32749	611.495	607.402	371423.286
16	32748	611.495	607.402	371423.286
16	32747	611.495	607.402	371423.286
16	32746	611.495	607.401	371422.6745
16	32745	611.495	607.401	371422.6745
16	32744	611.495	607.401	371422.6745
16	32743	611.495	607.401	371422.6745
16	32742	611.494	607.401	371422.0671
16	32741	611.494	607.401	371422.0671
16	32740	611.494	607.401	371422.0671
16	32739	611.494	607.4	371421.4556
16	32738	611.494	607.4	371421.4556
16	32737	611.494	607.4	371421.4556
16	32736	611.493	607.4	371420.8482
16	32735	611.493	607.4	371420.8482
16	32734	611.493	607.4	371420.8482
16	32733	611.493	607.399	371420.2367
16	32732	611.493	607.399	371420.2367
16	32731	611.493	607.399	371420.2367
16	32730	611.492	607.399	371419.6293
16	32729	611.492	607.399	371419.6293
16	32728	611.492	607.398	371419.0178
16	32727	611.492	607.398	371419.0178
16	32726	611.491	607.398	371418.4104
16	32725	611.491	607.398	371418.4104
16	32724	611.491	607.397	371417.7989
16	32723	611.491	607.397	371417.7989
16	32722	611.49	607.397	371417.1915
16	32721	611.49	607.397	371417.1915
16	32720	611.49	607.396	371416.58
16	32719	611.49	607.396	371416.58
16	32718	611.489	607.396	371415.9726
16	32717	611.489	607.396	371415.9726
16	32716	611.489	607.395	371415.3612
16	32715	611.489	607.395	371415.3612
16	32714	611.488	607.395	371414.7538
16	32713	611.488	607.395	371414.7538
16	32712	611.488	607.394	371414.1423
16	32711	611.487	607.394	371413.5349
16	32710	611.487	607.394	371413.5349
16	32709	611.487	607.393	371412.9234
16	32708	611.486	607.393	371412.316
16	32707	611.486	607.393	371412.316
16	32706	611.486	607.392	371411.7045
16	32705	611.485	607.392	371411.0971
16	32704	611.485	607.392	371411.0971
16	32703	611.485	607.391	371410.4856
16	32702	611.484	607.391	371409.8782
16	32701	611.484	607.391	371409.8782
16	32700	611.484	607.39	371409.2668
16	32699	611.483	607.39	371408.6594
16	32698	611.483	607.389	371408.0479
16	32697	611.482	607.389	371407.4405
16	32696	611.482	607.389	371407.4405
16	32695	611.482	607.388	371406.829
16	32694	611.481	607.388	371406.2216
16	32693	611.481	607.387	371405.6101
16	32692	611.48	607.387	371405.0028
16	32691	611.48	607.387	371405.0028
16	32690	611.479	607.386	371403.7839
16	32689	611.479	607.386	371403.7839
16	32688	611.479	607.385	371403.1724
16	32687	611.478	607.385	371402.565
16	32686	611.478	607.384	371401.9536
