start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
6.177778	49.120277	6.177778	49.120277	1951841	1951882
6.177778	49.120277	1.909	47.9025	1951882	1951893
1.909	47.9025	1.909	47.9025	1951893	1952248
1.909	47.9025	-0.56997	44.84151	1952248	1952258
-0.56997	44.84151	-0.56997	44.84151	1952258	1952604
-0.56997	44.84151	6.177778	49.120277	1952604	1952624
6.177778	49.120277	6.177778	49.120277	1952624	1954814
6.177778	49.120277	6.177778	49.120277	1954814	1954815
6.177778	49.120277	6.177778	49.120277	1954815	1955166
6.177778	49.120277	11.586111	50.927223	1955166	1955180
11.586111	50.927223	11.586111	50.927223	1955180	1961072
11.586111	50.927223	6.177778	49.120277	1961072	1961086
6.177778	49.120277	6.177778	49.120277	1961086	1961086
6.177778	49.120277	6.177778	49.120277	1961086	1961087
6.177778	49.120277	6.177778	49.120277	1961087	1961117
