start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
111.00753	35.026413	111.00753	35.026413	1977095	1984394
111.00753	35.026413	108.93	34.25	1984394	1984400
108.93	34.25	108.93	34.25	1984400	1997170
108.93	34.25	112.548879	37.87059	1997170	1997183
112.548879	37.87059	112.548879	37.87059	1997183	1998993
112.548879	37.87059	107.1645	34.37246	1998993	1999009
107.1645	34.37246	107.1645	34.37246	1999009	2000457
107.1645	34.37246	112.442223	34.669724	2000457	2000470
112.442223	34.669724	112.442223	34.669724	2000470	2001192
112.442223	34.669724	108.93	34.25	2001192	2001201
108.93	34.25	108.93	34.25	2001201	2002661
108.93	34.25	108.93	34.25	2002661	2002662
108.93	34.25	108.93	34.25	2002662	2000469
108.93	34.25	108.93	34.25	2000469	2000470
108.93	34.25	108.93	34.25	2000470	2005188
108.93	34.25	119.923055	28.468055	2005188	2005218
119.923055	28.468055	119.923055	28.468055	2005218	2005925
119.923055	28.468055	112.442223	34.669724	2005925	2005949
112.442223	34.669724	112.442223	34.669724	2005949	2007075
112.442223	34.669724	112.442223	34.669724	2007075	2007076
112.442223	34.669724	112.442223	34.669724	2007076	2007106
