start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
27.8333	43.5333	27.8333	43.5333	1937283	1947503
27.8333	43.5333	28.976018	41.01224	1947503	1947510
28.976018	41.01224	28.976018	41.01224	1947510	1952237
28.976018	41.01224	36.7003	45.2281	1952237	1952258
36.7003	45.2281	36.7003	45.2281	1952258	1953353
36.7003	45.2281	36.7003	45.2281	1953353	1953354
36.7003	45.2281	36.7003	45.2281	1953354	1959927
36.7003	45.2281	36.7003	45.2281	1959927	1959928
36.7003	45.2281	36.7003	45.2281	1959928	1960008
36.7003	45.2281	34.5792	49.3893	1960008	1960020
34.5792	49.3893	34.5792	49.3893	1960020	1960050
