start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
17	49.5	17	49.5	1940571	1948970
17	49.5	17	49.5	1948970	1948971
17	49.5	17	49.5	1948971	1950428
17	49.5	16.97872	48.173916	1950428	1950432
16.97872	48.173916	16.97872	48.173916	1950432	1951912
16.97872	48.173916	13.4377	50.254	1951912	1951923
13.4377	50.254	13.4377	50.254	1951923	1952156
13.4377	50.254	17.107748	48.148598	1952156	1952167
17.107748	48.148598	17.107748	48.148598	1952167	1952406
17.107748	48.148598	15.75	48.333333	1952406	1952410
15.75	48.333333	15.75	48.333333	1952410	1956628
15.75	48.333333	11.051944	50.861111	1956628	1956641
11.051944	50.861111	11.051944	50.861111	1956641	1961739
11.051944	50.861111	16.97872	48.173916	1961739	1961755
16.97872	48.173916	16.97872	48.173916	1961755	1961785
