start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
12.4828	41.8933	12.4828	41.8933	1977095	1997547
12.4828	41.8933	12.4828	41.8933	1997547	1997548
12.4828	41.8933	12.4828	41.8933	1997548	1998060
12.4828	41.8933	12.4828	41.8933	1998060	1998061
12.4828	41.8933	12.4828	41.8933	1998061	1998094
12.4828	41.8933	12.4828	41.8933	1998094	1998095
12.4828	41.8933	12.4828	41.8933	1998095	1998120
12.4828	41.8933	11.7147	44.3531	1998120	1998127
11.7147	44.3531	11.7147	44.3531	1998127	1998182
11.7147	44.3531	13.4667	43.4833	1998182	1998188
13.4667	43.4833	13.4667	43.4833	1998188	1998247
13.4667	43.4833	13.5167	43.6169	1998247	1998248
13.5167	43.6169	13.5167	43.6169	1998248	1998303
13.5167	43.6169	11.3428	44.4939	1998303	1998309
11.3428	44.4939	11.3428	44.4939	1998309	1998366
11.3428	44.4939	12.675	43.9633	1998366	1998370
12.675	43.9633	12.675	43.9633	1998370	1998427
12.675	43.9633	12.7333	42.7333	1998427	1998431
12.7333	42.7333	12.7333	42.7333	1998431	1998485
12.7333	42.7333	14.7833	41.1333	1998485	1998492
14.7833	41.1333	14.7833	41.1333	1998492	1998518
14.7833	41.1333	2.3522	48.8566	1998518	1998553
2.3522	48.8566	2.3522	48.8566	1998553	1998979
2.3522	48.8566	12.4828	41.8933	1998979	1999009
12.4828	41.8933	12.4828	41.8933	1999009	1999374
12.4828	41.8933	12.4806	41.9031	1999374	1999375
12.4806	41.9031	12.4806	41.9031	1999375	2000835
12.4806	41.9031	12.4828	41.8933	2000835	2000836
12.4828	41.8933	12.4828	41.8933	2000836	2000950
12.4828	41.8933	14.7833	41.1333	2000950	2000957
14.7833	41.1333	14.7833	41.1333	2000957	2001042
14.7833	41.1333	12.7333	42.7333	2001042	2001049
12.7333	42.7333	12.7333	42.7333	2001049	2001135
12.7333	42.7333	11	43.5	2001135	2001140
11	43.5	11	43.5	2001140	2001571
11	43.5	2.3444	48.8133	2001571	2001596
2.3444	48.8133	2.3444	48.8133	2001596	2001561
2.3444	48.8133	28.98	41.0125	2001561	2001627
28.98	41.0125	28.98	41.0125	2001627	2001616
28.98	41.0125	12.2017	44.4161	2001616	2001657
12.2017	44.4161	12.2017	44.4161	2001657	2001685
12.2017	44.4161	12.3271	45.4388	2001685	2001688
12.3271	45.4388	12.3271	45.4388	2001688	2001768
12.3271	45.4388	12.4769	41.8586	2001768	2001777
12.4769	41.8586	12.4769	41.8586	2001777	2001777
12.4769	41.8586	12.4769	41.8586	2001777	2001778
12.4769	41.8586	12.4769	41.8586	2001778	2001867
12.4769	41.8586	12.4539	41.9022	2001867	2001868
12.4539	41.9022	12.4539	41.9022	2001868	2001898
