start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-2.52	51.91	-2.52	51.91	1918656	1922305
-2.52	51.91	-3.3656	51.4242	1922305	1922308
-3.3656	51.4242	-3.3656	51.4242	1922308	1925956
-3.3656	51.4242	-4.81808	50.3318	1925956	1925961
-4.81808	50.3318	-4.81808	50.3318	1925961	1933265
-4.81808	50.3318	-4.795	50.338001	1933265	1933266
-4.795	50.338001	-4.795	50.338001	1933266	1940562
-4.795	50.338001	-2.221132	48.131845	1940562	1940571
-2.221132	48.131845	-2.221132	48.131845	1940571	1946982
-2.221132	48.131845	-2.221132	48.131845	1946982	1946983
-2.221132	48.131845	-2.221132	48.131845	1946983	1947013
