start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-1.08958	53.95887	-1.08958	53.95887	1951528	1958829
-1.08958	53.95887	-1.695	52.633	1958829	1958833
-1.695	52.633	-1.695	52.633	1958833	1960655
-1.695	52.633	-1.2571	53.6497	1960655	1960659
-1.2571	53.6497	-1.2571	53.6497	1960659	1960870
-1.2571	53.6497	-1.08958	53.95887	1960870	1960872
-1.08958	53.95887	-1.08958	53.95887	1960872	1961754
-1.08958	53.95887	-1.08958	53.95887	1961754	1961755
-1.08958	53.95887	-1.08958	53.95887	1961755	1963943
-1.08958	53.95887	-0.608056	54.488889	1963943	1963946
-0.608056	54.488889	-0.608056	54.488889	1963946	1964053
-0.608056	54.488889	2.8231	49.414902	1964053	1964068
2.8231	49.414902	2.8231	49.414902	1964068	1962669
2.8231	49.414902	12.496366	41.902782	1962669	1962698
12.496366	41.902782	12.496366	41.902782	1962698	1964207
12.496366	41.902782	-1.08958	53.95887	1964207	1964250
-1.08958	53.95887	-1.08958	53.95887	1964250	1964280
