start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-2	55.166	-2	55.166	1957006	1960652
-2	55.166	-1.695	52.633	1960652	1960659
-1.695	52.633	-1.695	52.633	1960659	1962479
-1.695	52.633	0.262	52.398	1962479	1962485
0.262	52.398	0.262	52.398	1962485	1963940
0.262	52.398	-1.089	53.958	1963940	1963946
-1.089	53.958	-1.089	53.958	1963946	1966212
-1.089	53.958	-1.089	53.958	1966212	1966213
-1.089	53.958	-1.089	53.958	1966213	1966491
-1.089	53.958	-5.478	56.086	1966491	1966503
-5.478	56.086	-5.478	56.086	1966503	1966859
-5.478	56.086	-2.155	55.886	1966859	1966868
-2.155	55.886	-2.155	55.886	1966868	1967222
-2.155	55.886	0.262	52.398	1967222	1967233
0.262	52.398	0.262	52.398	1967233	1967440
0.262	52.398	-1.089	53.958	1967440	1967446
-1.089	53.958	-1.089	53.958	1967446	1967595
-1.089	53.958	-1.382	54.914	1967595	1967598
-1.382	54.914	-1.382	54.914	1967598	1967807
-1.382	54.914	-0.538	53.234	1967807	1967812
-0.538	53.234	-0.538	53.234	1967812	1967960
-0.538	53.234	-1.695	52.633	1967960	1967964
-1.695	52.633	-1.695	52.633	1967964	1969055
-1.695	52.633	-1.089	53.958	1969055	1969059
-1.089	53.958	-1.089	53.958	1969059	1969422
-1.089	53.958	-1.676	53.533	1969422	1969425
-1.676	53.533	-1.676	53.533	1969425	1970516
-1.676	53.533	-1.49	54.983	1970516	1970520
-1.49	54.983	-1.49	54.983	1970520	1971420
-1.49	54.983	-6.611	53.577	1971420	1971433
-6.611	53.577	-6.611	53.577	1971433	1971725
-6.611	53.577	-1.49	54.983	1971725	1971738
-1.49	54.983	-1.49	54.983	1971738	1971782
-1.49	54.983	-2.805	56.628	1971782	1971788
-2.805	56.628	-2.805	56.628	1971788	1971785
-2.805	56.628	-3.95	57.118	1971785	1971789
-3.95	57.118	-3.95	57.118	1971789	1971853
-3.95	57.118	-2.941	54.897	1971853	1971860
-2.941	54.897	-2.941	54.897	1971860	1971941
-2.941	54.897	-6.41	56.33	1971941	1971951
-6.41	56.33	-6.41	56.33	1971951	1971981
