start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
-0.5	54	-0.5	54	1942031	1946400
-0.5	54	-5.478425	56.086019	1946400	1946414
-5.478425	56.086019	-5.478425	56.086019	1946414	1948603
-5.478425	56.086019	-6.42	56.33	1948603	1948606
-6.42	56.33	-6.42	56.33	1948606	1950790
-6.42	56.33	-4.224721	57.477772	1950790	1950797
-4.224721	57.477772	-4.224721	57.477772	1950797	1952927
-4.224721	57.477772	-0.893	53.528	1952927	1952940
-0.893	53.528	-0.893	53.528	1952940	1952984
-0.893	53.528	-2.100556	55.011389	1952984	1952989
-2.100556	55.011389	-2.100556	55.011389	1952989	1953351
-2.100556	55.011389	-1.800943	55.671247	1953351	1953354
-1.800943	55.671247	-1.800943	55.671247	1953354	1953555
-1.800943	55.671247	-1.308	51.063202	1953555	1953567
-1.308	51.063202	-1.308	51.063202	1953567	1954437
-1.308	51.063202	-3.183333	55.95	1954437	1954450
-3.183333	55.95	-3.183333	55.95	1954450	1955903
-3.183333	55.95	-1.081944	53.961944	1955903	1955911
-1.081944	53.961944	-1.081944	53.961944	1955911	1956153
-1.081944	53.961944	-3.0538	52.8598	1956153	1956159
-3.0538	52.8598	-3.0538	52.8598	1956159	1956159
-3.0538	52.8598	-3.0538	52.8598	1956159	1956160
-3.0538	52.8598	-3.0538	52.8598	1956160	1969418
-3.0538	52.8598	-0.3336	53.2204	1969418	1969425
-0.3336	53.2204	-0.3336	53.2204	1969425	1969455
